# file...... Capacitor_CAP2.csv
# date...... Fri Sep 21 11:21:13 2012
# user...... dwp0
# host...... (null)
# target.... capacitor 57
# trigger... (none)
# interval.. 1440
# limit..... 100
# timestamp,switchA,switchB,switchC
2000-09-11 00:00:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 00:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 00:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 01:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 01:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 02:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 02:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 02:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 03:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 03:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 04:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 04:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 04:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 05:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 05:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 06:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 06:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 06:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 07:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 07:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 08:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 08:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 08:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 09:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 09:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 10:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 10:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 10:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 11:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 11:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 12:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 12:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 12:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 13:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 13:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 14:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 14:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 14:48:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 15:12:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 15:36:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 16:00:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 16:24:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 16:48:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 17:12:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 17:36:00 PDT,CLOSED,CLOSED,CLOSED
2000-09-11 18:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 18:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 18:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 19:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 19:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 20:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 20:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 20:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 21:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 21:36:00 PDT,OPEN,OPEN,OPEN
2000-09-11 22:00:00 PDT,OPEN,OPEN,OPEN
2000-09-11 22:24:00 PDT,OPEN,OPEN,OPEN
2000-09-11 22:48:00 PDT,OPEN,OPEN,OPEN
2000-09-11 23:12:00 PDT,OPEN,OPEN,OPEN
2000-09-11 23:36:00 PDT,OPEN,OPEN,OPEN
2000-09-12 00:00:00 PDT,OPEN,OPEN,OPEN
2000-09-12 00:24:00 PDT,OPEN,OPEN,OPEN
2000-09-12 00:48:00 PDT,OPEN,OPEN,OPEN
2000-09-12 01:12:00 PDT,OPEN,OPEN,OPEN
2000-09-12 01:36:00 PDT,OPEN,OPEN,OPEN
2000-09-12 02:00:00 PDT,OPEN,OPEN,OPEN
2000-09-12 02:24:00 PDT,OPEN,OPEN,OPEN
2000-09-12 02:48:00 PDT,OPEN,OPEN,OPEN
2000-09-12 03:12:00 PDT,OPEN,OPEN,OPEN
2000-09-12 03:36:00 PDT,OPEN,OPEN,OPEN
2000-09-12 04:00:00 PDT,OPEN,OPEN,OPEN
2000-09-12 04:24:00 PDT,OPEN,OPEN,OPEN
2000-09-12 04:48:00 PDT,OPEN,OPEN,OPEN
2000-09-12 05:12:00 PDT,OPEN,OPEN,OPEN
2000-09-12 05:36:00 PDT,OPEN,OPEN,OPEN
2000-09-12 06:00:00 PDT,OPEN,OPEN,OPEN
2000-09-12 06:24:00 PDT,OPEN,OPEN,OPEN
2000-09-12 06:48:00 PDT,OPEN,OPEN,OPEN
2000-09-12 07:12:00 PDT,OPEN,OPEN,OPEN
2000-09-12 07:36:00 PDT,OPEN,OPEN,OPEN
2000-09-12 08:00:00 PDT,OPEN,OPEN,OPEN
2000-09-12 08:24:00 PDT,OPEN,OPEN,OPEN
2000-09-12 08:48:00 PDT,OPEN,OPEN,OPEN
2000-09-12 09:12:00 PDT,OPEN,OPEN,OPEN
2000-09-12 09:36:00 PDT,OPEN,OPEN,OPEN
2000-09-12 10:00:00 PDT,OPEN,OPEN,OPEN
2000-09-12 10:24:00 PDT,OPEN,OPEN,OPEN
2000-09-12 10:48:00 PDT,OPEN,OPEN,OPEN
2000-09-12 11:12:00 PDT,OPEN,OPEN,OPEN
2000-09-12 11:36:00 PDT,OPEN,OPEN,OPEN
2000-09-12 12:00:00 PDT,OPEN,OPEN,OPEN
2000-09-12 12:24:00 PDT,OPEN,OPEN,OPEN
2000-09-12 12:48:00 PDT,OPEN,OPEN,OPEN
2000-09-12 13:12:00 PDT,OPEN,OPEN,OPEN
2000-09-12 13:36:00 PDT,OPEN,OPEN,OPEN
2000-09-12 14:00:00 PDT,OPEN,OPEN,OPEN
2000-09-12 14:24:00 PDT,OPEN,OPEN,OPEN
2000-09-12 14:48:00 PDT,OPEN,OPEN,OPEN
2000-09-12 15:12:00 PDT,OPEN,OPEN,OPEN
2000-09-12 15:36:00 PDT,CLOSED,CLOSED,CLOSED
