# file...... VoltageJiggle.csv
# date...... Mon Apr 08 15:57:46 2013
# user...... dwp0
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,min(voltage_12.mag),mean(voltage_12.mag),max(voltage_12.mag),std(voltage_12.mag)
2012-06-06 00:00:00 PDT,+239.5,+242.333,+246.493,+1.76111
2012-06-06 01:00:00 PDT,+236.887,+238.946,+240.108,+0.902893
2012-06-06 02:00:00 PDT,+236.853,+238.93,+240.025,+0.834483
2012-06-06 03:00:00 PDT,+233.588,+238.044,+240.973,+1.91699
2012-06-06 04:00:00 PDT,+231.061,+237.422,+240.907,+2.55088
2012-06-06 05:00:00 PDT,+235.246,+238.512,+240.284,+1.32261
2012-06-06 06:00:00 PDT,+232.183,+237.25,+240.563,+2.15296
2012-06-06 07:00:00 PDT,+231.631,+237.272,+240.285,+2.36622
2012-06-06 08:00:00 PDT,+234.868,+238.325,+240.14,+1.42363
2012-06-06 09:00:00 PDT,+234.205,+237.876,+240.153,+1.58805
2012-06-06 10:00:00 PDT,+234.559,+238.31,+240.05,+1.57701
2012-06-06 11:00:00 PDT,+235.718,+238.525,+240.376,+1.28077
2012-06-06 12:00:00 PDT,+234.448,+238.387,+240.207,+1.59096
2012-06-06 13:00:00 PDT,+233.784,+237.802,+240.2,+1.89423
2012-06-06 14:00:00 PDT,+235.069,+239.194,+244.463,+2.29082
2012-06-06 15:00:00 PDT,+226.88,+234.986,+240.237,+3.67823
2012-06-06 16:00:00 PDT,+228.592,+236.288,+240.476,+2.92754
2012-06-06 17:00:00 PDT,+231.629,+236.808,+240.055,+2.18892
2012-06-06 18:00:00 PDT,+228.499,+236.587,+240.111,+2.99668
2012-06-06 19:00:00 PDT,+233.364,+237.527,+240.284,+2.04385
2012-06-06 20:00:00 PDT,+234.194,+237.825,+240.178,+1.60824
2012-06-06 21:00:00 PDT,+233.538,+237.853,+240.208,+1.87786
2012-06-06 22:00:00 PDT,+233.009,+237.996,+240.098,+1.85033
