# file...... SwingKids_overhead_line.csv
# date...... Wed Jun 05 11:32:41 2013
# user...... dwp0
# host...... (null)
# group..... class=overhead_line AND groupid=swingKids
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_in.real),sum(power_in.imag)
2012-06-06 00:00:00 PDT,+203128,-301914
2012-06-06 01:00:00 PDT,+242677,+2160.12
2012-06-06 02:00:00 PDT,+209871,+2195.94
2012-06-06 03:00:00 PDT,+283015,+5196.31
2012-06-06 04:00:00 PDT,+368705,+14946
2012-06-06 05:00:00 PDT,+246646,+3571.4
2012-06-06 06:00:00 PDT,+423821,+9384.39
2012-06-06 07:00:00 PDT,+369538,+9264.03
2012-06-06 08:00:00 PDT,+263358,+4175.02
2012-06-06 09:00:00 PDT,+369966,+5726.41
2012-06-06 10:00:00 PDT,+309338,+6286
2012-06-06 11:00:00 PDT,+247493,+3382.29
2012-06-06 12:00:00 PDT,+237014,+9529.25
2012-06-06 13:00:00 PDT,+239882,+25201
2012-06-06 14:00:00 PDT,+351496,-84327.1
2012-06-06 15:00:00 PDT,+542822,+81247.7
2012-06-06 16:00:00 PDT,+558122,+8990.47
2012-06-06 17:00:00 PDT,+578111,+582.81
2012-06-06 18:00:00 PDT,+447885,+35751.3
2012-06-06 19:00:00 PDT,+365569,+7543.95
2012-06-06 20:00:00 PDT,+372863,+8883.11
2012-06-06 21:00:00 PDT,+364644,+6359.94
2012-06-06 22:00:00 PDT,+392184,+5556.19
2012-06-06 23:00:00 PDT,+357527,+4068.57
2012-06-07 00:00:00 PDT,+296651,+2715.88
2012-06-07 01:00:00 PDT,+257080,+2485.63
2012-06-07 02:00:00 PDT,+208671,+2203.9
2012-06-07 03:00:00 PDT,+384804,+20102.8
2012-06-07 04:00:00 PDT,+329650,+7088.61
2012-06-07 05:00:00 PDT,+296852,+11316
2012-06-07 06:00:00 PDT,+444918,+10531.5
2012-06-07 07:00:00 PDT,+366310,-91970
2012-06-07 08:00:00 PDT,+259553,+4344.19
2012-06-07 09:00:00 PDT,+373134,+5922.91
2012-06-07 10:00:00 PDT,+314910,+5975.02
2012-06-07 11:00:00 PDT,+247493,+3382.29
2012-06-07 12:00:00 PDT,+233575,+8538.69
2012-06-07 13:00:00 PDT,+216525,+16661.7
2012-06-07 14:00:00 PDT,+352286,+15323.9
2012-06-07 15:00:00 PDT,+377561,-70860.8
2012-06-07 16:00:00 PDT,+350742,-55713.9
2012-06-07 17:00:00 PDT,+381291,-63112.8
2012-06-07 18:00:00 PDT,+366730,+11112.3
2012-06-07 19:00:00 PDT,+376600,+7327.87
2012-06-07 20:00:00 PDT,+353832,+6760.62
2012-06-07 21:00:00 PDT,+362357,+5650.35
2012-06-07 22:00:00 PDT,+387251,+5247.82
2012-06-07 23:00:00 PDT,+357527,+4068.57
2012-06-08 00:00:00 PDT,+364014,+7564.58
2012-06-08 01:00:00 PDT,+314030,+9248.44
2012-06-08 02:00:00 PDT,+271887,+7659.91
2012-06-08 03:00:00 PDT,+387647,+14172.1
2012-06-08 04:00:00 PDT,+353312,+15512
2012-06-08 05:00:00 PDT,+311924,+5684.78
2012-06-08 06:00:00 PDT,+414166,+9834.86
2012-06-08 07:00:00 PDT,+383432,-91050.3
2012-06-08 08:00:00 PDT,+263954,+4584.27
2012-06-08 09:00:00 PDT,+373451,+6018.47
