# file...... UndergroundLosses.csv
# date...... Mon Apr 08 16:07:10 2013
# user...... dwp0
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2012-06-01 00:00:00 PDT,+1095.03,+870.303,+1612.93,+977.03,+1038.81,+1227.85
2012-06-01 01:00:00 PDT,+867.615,+775.643,+1140.16,+701.85,+947.202,+996.703
2012-06-01 02:00:00 PDT,+901.778,+750.08,+1054.78,+722.561,+903.263,+932.746
2012-06-01 03:00:00 PDT,+1039.46,+699.711,+1401.59,+929.503,+805.047,+1035.72
2012-06-01 04:00:00 PDT,+74.4218,+10.7236,+449.428,+259.141,+44.36,+125.465
2012-06-01 05:00:00 PDT,+332.649,+119.371,+466.308,+396.42,+5.02837,+83.1776
2012-06-01 06:00:00 PDT,+921.819,+340.32,+1743.1,+1273.25,+194.65,+522.302
2012-06-01 07:00:00 PDT,+698.84,+169.439,+2095.13,+1465.1,+62.8484,+409.519
2012-06-01 08:00:00 PDT,+298.248,+112.819,+527.966,+409.73,+36.1387,+131.052
2012-06-01 09:00:00 PDT,+140.79,+65.9667,+565.839,+303.747,+224.369,+326.345
2012-06-01 10:00:00 PDT,+374.16,+168.798,+600.723,+424.196,+158.247,+267.088
2012-06-01 11:00:00 PDT,+113.163,+46.9539,+224.734,+152.704,+49.8532,+91.4962
2012-06-01 12:00:00 PDT,+97.4166,+37.9771,+237.195,+161.376,+35.6662,+80.9257
2012-06-01 13:00:00 PDT,+99.0075,+41.5056,+352.759,+203.231,+97.0459,+161.716
2012-06-01 14:00:00 PDT,+320.53,+138.297,+525.564,+384.075,+103.312,+199.813
2012-06-01 15:00:00 PDT,+795.97,+401.221,+1549.07,+1094.08,+402.776,+679.806
2012-06-01 16:00:00 PDT,+803.485,+428.137,+765.25,+617.225,+220.586,+378.126
2012-06-01 17:00:00 PDT,+872.265,+474.427,+1153.99,+837.576,+426.265,+625.539
2012-06-01 18:00:00 PDT,+544.586,+205.208,+949.495,+732.334,+71.7735,+242.983
2012-06-01 19:00:00 PDT,+204.796,+82.395,+870.292,+521.026,+183.651,+347.754
2012-06-01 20:00:00 PDT,+134.897,+78.0628,+365.682,+210.503,+187.86,+246.086
2012-06-01 21:00:00 PDT,+163.164,+61.5894,+565.957,+353.763,+103.461,+209.636
