# file...... SwingKids_transformer.csv
# date...... Mon Apr 08 16:16:03 2013
# user...... dwp0
# host...... (null)
# group..... class=transformer AND groupid=swingKids
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_in.real),sum(power_in.imag)
2012-06-01 00:00:00 PDT,+605845,-445696
2012-06-01 01:00:00 PDT,+289715,+2755.45
2012-06-01 02:00:00 PDT,+294147,+2737.94
2012-06-01 03:00:00 PDT,+537267,+8835.19
2012-06-01 04:00:00 PDT,+496629,+7301.43
2012-06-01 05:00:00 PDT,+436831,+5908.03
2012-06-01 06:00:00 PDT,+993719,+30807.8
2012-06-01 07:00:00 PDT,+883913,+23470.1
2012-06-01 08:00:00 PDT,+514594,+8229.66
2012-06-01 09:00:00 PDT,+531334,+8251.11
2012-06-01 10:00:00 PDT,+625058,+10986.9
2012-06-01 11:00:00 PDT,+376631,+4308.83
2012-06-01 12:00:00 PDT,+375724,+12073.6
2012-06-01 13:00:00 PDT,+432405,+27311.6
2012-06-01 14:00:00 PDT,+691041,+15211.9
2012-06-01 15:00:00 PDT,+970771,+80249.3
2012-06-01 16:00:00 PDT,+920986,+104896
2012-06-01 17:00:00 PDT,+891302,+81055.7
2012-06-01 18:00:00 PDT,+740901,+16268.6
2012-06-01 19:00:00 PDT,+635136,+11685.3
2012-06-01 20:00:00 PDT,+550087,+8393.56
2012-06-01 21:00:00 PDT,+581250,+9547.5
2012-06-01 22:00:00 PDT,+506557,+7313.03
2012-06-01 23:00:00 PDT,+415865,+5084.16
2012-06-02 00:00:00 PDT,+342612,+3716.5
2012-06-02 01:00:00 PDT,+390327,+26170.3
2012-06-02 02:00:00 PDT,+559307,+70714.8
2012-06-02 03:00:00 PDT,+549030,+19743.7
2012-06-02 04:00:00 PDT,+649690,+49738
2012-06-02 05:00:00 PDT,+529708,+40228.5
2012-06-02 06:00:00 PDT,+929289,+51359.7
2012-06-02 07:00:00 PDT,+906361,+25484.7
2012-06-02 08:00:00 PDT,+494099,+7991
2012-06-02 09:00:00 PDT,+580508,+9974.54
2012-06-02 10:00:00 PDT,+616934,+10749.7
2012-06-02 11:00:00 PDT,+400277,+4810.94
2012-06-02 12:00:00 PDT,+359341,+3847.15
2012-06-02 13:00:00 PDT,+389063,+11803.6
2012-06-02 14:00:00 PDT,+791301,+30122
2012-06-02 15:00:00 PDT,+1.05733e+006,+78626.9
2012-06-02 16:00:00 PDT,+1.00214e+006,+132355
2012-06-02 17:00:00 PDT,+702420,+29498.4
2012-06-02 18:00:00 PDT,+712527,+15109.3
2012-06-02 19:00:00 PDT,+599903,+10475.6
2012-06-02 20:00:00 PDT,+521250,+7663.67
2012-06-02 21:00:00 PDT,+521514,+7799.29
