# file...... Regulator_Reg1.csv
# date...... Tue Apr 09 10:24:25 2013
# user...... dwp0
# host...... (null)
# target.... regulator 54
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2012-06-03 00:00:00 PDT,1,1,1,+241282,-145225,+228134,-148511,+151533,-151354,+620949,-445090
2012-06-03 00:01:00 PDT,1,0,0,+241178,-145227,+226125,-146656,+150043,-149461,+617346,-441343
2012-06-03 00:02:00 PDT,1,-1,0,+240939,-145257,+224051,-144801,+149745,-149460,+614734,-439518
2012-06-03 00:03:00 PDT,1,-1,0,+240297,-145302,+223590,-144823,+149570,-149460,+613457,-439585
2012-06-03 00:04:00 PDT,1,-1,0,+240196,-145261,+218418,-145204,+149421,-149419,+608034,-439884
2012-06-03 00:05:00 PDT,1,-1,0,+233376,+4978.66,+208881,+3772.47,+141199,+1282.76,+583455,+10033.9
2012-06-03 00:06:00 PDT,1,-1,0,+210178,+3819.86,+208353,+3900.2,+140491,+1417.08,+559021,+9137.14
2012-06-03 00:07:00 PDT,1,-1,0,+191586,+3170.7,+193724,+3252.23,+135847,+1409.84,+521157,+7832.77
2012-06-03 00:08:00 PDT,1,-1,0,+182401,+2840.85,+189214,+3106.04,+130654,+1308.55,+502269,+7255.44
2012-06-03 00:09:00 PDT,1,-1,0,+168126,+2411.17,+179674,+2787.96,+121745,+1161.25,+469546,+6360.37
2012-06-03 00:10:00 PDT,1,-1,0,+144524,+1789.59,+161771,+2288.74,+107409,+942.994,+413703,+5021.32
2012-06-03 00:11:00 PDT,1,-1,0,+144188,+1789.43,+161435,+2341.37,+98123.3,+739.288,+403746,+4870.09
2012-06-03 00:12:00 PDT,1,-1,0,+135529,+1590.11,+152262,+2088.23,+93554.8,+683.033,+381346,+4361.37
2012-06-03 00:13:00 PDT,1,-1,0,+135135,+1613.72,+142481,+1891.4,+93364,+684.202,+370980,+4189.32
2012-06-03 00:14:00 PDT,1,-1,0,+131022,+1524.52,+137891,+1738.16,+92962.5,+696.802,+361876,+3959.49
2012-06-03 00:15:00 PDT,1,-1,0,+121623,+1331.92,+129029,+1489.84,+88628,+658.317,+339280,+3480.08
2012-06-03 00:16:00 PDT,1,-1,0,+121407,+1362.69,+124132,+1373.28,+84007.4,+565.685,+329547,+3301.65
2012-06-03 00:17:00 PDT,1,-1,0,+121075,+1381.96,+115163,+1231.87,+83794.3,+565.613,+320033,+3179.45
2012-06-03 00:18:00 PDT,1,-1,0,+125459,+1501.64,+114946,+1221.58,+83503.7,+544.415,+323909,+3267.63
2012-06-03 00:19:00 PDT,1,-1,0,+120471,+1369.09,+114551,+1220.13,+83404.2,+561.908,+318425,+3151.12
2012-06-03 00:20:00 PDT,1,-1,0,+120170,+1363.95,+114037,+1208.44,+83307,+561.36,+317513,+3133.76
2012-06-03 00:21:00 PDT,1,-1,0,+119745,+1355.4,+113614,+1201.02,+82911.3,+556.472,+316270,+3112.88
2012-06-03 00:22:00 PDT,1,-1,0,+119373,+1346.99,+113407,+1197.34,+82608,+553.102,+315389,+3097.43
2012-06-03 00:23:00 PDT,1,-1,0,+118824,+1306.99,+117103,+1303.22,+82241.1,+550.028,+318168,+3160.24
2012-06-03 00:24:00 PDT,1,-1,0,+118779,+1295.47,+120837,+1359.51,+81936,+544.462,+321552,+3199.44
2012-06-03 00:25:00 PDT,1,-1,0,+118667,+1292.66,+120837,+1360.98,+81693.3,+540.484,+321198,+3194.13
2012-06-03 00:26:00 PDT,1,-1,0,+118188,+1277.49,+120639,+1337.91,+85538.2,+605.872,+324365,+3221.27
2012-06-03 00:27:00 PDT,1,-1,0,+117936,+1302.61,+116029,+1209.33,+85479.8,+604.941,+319445,+3116.88
2012-06-03 00:28:00 PDT,1,-1,0,+113201,+1185.9,+115787,+1210.07,+85424.1,+622.121,+314412,+3018.09
2012-06-03 00:29:00 PDT,1,-1,0,+112496,+1171.17,+115385,+1201.48,+85219.7,+621.426,+313100,+2994.07
2012-06-03 00:30:00 PDT,1,-1,0,+112341,+1170.26,+114893,+1190.7,+85088.2,+619.606,+312322,+2980.56
2012-06-03 00:31:00 PDT,1,-1,0,+111888,+1159.63,+114778,+1189.86,+84936.2,+618.381,+311602,+2967.87
2012-06-03 00:32:00 PDT,1,-1,0,+111587,+1100.64,+123165,+1413.85,+84747,+614.677,+319499,+3129.17
2012-06-03 00:33:00 PDT,1,-1,0,+111277,+1107.24,+118768,+1342.06,+84635.5,+615.151,+314680,+3064.45
2012-06-03 00:34:00 PDT,1,-1,0,+111013,+1107.27,+118297,+1351.91,+80381.9,+546.352,+309692,+3005.54
2012-06-03 00:35:00 PDT,1,-1,0,+110729,+1103.78,+117821,+1340.38,+80195.4,+543.77,+308745,+2987.93
2012-06-03 00:36:00 PDT,1,-1,0,+110558,+1097.05,+117574,+1352.87,+80195.1,+547.908,+308328,+2997.83
2012-06-03 00:37:00 PDT,1,-1,0,+114680,+1197.87,+117165,+1338.61,+79988.5,+529.452,+311834,+3065.93
2012-06-03 00:38:00 PDT,1,-1,0,+114628,+1200.08,+116626,+1325.37,+79778.4,+526.037,+311032,+3051.49
2012-06-03 00:39:00 PDT,1,-1,0,+114365,+1194.05,+116469,+1321.97,+79778.4,+527.183,+310613,+3043.21
2012-06-03 00:40:00 PDT,1,-1,0,+114070,+1187.14,+116362,+1321.11,+79562.7,+525.224,+309995,+3033.47
2012-06-03 00:41:00 PDT,1,-1,0,+113899,+1185.62,+115868,+1309.85,+79338,+521.635,+309105,+3017.1
2012-06-03 00:42:00 PDT,1,-1,0,+113432,+1201.49,+111679,+1195.06,+79132.2,+518.952,+304243,+2915.5
2012-06-03 00:43:00 PDT,1,-1,0,+113256,+1228.52,+106909,+1070.05,+79076.8,+517.4,+299242,+2815.97
2012-06-03 00:44:00 PDT,1,-1,0,+108775,+1122.66,+106558,+1068.94,+78802.4,+529.165,+294135,+2720.77
2012-06-03 00:45:00 PDT,1,-1,0,+108658,+1121.69,+106244,+1063.45,+78459.1,+524.014,+293361,+2709.16
