# file...... SwingKids_overhead_line.csv
# date...... Mon Apr 08 16:10:57 2013
# user...... dwp0
# host...... (null)
# group..... class=overhead_line AND groupid=swingKids
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_in.real),sum(power_in.imag)
2012-06-01 00:00:00 PDT,+202938,-301914
2012-06-01 01:00:00 PDT,+530914,+108205
2012-06-01 02:00:00 PDT,+172141,+2836.05
2012-06-01 03:00:00 PDT,+285843,+5930.67
2012-06-01 04:00:00 PDT,+254798,+3931.7
2012-06-01 05:00:00 PDT,+68295.7,+2948.77
2012-06-01 06:00:00 PDT,-256451,+29705.3
2012-06-01 07:00:00 PDT,-498020,+54081.5
2012-06-01 08:00:00 PDT,-695091,+97094.6
2012-06-01 09:00:00 PDT,-655350,+107660
2012-06-01 10:00:00 PDT,-912819,+95089
2012-06-01 11:00:00 PDT,-975281,+84382
2012-06-01 12:00:00 PDT,-1.00698e+006,+90513.8
2012-06-01 13:00:00 PDT,-103966,+212562
2012-06-01 14:00:00 PDT,-409522,+60274.2
2012-06-01 15:00:00 PDT,+424227,+46468.8
2012-06-01 16:00:00 PDT,+90985.2,+71967.2
2012-06-01 17:00:00 PDT,+303019,+62355
2012-06-01 18:00:00 PDT,+351161,-56436.5
2012-06-01 19:00:00 PDT,+517220,+66061.8
2012-06-01 20:00:00 PDT,+455135,+41272.1
2012-06-01 21:00:00 PDT,+596727,+84199.3
2012-06-01 22:00:00 PDT,+357564,+18119.5
2012-06-01 23:00:00 PDT,+257774,+4070.13
2012-06-02 00:00:00 PDT,+229802,+4497.74
2012-06-02 01:00:00 PDT,+175272,+3013.27
2012-06-02 02:00:00 PDT,+172282,+2279.55
2012-06-02 03:00:00 PDT,+266557,+4685.31
2012-06-02 04:00:00 PDT,+240974,+3611.83
2012-06-02 05:00:00 PDT,+170775,+2122.75
2012-06-02 06:00:00 PDT,-135402,+7061.67
2012-06-02 07:00:00 PDT,-498453,+26759.4
2012-06-02 08:00:00 PDT,-677527,+74529.9
2012-06-02 09:00:00 PDT,-662719,+88520.7
2012-06-02 10:00:00 PDT,-807123,+96727.6
2012-06-02 11:00:00 PDT,-449647,+83846.5
2012-06-02 12:00:00 PDT,-979969,+85907.4
2012-06-02 13:00:00 PDT,-255170,+215349
2012-06-02 14:00:00 PDT,-440018,+125132
2012-06-02 15:00:00 PDT,+291489,+255797
2012-06-02 16:00:00 PDT,-239447,+107385
2012-06-02 17:00:00 PDT,+242255,+174192
2012-06-02 18:00:00 PDT,+387222,+116737
2012-06-02 19:00:00 PDT,+430796,-68906.9
2012-06-02 20:00:00 PDT,+469472,+49982.4
