# file...... VoltageJiggle.csv
# date...... Mon Apr 08 16:10:57 2013
# user...... dwp0
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,min(voltage_12.mag),mean(voltage_12.mag),max(voltage_12.mag),std(voltage_12.mag)
2012-06-01 00:00:00 PDT,+239.5,+242.333,+246.493,+1.76111
2012-06-01 01:00:00 PDT,+226.088,+234.959,+241.858,+4.45292
2012-06-01 02:00:00 PDT,+236.847,+238.91,+240.042,+0.839379
2012-06-01 03:00:00 PDT,+233.685,+238.012,+240.803,+1.83367
2012-06-01 04:00:00 PDT,+235.054,+238.418,+240.095,+1.35077
2012-06-01 05:00:00 PDT,+238.664,+239.665,+240.019,+0.300309
2012-06-01 06:00:00 PDT,+236.761,+241.494,+252.304,+3.9418
2012-06-01 07:00:00 PDT,+236.179,+242.485,+256.169,+5.19761
2012-06-01 08:00:00 PDT,+236.892,+243.443,+260.268,+5.85058
2012-06-01 09:00:00 PDT,+236.338,+243.171,+262.047,+6.19496
2012-06-01 10:00:00 PDT,+237.49,+244.757,+263.809,+6.67871
2012-06-01 11:00:00 PDT,+236.851,+245.266,+266.032,+7.5677
2012-06-01 12:00:00 PDT,+236.823,+245.329,+265.881,+7.3338
2012-06-01 13:00:00 PDT,+230.713,+238.245,+249.862,+4.09101
2012-06-01 14:00:00 PDT,+237.171,+242.194,+256.155,+4.74778
2012-06-01 15:00:00 PDT,+228.921,+237.09,+243.216,+3.26888
2012-06-01 16:00:00 PDT,+233.701,+238.542,+242.942,+2.33167
2012-06-01 17:00:00 PDT,+234.497,+237.527,+240.165,+1.46512
2012-06-01 18:00:00 PDT,+233.656,+239.505,+245.976,+2.94768
2012-06-01 19:00:00 PDT,+227.511,+235.897,+240.434,+3.2402
2012-06-01 20:00:00 PDT,+230.778,+236.975,+240.086,+2.27882
2012-06-01 21:00:00 PDT,+227.664,+235.316,+240.621,+3.67697
2012-06-01 22:00:00 PDT,+232.965,+237.543,+240.174,+1.9488
2012-06-01 23:00:00 PDT,+234.631,+238.33,+240.13,+1.49433
2012-06-02 00:00:00 PDT,+235.93,+238.504,+240.398,+1.21266
2012-06-02 01:00:00 PDT,+236.52,+238.857,+240.1,+1.01895
2012-06-02 02:00:00 PDT,+236.547,+238.883,+240.043,+0.891917
2012-06-02 03:00:00 PDT,+233.496,+238.234,+240.306,+1.80585
2012-06-02 04:00:00 PDT,+235.776,+238.421,+240.188,+1.19768
2012-06-02 05:00:00 PDT,+237.39,+239.023,+240.079,+0.792141
2012-06-02 06:00:00 PDT,+237.461,+241.011,+249.245,+2.93005
2012-06-02 07:00:00 PDT,+237.176,+242.948,+256.782,+5.25921
2012-06-02 08:00:00 PDT,+236.252,+243.518,+259.531,+6.13887
2012-06-02 09:00:00 PDT,+235,+243.048,+259.227,+6.12422
2012-06-02 10:00:00 PDT,+237.9,+244.047,+261.157,+5.86412
2012-06-02 11:00:00 PDT,+234.326,+242.454,+250.818,+3.48008
2012-06-02 12:00:00 PDT,+238.404,+245.482,+265.104,+7.14964
2012-06-02 13:00:00 PDT,+232.719,+239.407,+254.205,+4.61526
2012-06-02 14:00:00 PDT,+234.981,+241.852,+260.349,+6.24244
2012-06-02 15:00:00 PDT,+227.384,+235.513,+243.199,+3.65474
2012-06-02 16:00:00 PDT,+235,+240.501,+251.821,+3.23583
2012-06-02 17:00:00 PDT,+226.253,+236.557,+245.34,+4.14969
2012-06-02 18:00:00 PDT,+232.693,+236.685,+239.792,+1.71192
2012-06-02 19:00:00 PDT,+232.94,+238.8,+244.478,+2.76625
2012-06-02 20:00:00 PDT,+229.395,+236.605,+240.297,+3.02453
2012-06-02 21:00:00 PDT,+232.552,+237.317,+240.664,+2.29464
2012-06-02 22:00:00 PDT,+233.135,+237.924,+240.163,+1.92609
2012-06-02 23:00:00 PDT,+234.232,+238.247,+240.129,+1.53797
2012-06-03 00:00:00 PDT,+235.988,+238.611,+240.093,+1.15251
2012-06-03 01:00:00 PDT,+236.624,+238.767,+240.17,+0.980205
2012-06-03 02:00:00 PDT,+237.175,+238.916,+240.06,+0.789076
2012-06-03 03:00:00 PDT,+233.842,+238.208,+240.246,+1.74592
2012-06-03 04:00:00 PDT,+234.904,+238.489,+240.267,+1.45218
2012-06-03 05:00:00 PDT,+238.3,+239.392,+240.278,+0.492007
2012-06-03 06:00:00 PDT,+236.677,+241.766,+252.852,+4.09935
2012-06-03 07:00:00 PDT,+237.127,+243.038,+256.759,+5.1689
2012-06-03 08:00:00 PDT,+231.465,+239.97,+254.565,+5.80693
