# file...... Inverter_inverter2807.csv
# date...... Mon Apr 08 16:14:17 2013
# user...... dwp0
# host...... (null)
# target.... inverter 2464
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2012-06-01 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-01 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-01 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-01 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-01 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-01 05:00:00 PDT,+2397.65,+0,+0,+0,+0,+0
2012-06-01 06:00:00 PDT,+10261,+0,+0,+0,+0,+0
2012-06-01 07:00:00 PDT,+13642.1,+0,+0,+0,+0,+0
2012-06-01 08:00:00 PDT,+15802.1,+0,+0,+0,+0,+0
2012-06-01 09:00:00 PDT,+17052.7,+0,+0,+0,+0,+0
2012-06-01 10:00:00 PDT,+17816.5,+0,+0,+0,+0,+0
2012-06-01 11:00:00 PDT,+17291.6,+0,+0,+0,+0,+0
2012-06-01 12:00:00 PDT,+17736.3,+0,+0,+0,+0,+0
2012-06-01 13:00:00 PDT,+14679.6,+0,+0,+0,+0,+0
2012-06-01 14:00:00 PDT,+12812.1,+0,+0,+0,+0,+0
2012-06-01 15:00:00 PDT,+6804.19,+0,+0,+0,+0,+0
2012-06-01 16:00:00 PDT,+6287.95,+0,+0,+0,+0,+0
2012-06-01 17:00:00 PDT,+3365.28,+0,+0,+0,+0,+0
2012-06-01 18:00:00 PDT,+2338.43,+0,+0,+0,+0,+0
2012-06-01 19:00:00 PDT,+747.019,+0,+0,+0,+0,+0
2012-06-01 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-01 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-01 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-01 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 05:00:00 PDT,+974.583,+0,+0,+0,+0,+0
2012-06-02 06:00:00 PDT,+7461.47,+0,+0,+0,+0,+0
2012-06-02 07:00:00 PDT,+11969.9,+0,+0,+0,+0,+0
2012-06-02 08:00:00 PDT,+14648.5,+0,+0,+0,+0,+0
2012-06-02 09:00:00 PDT,+16457.9,+0,+0,+0,+0,+0
2012-06-02 10:00:00 PDT,+17280.4,+0,+0,+0,+0,+0
2012-06-02 11:00:00 PDT,+17873.7,+0,+0,+0,+0,+0
2012-06-02 12:00:00 PDT,+17477,+0,+0,+0,+0,+0
2012-06-02 13:00:00 PDT,+16657.4,+0,+0,+0,+0,+0
2012-06-02 14:00:00 PDT,+16249.9,+0,+0,+0,+0,+0
2012-06-02 15:00:00 PDT,+14603,+0,+0,+0,+0,+0
2012-06-02 16:00:00 PDT,+12349.3,+0,+0,+0,+0,+0
2012-06-02 17:00:00 PDT,+9759.74,+0,+0,+0,+0,+0
2012-06-02 18:00:00 PDT,+5113.07,+0,+0,+0,+0,+0
2012-06-02 19:00:00 PDT,+272.252,+0,+0,+0,+0,+0
2012-06-02 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-02 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 05:00:00 PDT,+1925.68,+0,+0,+0,+0,+0
2012-06-03 06:00:00 PDT,+9451.03,+0,+0,+0,+0,+0
2012-06-03 07:00:00 PDT,+13456.4,+0,+0,+0,+0,+0
2012-06-03 08:00:00 PDT,+15679.7,+0,+0,+0,+0,+0
2012-06-03 09:00:00 PDT,+16945,+0,+0,+0,+0,+0
2012-06-03 10:00:00 PDT,+17775.6,+0,+0,+0,+0,+0
2012-06-03 11:00:00 PDT,+18255.4,+0,+0,+0,+0,+0
2012-06-03 12:00:00 PDT,+18423.3,+0,+0,+0,+0,+0
2012-06-03 13:00:00 PDT,+18295.7,+0,+0,+0,+0,+0
2012-06-03 14:00:00 PDT,+17742.1,+0,+0,+0,+0,+0
2012-06-03 15:00:00 PDT,+16826.8,+0,+0,+0,+0,+0
2012-06-03 16:00:00 PDT,+15281.3,+0,+0,+0,+0,+0
2012-06-03 17:00:00 PDT,+12733.9,+0,+0,+0,+0,+0
2012-06-03 18:00:00 PDT,+7819.89,+0,+0,+0,+0,+0
2012-06-03 19:00:00 PDT,+700.123,+0,+0,+0,+0,+0
2012-06-03 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-03 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 05:00:00 PDT,+1730.28,+0,+0,+0,+0,+0
2012-06-04 06:00:00 PDT,+9110.57,+0,+0,+0,+0,+0
2012-06-04 07:00:00 PDT,+13263.3,+0,+0,+0,+0,+0
2012-06-04 08:00:00 PDT,+15565.5,+0,+0,+0,+0,+0
2012-06-04 09:00:00 PDT,+16978,+0,+0,+0,+0,+0
2012-06-04 10:00:00 PDT,+17905.6,+0,+0,+0,+0,+0
2012-06-04 11:00:00 PDT,+18318.6,+0,+0,+0,+0,+0
2012-06-04 12:00:00 PDT,+18486.1,+0,+0,+0,+0,+0
2012-06-04 13:00:00 PDT,+18275,+0,+0,+0,+0,+0
2012-06-04 14:00:00 PDT,+17692.4,+0,+0,+0,+0,+0
2012-06-04 15:00:00 PDT,+16612.6,+0,+0,+0,+0,+0
2012-06-04 16:00:00 PDT,+14975.7,+0,+0,+0,+0,+0
2012-06-04 17:00:00 PDT,+12262,+0,+0,+0,+0,+0
2012-06-04 18:00:00 PDT,+7120.32,+0,+0,+0,+0,+0
2012-06-04 19:00:00 PDT,+602.299,+0,+0,+0,+0,+0
2012-06-04 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-04 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 05:00:00 PDT,+3383.12,+0,+0,+0,+0,+0
2012-06-05 06:00:00 PDT,+11131.3,+0,+0,+0,+0,+0
2012-06-05 07:00:00 PDT,+14601.1,+0,+0,+0,+0,+0
2012-06-05 08:00:00 PDT,+16266.4,+0,+0,+0,+0,+0
2012-06-05 09:00:00 PDT,+17365.6,+0,+0,+0,+0,+0
2012-06-05 10:00:00 PDT,+18146.1,+0,+0,+0,+0,+0
2012-06-05 11:00:00 PDT,+18698.9,+0,+0,+0,+0,+0
2012-06-05 12:00:00 PDT,+18081.6,+0,+0,+0,+0,+0
2012-06-05 13:00:00 PDT,+17139.2,+0,+0,+0,+0,+0
2012-06-05 14:00:00 PDT,+16664.5,+0,+0,+0,+0,+0
2012-06-05 15:00:00 PDT,+16265.5,+0,+0,+0,+0,+0
2012-06-05 16:00:00 PDT,+15507.3,+0,+0,+0,+0,+0
2012-06-05 17:00:00 PDT,+11060.9,+0,+0,+0,+0,+0
2012-06-05 18:00:00 PDT,+7255.2,+0,+0,+0,+0,+0
2012-06-05 19:00:00 PDT,+897.988,+0,+0,+0,+0,+0
2012-06-05 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-05 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 05:00:00 PDT,+941.166,+0,+0,+0,+0,+0
2012-06-06 06:00:00 PDT,+7209.32,+0,+0,+0,+0,+0
2012-06-06 07:00:00 PDT,+11958.8,+0,+0,+0,+0,+0
2012-06-06 08:00:00 PDT,+13111.8,+0,+0,+0,+0,+0
2012-06-06 09:00:00 PDT,+14848.7,+0,+0,+0,+0,+0
2012-06-06 10:00:00 PDT,+17225.1,+0,+0,+0,+0,+0
2012-06-06 11:00:00 PDT,+15722,+0,+0,+0,+0,+0
2012-06-06 12:00:00 PDT,+14173.7,+0,+0,+0,+0,+0
2012-06-06 13:00:00 PDT,+16406.7,+0,+0,+0,+0,+0
2012-06-06 14:00:00 PDT,+17055.4,+0,+0,+0,+0,+0
2012-06-06 15:00:00 PDT,+14744.9,+0,+0,+0,+0,+0
2012-06-06 16:00:00 PDT,+11513.5,+0,+0,+0,+0,+0
2012-06-06 17:00:00 PDT,+8801.34,+0,+0,+0,+0,+0
2012-06-06 18:00:00 PDT,+3460.78,+0,+0,+0,+0,+0
2012-06-06 19:00:00 PDT,+277.585,+0,+0,+0,+0,+0
2012-06-06 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-06 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 05:00:00 PDT,+1898.15,+0,+0,+0,+0,+0
2012-06-07 06:00:00 PDT,+7345.01,+0,+0,+0,+0,+0
2012-06-07 07:00:00 PDT,+12414.7,+0,+0,+0,+0,+0
2012-06-07 08:00:00 PDT,+14914.9,+0,+0,+0,+0,+0
2012-06-07 09:00:00 PDT,+15810.2,+0,+0,+0,+0,+0
2012-06-07 10:00:00 PDT,+16586.7,+0,+0,+0,+0,+0
2012-06-07 11:00:00 PDT,+18036.1,+0,+0,+0,+0,+0
2012-06-07 12:00:00 PDT,+17332.8,+0,+0,+0,+0,+0
2012-06-07 13:00:00 PDT,+18331.6,+0,+0,+0,+0,+0
2012-06-07 14:00:00 PDT,+17897.8,+0,+0,+0,+0,+0
2012-06-07 15:00:00 PDT,+17129.9,+0,+0,+0,+0,+0
2012-06-07 16:00:00 PDT,+15982.5,+0,+0,+0,+0,+0
2012-06-07 17:00:00 PDT,+13989.8,+0,+0,+0,+0,+0
2012-06-07 18:00:00 PDT,+10101.9,+0,+0,+0,+0,+0
2012-06-07 19:00:00 PDT,+1746.75,+0,+0,+0,+0,+0
2012-06-07 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-07 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-08 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-08 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-08 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-08 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-08 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-06-08 05:00:00 PDT,+1808.85,+0,+0,+0,+0,+0
2012-06-08 06:00:00 PDT,+9247.31,+0,+0,+0,+0,+0
2012-06-08 07:00:00 PDT,+13294.9,+0,+0,+0,+0,+0
2012-06-08 08:00:00 PDT,+15475.4,+0,+0,+0,+0,+0
2012-06-08 09:00:00 PDT,+16846,+0,+0,+0,+0,+0
2012-06-08 10:00:00 PDT,+17801.1,+0,+0,+0,+0,+0
2012-06-08 11:00:00 PDT,+18247,+0,+0,+0,+0,+0
2012-06-08 12:00:00 PDT,+18385.7,+0,+0,+0,+0,+0
