# file...... OverheadLosses.csv
# date...... Fri Apr 05 14:24:46 2013
# user...... dwp0
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2012-04-03 00:00:00 PDT,+2219.2,+3798.13,+403.637,+2985.1,+2273.25,+3298.25
2012-04-03 01:00:00 PDT,+6204.74,+9782.71,+2454.23,+2539.73,+16017.8,+28776.5
2012-04-03 02:00:00 PDT,+11858.5,+24039.8,+930.903,-366.827,+32283.2,+46415.5
2012-04-03 03:00:00 PDT,+24025.1,+59951.6,+1625.87,-1619.72,+43159.9,+45219.7
2012-04-03 04:00:00 PDT,+9522.54,+32199.4,+2068.72,-819.559,+38115.6,+53069.9
2012-04-03 05:00:00 PDT,+23116.4,+56512.7,+1955.33,-690.018,+37129.7,+38368.7
2012-04-03 06:00:00 PDT,+34597.4,+74629,+3491.67,+2117.2,+48445.9,+56071.1
2012-04-03 07:00:00 PDT,+30989,+74375.4,+3254.46,-1827.23,+33089.7,+27521.3
2012-04-03 08:00:00 PDT,+7614.17,+15501,+1284.68,+731.424,+4511.89,+3041.44
2012-04-03 09:00:00 PDT,+3276.78,+8041.05,+391.29,-91.0094,+5081.46,+5395.91
2012-04-03 10:00:00 PDT,+494.693,+1039.24,+85.2465,+90.2136,+1497.57,+2165.95
2012-04-03 11:00:00 PDT,+525.004,+1317.54,+79.1991,+20.3027,+893.316,+1053.49
2012-04-03 12:00:00 PDT,+388.132,+992.203,+60.1866,+27.7367,+849.896,+1089.47
2012-04-03 13:00:00 PDT,+386.716,+878.918,+58.3565,+60.3213,+729.075,+920.729
2012-04-03 14:00:00 PDT,+1162.63,+2846.81,+118.795,+127.248,+2561.69,+3268
2012-04-03 15:00:00 PDT,+1433.82,+2942.62,+314.471,+536.98,+2244.53,+2797.17
2012-04-03 16:00:00 PDT,+683.219,+2045.03,+108.723,+10.4161,+1940.68,+2420.61
2012-04-03 17:00:00 PDT,+2186.78,+4088.77,+146.15,+40.3452,+2991.36,+3505.62
2012-04-03 18:00:00 PDT,+1009.42,+1394.68,+476.985,+207.677,+4999.11,+9785.17
2012-04-03 19:00:00 PDT,+9472.03,+14510.3,+484.923,+635.769,+6891.78,+9799.91
2012-04-03 20:00:00 PDT,+9885.21,+14665.9,+434.449,+145.621,+9407.98,+12414.9
2012-04-03 21:00:00 PDT,+31032.2,+58461.5,+2419.49,+791.871,+35117.1,+39674.8
2012-04-03 22:00:00 PDT,+4558.9,+6858.28,+345.436,+331.768,+6625.65,+11022.4
2012-04-03 23:00:00 PDT,+12664.7,+19705.7,+1107.61,+227.488,+5056.6,+3100.68
2012-04-04 00:00:00 PDT,+33006.1,+79137,+3963.54,+157.592,+54956.4,+64593.7
2012-04-04 01:00:00 PDT,+13618.5,+14651.5,+545.943,+510.388,+3120.55,+5027.29
2012-04-04 02:00:00 PDT,+2275.89,+7608.14,+4118.32,+1105.19,+12622.7,+22196.1
2012-04-04 03:00:00 PDT,+19923.1,+36299.1,+1052.2,+2781.07,+17476,+18768.4
2012-04-04 04:00:00 PDT,+16063.2,+31504.9,+1622.55,+1619.74,+21534,+27104.9
2012-04-04 05:00:00 PDT,+12016.6,+23583.9,+1229.19,+2328.85,+17007,+20453.4
2012-04-04 06:00:00 PDT,+16188,+29282.7,+1567.83,+3733.64,+23936.6,+32079.3
2012-04-04 07:00:00 PDT,+27569.8,+67758.1,+3858.1,-362.259,+32235.6,+28772.4
2012-04-04 08:00:00 PDT,+2467,+3848.65,+659.51,-170.469,+13998.5,+23926.3
2012-04-04 09:00:00 PDT,+2769.06,+3813.48,+460.666,+753.938,+4079.03,+7785.31
2012-04-04 10:00:00 PDT,+874.419,+2216.44,+99.4665,+67.1526,+2512.3,+3495.69
2012-04-04 11:00:00 PDT,+695.254,+1575.1,+100.409,+45.6935,+903.67,+1034.49
2012-04-04 12:00:00 PDT,+387.816,+991.737,+60.0601,+27.9743,+853.087,+1094.57
2012-04-04 13:00:00 PDT,+1610.41,+3969.02,+151.049,-54.7633,+3056.78,+3219.19
2012-04-04 14:00:00 PDT,+1250.65,+3001.17,+123.387,+136.04,+2502.42,+3092.81
2012-04-04 15:00:00 PDT,+2023.92,+3907.92,+362.389,+787.956,+2475.64,+2911.87
2012-04-04 16:00:00 PDT,+3205.84,+3510.57,+530.855,+1161.18,+3152.01,+6648.49
2012-04-04 17:00:00 PDT,+10419.6,+22412.6,+1341.75,+414.614,+16327.2,+19023.9
2012-04-04 18:00:00 PDT,+4344.19,+14293.5,+409.137,-310.808,+10952.7,+12588.1
2012-04-04 19:00:00 PDT,+32641.2,+65908,+4117.2,+559.899,+21365.4,+15773.6
2012-04-04 20:00:00 PDT,+24048.1,+47673,+1687.18,+428.686,+25850.8,+29920.2
2012-04-04 21:00:00 PDT,+38442,+69487.4,+3281.29,+4133.93,+39563.9,+47149.2
2012-04-04 22:00:00 PDT,+27691.9,+42620.1,+2075.56,+3296.5,+22285.5,+26197
2012-04-04 23:00:00 PDT,+31280.6,+49488.5,+1607.86,+2701.78,+29247.6,+35865.3
2012-04-05 00:00:00 PDT,+41402.4,+72199,+5063.84,+11581.9,+38803.5,+48496
