# file...... SwingKids_overhead_line.csv
# date...... Fri Apr 05 14:24:46 2013
# user...... dwp0
# host...... (null)
# group..... class=overhead_line AND groupid=swingKids
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_in.real),sum(power_in.imag)
2012-04-03 00:00:00 PDT,+202938,-301914
2012-04-03 01:00:00 PDT,+912043,-26202.4
2012-04-03 02:00:00 PDT,+1.06493e+006,+16860.6
2012-04-03 03:00:00 PDT,+1.25182e+006,-29522.9
2012-04-03 04:00:00 PDT,+1.28733e+006,-44924.9
2012-04-03 05:00:00 PDT,+1.31136e+006,-34843.5
2012-04-03 06:00:00 PDT,+1.67676e+006,+2487.36
2012-04-03 07:00:00 PDT,+1.31129e+006,+45216.1
2012-04-03 08:00:00 PDT,+636816,+38602.9
2012-04-03 09:00:00 PDT,+532903,+20878.8
2012-04-03 10:00:00 PDT,+263298,+4770.7
2012-04-03 11:00:00 PDT,+228469,+3707.85
2012-04-03 12:00:00 PDT,+214567,+3283.01
2012-04-03 13:00:00 PDT,+215799,+2971.27
2012-04-03 14:00:00 PDT,+399505,+7539.55
2012-04-03 15:00:00 PDT,+399251,+9337.33
2012-04-03 16:00:00 PDT,+320916,+7875.11
2012-04-03 17:00:00 PDT,+382650,+9383.76
2012-04-03 18:00:00 PDT,+385522,-89834.1
2012-04-03 19:00:00 PDT,+651738,-57739.4
2012-04-03 20:00:00 PDT,+695178,-43322.7
2012-04-03 21:00:00 PDT,+1.39065e+006,+53761.6
2012-04-03 22:00:00 PDT,+578307,-63370.5
2012-04-03 23:00:00 PDT,+555523,+41242.1
2012-04-04 00:00:00 PDT,+1.66913e+006,+109158
2012-04-04 01:00:00 PDT,+526187,-62229.2
2012-04-04 02:00:00 PDT,+654985,-152472
2012-04-04 03:00:00 PDT,+1.08194e+006,-87213.8
2012-04-04 04:00:00 PDT,+1.13037e+006,+20912.8
2012-04-04 05:00:00 PDT,+1.04844e+006,+93929.2
2012-04-04 06:00:00 PDT,+1.29116e+006,+12881.7
2012-04-04 07:00:00 PDT,+1.31248e+006,+41561.5
2012-04-04 08:00:00 PDT,+612747,-35825.9
2012-04-04 09:00:00 PDT,+520106,-75172
2012-04-04 10:00:00 PDT,+335153,+12598.4
2012-04-04 11:00:00 PDT,+253937,+6059.59
2012-04-04 12:00:00 PDT,+214779,+3340.72
2012-04-04 13:00:00 PDT,+333738,+15072.6
2012-04-04 14:00:00 PDT,+397053,+7661.37
2012-04-04 15:00:00 PDT,+452964,+13680.6
2012-04-04 16:00:00 PDT,+450562,-81571.2
2012-04-04 17:00:00 PDT,+885145,+81498.9
2012-04-04 18:00:00 PDT,+600288,-165292
2012-04-04 19:00:00 PDT,+1.18344e+006,+23286.2
2012-04-04 20:00:00 PDT,+1.22849e+006,-66044.7
2012-04-04 21:00:00 PDT,+1.59094e+006,-26309.4
2012-04-04 22:00:00 PDT,+1.22795e+006,+26291.5
2012-04-04 23:00:00 PDT,+1.33507e+006,+59893.6
2012-04-05 00:00:00 PDT,+1.84081e+006,+86833.4
2012-04-05 01:00:00 PDT,+1.81408e+006,+84475
2012-04-05 02:00:00 PDT,+1.79969e+006,+32827.8
2012-04-05 03:00:00 PDT,+1.62962e+006,+8140.64
2012-04-05 04:00:00 PDT,+1.43998e+006,+75365.5
2012-04-05 05:00:00 PDT,+1.39624e+006,+62907.1
2012-04-05 06:00:00 PDT,+1.62436e+006,+86854.6
2012-04-05 07:00:00 PDT,+1.35922e+006,+33754
2012-04-05 08:00:00 PDT,+729407,+57944.7
2012-04-05 09:00:00 PDT,+601201,+29630.5
2012-04-05 10:00:00 PDT,+317841,+13968.6
2012-04-05 11:00:00 PDT,+228789,+3787.06
2012-04-05 12:00:00 PDT,+214779,+3340.72
2012-04-05 13:00:00 PDT,+297291,+10917.5
2012-04-05 14:00:00 PDT,+409518,+7965.05
2012-04-05 15:00:00 PDT,+414359,+10616.4
2012-04-05 16:00:00 PDT,+357410,+9978.92
2012-04-05 17:00:00 PDT,+727546,-57724.6
2012-04-05 18:00:00 PDT,+683043,-63305.9
2012-04-05 19:00:00 PDT,+943126,-12390.5
2012-04-05 20:00:00 PDT,+851737,-32725.4
2012-04-05 21:00:00 PDT,+599385,-165164
2012-04-05 22:00:00 PDT,+1.06206e+006,+113943
2012-04-05 23:00:00 PDT,+818499,-125416
2012-04-06 00:00:00 PDT,+2.10081e+006,+294906
2012-04-06 01:00:00 PDT,+1.17873e+006,-68360.2
2012-04-06 02:00:00 PDT,+815433,-53648.9
2012-04-06 03:00:00 PDT,+1.07472e+006,-58975.1
2012-04-06 04:00:00 PDT,+1.07039e+006,-87095.9
2012-04-06 05:00:00 PDT,+919428,-114230
2012-04-06 06:00:00 PDT,+1.1963e+006,+1992.35
2012-04-06 07:00:00 PDT,+1.06613e+006,+5550.37
2012-04-06 08:00:00 PDT,+532217,+29181.5
2012-04-06 09:00:00 PDT,+586610,+28517.4
2012-04-06 10:00:00 PDT,+271015,+4760.95
2012-04-06 11:00:00 PDT,+228046,+3585.34
2012-04-06 12:00:00 PDT,+214354,+3223.57
2012-04-06 13:00:00 PDT,+226955,+5766.76
2012-04-06 14:00:00 PDT,+408280,+7690.74
2012-04-06 15:00:00 PDT,+452670,+15449.4
2012-04-06 16:00:00 PDT,+465534,-84429.4
2012-04-06 17:00:00 PDT,+699849,-58700
2012-04-06 18:00:00 PDT,+595079,+37715.8
2012-04-06 19:00:00 PDT,+730775,+46704.1
2012-04-06 20:00:00 PDT,+1.30668e+006,+45019.5
2012-04-06 21:00:00 PDT,+1.5628e+006,+166853
2012-04-06 22:00:00 PDT,+951192,-830.438
2012-04-06 23:00:00 PDT,+738058,-43315.9
2012-04-07 00:00:00 PDT,+1.25916e+006,+16486.5
2012-04-07 01:00:00 PDT,+561311,-77872.2
2012-04-07 02:00:00 PDT,+901292,-30492.1
2012-04-07 03:00:00 PDT,+854477,-114750
2012-04-07 04:00:00 PDT,+1.05629e+006,-76902.7
2012-04-07 05:00:00 PDT,+1.53786e+006,+6012
2012-04-07 06:00:00 PDT,+1.66579e+006,+117513
2012-04-07 07:00:00 PDT,+1.68882e+006,-1142.87
2012-04-07 08:00:00 PDT,+660732,+51015.6
2012-04-07 09:00:00 PDT,+497073,+25940.6
2012-04-07 10:00:00 PDT,+339665,+12342.8
2012-04-07 11:00:00 PDT,+960935,-2058.93
2012-04-07 12:00:00 PDT,+229509,+3943.89
2012-04-07 13:00:00 PDT,+292236,+6570.67
2012-04-07 14:00:00 PDT,+406470,+8236.46
2012-04-07 15:00:00 PDT,+431965,+9296.42
2012-04-07 16:00:00 PDT,+318435,+6230.48
2012-04-07 17:00:00 PDT,+339731,+6701.94
2012-04-07 18:00:00 PDT,+363074,+8279.19
2012-04-07 19:00:00 PDT,+493166,+17051.3
2012-04-07 20:00:00 PDT,+719310,+42769.7
2012-04-07 21:00:00 PDT,+496983,-171516
2012-04-07 22:00:00 PDT,+1.03915e+006,-19649
2012-04-07 23:00:00 PDT,+571005,-67238.8
2012-04-08 00:00:00 PDT,+500776,-175628
2012-04-08 01:00:00 PDT,+317657,-190220
2012-04-08 02:00:00 PDT,+855327,-136747
2012-04-08 03:00:00 PDT,+1.12197e+006,-71620.7
2012-04-08 04:00:00 PDT,+860443,-17666.1
2012-04-08 05:00:00 PDT,+1.16488e+006,-83908.2
2012-04-08 06:00:00 PDT,+1.3284e+006,+37659.2
2012-04-08 07:00:00 PDT,+757583,-56718.9
2012-04-08 08:00:00 PDT,+269085,+5054.18
2012-04-08 09:00:00 PDT,+386936,+7647.33
2012-04-08 10:00:00 PDT,+283017,+5278.97
2012-04-08 11:00:00 PDT,+239968,+3612.02
2012-04-08 12:00:00 PDT,+222793,+3285.34
2012-04-08 13:00:00 PDT,+227401,+3740.34
2012-04-08 14:00:00 PDT,+401759,+8073.95
2012-04-08 15:00:00 PDT,+429713,+8881.94
2012-04-08 16:00:00 PDT,+334471,+10119.7
2012-04-08 17:00:00 PDT,+342769,+6558.94
2012-04-08 18:00:00 PDT,+367090,+7788.05
2012-04-08 19:00:00 PDT,+374691,+7174.54
2012-04-08 20:00:00 PDT,+304911,+4677.75
2012-04-08 21:00:00 PDT,+317077,+5632.47
2012-04-08 22:00:00 PDT,+312191,+5440.46
2012-04-08 23:00:00 PDT,+258621,+3976.31
2012-04-09 00:00:00 PDT,+309534,+12115
2012-04-09 01:00:00 PDT,+304236,+16495.9
2012-04-09 02:00:00 PDT,+190346,-100233
2012-04-09 03:00:00 PDT,+599796,+30381.9
2012-04-09 04:00:00 PDT,+346413,+13501.9
2012-04-09 05:00:00 PDT,+340653,+12962.7
2012-04-09 06:00:00 PDT,+532274,+17299.9
2012-04-09 07:00:00 PDT,+569024,-81201.8
2012-04-09 08:00:00 PDT,+310902,+6301.84
2012-04-09 09:00:00 PDT,+398248,+7793.83
2012-04-09 10:00:00 PDT,+260216,+4206.63
2012-04-09 11:00:00 PDT,+227408,+3409.06
2012-04-09 12:00:00 PDT,+218431,+3116.43
2012-04-09 13:00:00 PDT,+207268,+2957.58
2012-04-09 14:00:00 PDT,+395538,+7392.04
2012-04-09 15:00:00 PDT,+405851,+8107.95
2012-04-09 16:00:00 PDT,+329619,+6328.92
2012-04-09 17:00:00 PDT,+323895,+5811
2012-04-09 18:00:00 PDT,+392225,+10779.6
2012-04-09 19:00:00 PDT,+476819,+16343.2
2012-04-09 20:00:00 PDT,+461918,+15765.8
2012-04-09 21:00:00 PDT,+804076,-42807.5
2012-04-09 22:00:00 PDT,+527269,+32185
2012-04-09 23:00:00 PDT,+431414,-86287.2
2012-04-10 00:00:00 PDT,+1.16457e+006,+27926.3
2012-04-10 01:00:00 PDT,+305478,-193492
2012-04-10 02:00:00 PDT,+453544,-84156.2
2012-04-10 03:00:00 PDT,+1.19119e+006,+123492
2012-04-10 04:00:00 PDT,+1.10316e+006,-9848.55
2012-04-10 05:00:00 PDT,+1.05377e+006,+79317.7
2012-04-10 06:00:00 PDT,+1.09346e+006,+92744.7
2012-04-10 07:00:00 PDT,+656061,+29743.8
2012-04-10 08:00:00 PDT,+324450,+7949.51
2012-04-10 09:00:00 PDT,+350656,+6062.43
2012-04-10 10:00:00 PDT,+269427,+4316.05
2012-04-10 11:00:00 PDT,+231174,+3442.65
2012-04-10 12:00:00 PDT,+213929,+3106.71
2012-04-10 13:00:00 PDT,+216922,+3146.36
2012-04-10 14:00:00 PDT,+401427,+7381.78
2012-04-10 15:00:00 PDT,+413593,+8761.86
2012-04-10 16:00:00 PDT,+320630,+5858.94
2012-04-10 17:00:00 PDT,+327217,+6018.26
2012-04-10 18:00:00 PDT,+385897,+8497.58
2012-04-10 19:00:00 PDT,+427790,+13321.2
2012-04-10 20:00:00 PDT,+475441,+17490.3
2012-04-10 21:00:00 PDT,+771153,+54802.4
2012-04-10 22:00:00 PDT,+619636,-65258
2012-04-10 23:00:00 PDT,+583477,-66831.6
2012-04-11 00:00:00 PDT,+1.36772e+006,+75745
2012-04-11 01:00:00 PDT,+580909,-58264.5
2012-04-11 02:00:00 PDT,+599650,-161051
2012-04-11 03:00:00 PDT,+875697,-115483
2012-04-11 04:00:00 PDT,+1.23999e+006,-58632.6
2012-04-11 05:00:00 PDT,+1.00783e+006,-97682.7
2012-04-11 06:00:00 PDT,+1.29059e+006,+32387.8
2012-04-11 07:00:00 PDT,+951073,+69283.1
2012-04-11 08:00:00 PDT,+368738,+12186.6
2012-04-11 09:00:00 PDT,+355579,+6581.24
2012-04-11 10:00:00 PDT,+269745,+4407.83
2012-04-11 11:00:00 PDT,+227728,+3497.85
2012-04-11 12:00:00 PDT,+214036,+3134.6
2012-04-11 13:00:00 PDT,+225917,+3242.18
2012-04-11 14:00:00 PDT,+391295,+7219.38
2012-04-11 15:00:00 PDT,+412735,+8954.08
2012-04-11 16:00:00 PDT,+329939,+6087.22
2012-04-11 17:00:00 PDT,+324727,+6391.88
2012-04-11 18:00:00 PDT,+381947,+8475.54
2012-04-11 19:00:00 PDT,+376618,+7578.17
2012-04-11 20:00:00 PDT,+332876,+5484.5
2012-04-11 21:00:00 PDT,+378796,+11497.2
2012-04-11 22:00:00 PDT,+375263,+14698.4
2012-04-11 23:00:00 PDT,+349350,+10909.1
2012-04-12 00:00:00 PDT,+693459,-42805
2012-04-12 01:00:00 PDT,+455631,-73924.4
2012-04-12 02:00:00 PDT,+392971,-78826.4
2012-04-12 03:00:00 PDT,+893654,-122495
2012-04-12 04:00:00 PDT,+732736,-51409.7
2012-04-12 05:00:00 PDT,+732588,-35004.9
2012-04-12 06:00:00 PDT,+1.12839e+006,+110482
2012-04-12 07:00:00 PDT,+628221,+32738.4
2012-04-12 08:00:00 PDT,+307398,+6503.87
2012-04-12 09:00:00 PDT,+358361,+6373.26
2012-04-12 10:00:00 PDT,+269278,+4204.05
2012-04-12 11:00:00 PDT,+227302,+3380.92
2012-04-12 12:00:00 PDT,+213929,+3106.71
2012-04-12 13:00:00 PDT,+210631,+3953.28
2012-04-12 14:00:00 PDT,+387066,+7059.55
2012-04-12 15:00:00 PDT,+452604,+14935.4
2012-04-12 16:00:00 PDT,+328654,+7340.61
2012-04-12 17:00:00 PDT,+329441,+6539.13
2012-04-12 18:00:00 PDT,+370340,+8075.83
2012-04-12 19:00:00 PDT,+388047,+8181.23
2012-04-12 20:00:00 PDT,+333592,+5405.34
2012-04-12 21:00:00 PDT,+321385,+5785.54
2012-04-12 22:00:00 PDT,+355769,+8344.56
2012-04-12 23:00:00 PDT,+253130,+3860.16
2012-04-13 00:00:00 PDT,+349544,+13685
2012-04-13 01:00:00 PDT,+408039,+21378.3
2012-04-13 02:00:00 PDT,+177016,+2486.24
2012-04-13 03:00:00 PDT,+401744,+19912.4
2012-04-13 04:00:00 PDT,+284325,+8541.34
2012-04-13 05:00:00 PDT,+373056,+14325.7
2012-04-13 06:00:00 PDT,+554673,+19666.6
2012-04-13 07:00:00 PDT,+501747,+17164.5
2012-04-13 08:00:00 PDT,+280898,+4971.16
2012-04-13 09:00:00 PDT,+354073,+6034.75
2012-04-13 10:00:00 PDT,+273725,+4531.31
2012-04-13 11:00:00 PDT,+231632,+3555.28
2012-04-13 12:00:00 PDT,+213929,+3106.71
2012-04-13 13:00:00 PDT,+224884,+5404.83
2012-04-13 14:00:00 PDT,+399808,+10020.6
2012-04-13 15:00:00 PDT,+447151,+22595.4
2012-04-13 16:00:00 PDT,+355381,+14348.2
2012-04-13 17:00:00 PDT,+343240,+6808.46
2012-04-13 18:00:00 PDT,+361906,+7877.95
2012-04-13 19:00:00 PDT,+375183,+7393.9
2012-04-13 20:00:00 PDT,+383496,+9067.52
2012-04-13 21:00:00 PDT,+431185,+15066.6
2012-04-13 22:00:00 PDT,+590732,+37033.1
2012-04-13 23:00:00 PDT,+407159,+20806
2012-04-14 00:00:00 PDT,+810731,-29226.6
2012-04-14 01:00:00 PDT,+452231,-76787.5
2012-04-14 02:00:00 PDT,+348273,+20166.2
2012-04-14 03:00:00 PDT,+697599,-54559.4
2012-04-14 04:00:00 PDT,+717199,+38362
2012-04-14 05:00:00 PDT,+968370,-115862
2012-04-14 06:00:00 PDT,+1.23603e+006,+9600.92
2012-04-14 07:00:00 PDT,+989058,-118532
2012-04-14 08:00:00 PDT,+713197,+51554.6
2012-04-14 09:00:00 PDT,+812847,-32282.1
2012-04-14 10:00:00 PDT,+402888,+17889.6
2012-04-14 11:00:00 PDT,+975463,+97780.3
2012-04-14 12:00:00 PDT,+283644,-94871.3
2012-04-14 13:00:00 PDT,+442734,-76020.7
2012-04-14 14:00:00 PDT,+427571,+11768.4
2012-04-14 15:00:00 PDT,+584086,+24024.1
2012-04-14 16:00:00 PDT,+419377,-83234
2012-04-14 17:00:00 PDT,+694579,-49655.3
2012-04-14 18:00:00 PDT,+571205,-164193
2012-04-14 19:00:00 PDT,+722976,+49306.5
2012-04-14 20:00:00 PDT,+982808,+93923
2012-04-14 21:00:00 PDT,+665600,-162683
2012-04-14 22:00:00 PDT,+1.00254e+006,+93827.7
2012-04-14 23:00:00 PDT,+425487,+18104.6
2012-04-15 00:00:00 PDT,+1.54295e+006,+82265.3
2012-04-15 01:00:00 PDT,+249703,+7129.57
2012-04-15 02:00:00 PDT,+601767,+45978.1
2012-04-15 03:00:00 PDT,+929224,+83403.6
2012-04-15 04:00:00 PDT,+753654,+65906.5
2012-04-15 05:00:00 PDT,+1.11677e+006,+13577.4
2012-04-15 06:00:00 PDT,+1.33901e+006,-62931.7
2012-04-15 07:00:00 PDT,+925498,-123491
2012-04-15 08:00:00 PDT,+378678,+16489.9
2012-04-15 09:00:00 PDT,+412697,+10412.8
2012-04-15 10:00:00 PDT,+293424,+5763.2
2012-04-15 11:00:00 PDT,+231629,+3610.2
2012-04-15 12:00:00 PDT,+218194,+3274.51
2012-04-15 13:00:00 PDT,+215483,+2965.37
2012-04-15 14:00:00 PDT,+389839,+7312.47
2012-04-15 15:00:00 PDT,+438830,+9507.83
2012-04-15 16:00:00 PDT,+328870,+6135.85
2012-04-15 17:00:00 PDT,+347789,+6816.43
2012-04-15 18:00:00 PDT,+361589,+7630.54
2012-04-15 19:00:00 PDT,+379098,+9629.51
2012-04-15 20:00:00 PDT,+357930,+8902.95
2012-04-15 21:00:00 PDT,+572819,+29117.6
2012-04-15 22:00:00 PDT,+561380,+31504.7
2012-04-15 23:00:00 PDT,+328434,+11876.3
2012-04-16 00:00:00 PDT,+982492,+93519.1
2012-04-16 01:00:00 PDT,+458551,-72239.6
2012-04-16 02:00:00 PDT,+440144,-75867.1
2012-04-16 03:00:00 PDT,+902708,-28124.8
2012-04-16 04:00:00 PDT,+635615,+49916.4
2012-04-16 05:00:00 PDT,+748889,-39270.8
2012-04-16 06:00:00 PDT,+792334,+50443.8
2012-04-16 07:00:00 PDT,+610781,+29206.3
2012-04-16 08:00:00 PDT,+295956,+5522.86
2012-04-16 09:00:00 PDT,+354878,+6079.71
2012-04-16 10:00:00 PDT,+278965,+4651.5
2012-04-16 11:00:00 PDT,+230968,+3446.45
2012-04-16 12:00:00 PDT,+217602,+3163.72
2012-04-16 13:00:00 PDT,+212445,+4475.44
2012-04-16 14:00:00 PDT,+398868,+8069.7
2012-04-16 15:00:00 PDT,+425190,+13334.4
2012-04-16 16:00:00 PDT,+331318,+7931.37
2012-04-16 17:00:00 PDT,+334907,+8060.3
2012-04-16 18:00:00 PDT,+388182,+8352.15
2012-04-16 19:00:00 PDT,+380112,+7392.82
2012-04-16 20:00:00 PDT,+327577,+5424.46
2012-04-16 21:00:00 PDT,+317139,+5644.34
2012-04-16 22:00:00 PDT,+302869,+5007.32
2012-04-16 23:00:00 PDT,+256918,+3888.46
2012-04-17 00:00:00 PDT,+294333,+10676.4
2012-04-17 01:00:00 PDT,+473371,+30260.9
2012-04-17 02:00:00 PDT,+307526,+16249
2012-04-17 03:00:00 PDT,+497961,+23636.1
2012-04-17 04:00:00 PDT,+423411,+20718.8
2012-04-17 05:00:00 PDT,+434594,+22828.4
2012-04-17 06:00:00 PDT,+564218,+21285.3
2012-04-17 07:00:00 PDT,+506552,+17010.9
2012-04-17 08:00:00 PDT,+283429,+4950.8
2012-04-17 09:00:00 PDT,+354310,+6214.11
2012-04-17 10:00:00 PDT,+261038,+4083.73
2012-04-17 11:00:00 PDT,+227302,+3380.92
2012-04-17 12:00:00 PDT,+213929,+3106.71
2012-04-17 13:00:00 PDT,+219709,+3986.12
2012-04-17 14:00:00 PDT,+402112,+8177.85
2012-04-17 15:00:00 PDT,+415156,+12511.8
2012-04-17 16:00:00 PDT,+336710,+8614.42
2012-04-17 17:00:00 PDT,+334859,+10241.3
2012-04-17 18:00:00 PDT,+369970,+8244.15
2012-04-17 19:00:00 PDT,+392301,+7802.48
2012-04-17 20:00:00 PDT,+328061,+5294.51
2012-04-17 21:00:00 PDT,+371741,+10447.5
2012-04-17 22:00:00 PDT,+327739,+6632.46
2012-04-17 23:00:00 PDT,+271105,+4654.67
