# file...... UndergroundLosses.csv
# date...... Fri Apr 05 14:29:52 2013
# user...... dwp0
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2012-04-03 00:00:00 PDT,+88.9099,+32.5308,+15.5571,+9.07335,+11.2953,+2.37255
2012-04-03 01:00:00 PDT,+1057.89,+177.896,+1647.11,+793.766,+125.108,+37.941
2012-04-03 02:00:00 PDT,+3205.58,+1163.3,+473.905,+334.743,+369.01,+37.3975
2012-04-03 03:00:00 PDT,+4574.9,+1733.35,+691.061,+394.953,+672.209,+93.0499
2012-04-03 04:00:00 PDT,+3350.9,+1361.64,+334.674,+189.207,+1168.83,+319.304
2012-04-03 05:00:00 PDT,+6392.83,+2423.82,+668.57,+500.547,+815.82,+153.575
2012-04-03 06:00:00 PDT,+8273.11,+3038.83,+846.309,+673.56,+616.558,+50.6919
2012-04-03 07:00:00 PDT,+7550.47,+3012.67,+310.41,+304.781,+844.668,+81.3606
2012-04-03 08:00:00 PDT,+755.577,+269.725,+222.165,+90.2583,+193.988,+65.0849
2012-04-03 09:00:00 PDT,+947.478,+377.351,+35.736,+31.832,+136.304,+27.8605
2012-04-03 10:00:00 PDT,+184.756,+64.7503,+34.9803,+22.4039,+26.8616,+6.83749
2012-04-03 11:00:00 PDT,+117.356,+41.623,+15.1536,+10.9733,+10.9349,+1.45516
2012-04-03 12:00:00 PDT,+94.701,+34.2505,+16.4902,+10.046,+10.9815,+2.13844
2012-04-03 13:00:00 PDT,+124.177,+48.8639,+15.1106,+9.45936,+17.6293,+2.96499
2012-04-03 14:00:00 PDT,+463.278,+178.824,+28.9287,+28.9351,+25.4836,+0.377715
2012-04-03 15:00:00 PDT,+266.351,+101.438,+61.6992,+23.4851,+89.1332,+32.5228
2012-04-03 16:00:00 PDT,+316.553,+130.585,+19.9331,+16.7839,+39.0853,+0.705646
2012-04-03 17:00:00 PDT,+861.831,+312.36,+76.7089,+62.3346,+8.81388,-5.22575
2012-04-03 18:00:00 PDT,+542.373,+214.084,+24.357,+11.7214,+279.538,+101.939
2012-04-03 19:00:00 PDT,+862.579,+281.148,+437.68,+207.441,+56.571,+19.624
2012-04-03 20:00:00 PDT,+2640.41,+1063.84,+41.464,+57.4078,+126.22,-23.3908
2012-04-03 21:00:00 PDT,+7719.83,+2983.09,+474.126,+414.32,+804.467,+58.8817
2012-04-03 22:00:00 PDT,+976.591,+361.025,+62.0811,+58.0094,+74.9303,+5.20243
2012-04-03 23:00:00 PDT,+1298.12,+492.244,+36.7785,+47.2014,+19.9624,-14.3815
2012-04-04 00:00:00 PDT,+7703.39,+2550.03,+2257.86,+1328.23,+532.234,+92.92
2012-04-04 01:00:00 PDT,+1839.12,+664.806,+132.086,+110.239,+7.41808,-13.3775
2012-04-04 02:00:00 PDT,+1112.08,+378.978,+349.83,+179.462,+79.6182,+11.4075
2012-04-04 03:00:00 PDT,+4025.51,+1480.98,+428.66,+334.206,+351.207,+29.6527
2012-04-04 04:00:00 PDT,+3956.78,+1327.46,+1161.15,+679.479,+301.179,+52.8446
2012-04-04 05:00:00 PDT,+5596.04,+2069.39,+472.319,+392.252,+359.966,+30.3731
2012-04-04 06:00:00 PDT,+4638.63,+1669.76,+699.99,+516.139,+227.023,-17.886
2012-04-04 07:00:00 PDT,+5334.31,+2066.14,+609.551,+319.921,+1014.16,+272.122
2012-04-04 08:00:00 PDT,+3226.93,+1296.42,+65.4759,+70.3118,+161.63,-11.6558
2012-04-04 09:00:00 PDT,+1692.5,+682.986,+108.168,+65.7426,+360.576,+89.003
2012-04-04 10:00:00 PDT,+264.162,+94.78,+39.5489,+26.8217,+26.6252,+5.04722
2012-04-04 11:00:00 PDT,+231.755,+80.0124,+14.6694,+15.4747,+10.4639,-0.876688
2012-04-04 12:00:00 PDT,+94.2703,+34.0881,+16.4967,+10.0348,+10.9851,+2.15078
2012-04-04 13:00:00 PDT,+383.162,+155.594,+73.0305,+29.7663,+132.677,+42.7948
2012-04-04 14:00:00 PDT,+465.303,+179.542,+28.9023,+29.0177,+25.4478,+0.333066
2012-04-04 15:00:00 PDT,+258.467,+117.995,+102.386,+25.8158,+251.539,+90.7673
2012-04-04 16:00:00 PDT,+467.128,+147.639,+245.097,+125.839,+16.9627,+3.14648
2012-04-04 17:00:00 PDT,+2355.13,+837.956,+612.838,+321.304,+225.315,+61.9634
2012-04-04 18:00:00 PDT,+782.494,+302.94,+91.5175,+50.5729,+144.506,+35.2032
2012-04-04 19:00:00 PDT,+5025.37,+1850.89,+310.412,+297.843,+176.207,-38.0847
2012-04-04 20:00:00 PDT,+7052.35,+2610.83,+749.445,+501.617,+406.993,+23.0716
2012-04-04 21:00:00 PDT,+6918.29,+2463.65,+1363.21,+766.034,+677.127,+163.045
2012-04-04 22:00:00 PDT,+6169.3,+2370.27,+894.037,+456.993,+987.28,+224.842
2012-04-04 23:00:00 PDT,+3917.56,+1545.08,+557.271,+302.087,+785.809,+156.334
2012-04-05 00:00:00 PDT,+7731.62,+2559.26,+3021.65,+1520.03,+1300.84,+393.482
2012-04-05 01:00:00 PDT,+7423.77,+2602.57,+2535.82,+1223.01,+1409.49,+426.332
2012-04-05 02:00:00 PDT,+9204.81,+3339.6,+1787.91,+1010.33,+1394.75,+318.493
2012-04-05 03:00:00 PDT,+10722.7,+3769.21,+1428.22,+1070.86,+436.273,-21.25
2012-04-05 04:00:00 PDT,+6643.2,+2424.16,+1120.47,+647.524,+854.364,+187.967
2012-04-05 05:00:00 PDT,+7307.83,+2623.71,+852.336,+638.785,+412.201,+74.521
2012-04-05 06:00:00 PDT,+12514.7,+4575.12,+412.48,+656.444,+191.56,-114.886
2012-04-05 07:00:00 PDT,+7081.39,+2785.72,+347.246,+258.852,+560.82,+38.9623
2012-04-05 08:00:00 PDT,+1351.99,+523.552,+148.675,+92.1985,+153.828,+29.4944
2012-04-05 09:00:00 PDT,+402.84,+189.388,+44.1431,+9.12586,+445.54,+143.246
2012-04-05 10:00:00 PDT,+293.733,+99.2172,+98.9746,+55.2161,+31.876,+6.44623
2012-04-05 11:00:00 PDT,+116.956,+41.4093,+15.32,+11.036,+10.8908,+1.49674
2012-04-05 12:00:00 PDT,+94.7649,+34.277,+16.4883,+10.048,+10.9795,+2.13617
2012-04-05 13:00:00 PDT,+385.611,+167.117,+15.4095,+4.64759,+157.673,+47.3495
2012-04-05 14:00:00 PDT,+465.995,+178.931,+31.7039,+30.5371,+25.2775,+0.437141
2012-04-05 15:00:00 PDT,+226.848,+91.679,+67.1322,+21.2163,+115.726,+40.7074
2012-04-05 16:00:00 PDT,+441.054,+172.813,+18.587,+21.748,+16.0151,-4.80248
2012-04-05 17:00:00 PDT,+1771.84,+607.396,+505.363,+258.629,+153.435,+43.8264
2012-04-05 18:00:00 PDT,+660.358,+211.624,+412.849,+202.57,+207.441,+76.8066
2012-04-05 19:00:00 PDT,+1507.69,+508.242,+1021.66,+448.944,+647.954,+195.755
2012-04-05 20:00:00 PDT,+2039.54,+745.403,+303.923,+215.291,+172.545,+6.83183
2012-04-05 21:00:00 PDT,+1519.58,+535.737,+207.16,+144.454,+58.7474,+2.75773
2012-04-05 22:00:00 PDT,+3503.01,+1366.03,+672.582,+334.106,+694.976,+191.426
2012-04-05 23:00:00 PDT,+840.247,+210.247,+533.154,+287.483,+47.0787,+10.2542
2012-04-06 00:00:00 PDT,+9755.58,+3540.01,+1926.67,+1133.11,+1160.22,+266.184
2012-04-06 01:00:00 PDT,+6766.38,+2576.72,+331.345,+339.29,+263.906,-82.2079
2012-04-06 02:00:00 PDT,+2787,+1075.81,+235.066,+175.679,+113.267,-32.6468
2012-04-06 03:00:00 PDT,+3778.13,+1365.21,+267.375,+290.098,+126.794,-4.91613
2012-04-06 04:00:00 PDT,+5352.08,+1836.08,+1233.53,+779.467,+708.169,+128.444
2012-04-06 05:00:00 PDT,+2478.14,+961.983,+135.612,+122.021,+605.008,+161.293
2012-04-06 06:00:00 PDT,+5510.88,+2243.89,+129.212,+139.333,+313.482,-17.7353
2012-04-06 07:00:00 PDT,+3960.95,+1474.57,+830.431,+313.363,+501.571,+172.628
2012-04-06 08:00:00 PDT,+1842.47,+613.612,+230.191,+195.592,+101.465,+21.7116
2012-04-06 09:00:00 PDT,+999.318,+380.8,+186.652,+100.203,+74.2917,-1.2698
2012-04-06 10:00:00 PDT,+237.576,+83.8434,+33.5952,+23.8513,+26.669,+5.45086
2012-04-06 11:00:00 PDT,+116.03,+38.9894,+21.1149,+14.3301,+10.4517,+1.80189
2012-04-06 12:00:00 PDT,+93.8594,+33.9342,+16.5042,+10.0236,+10.9911,+2.16341
2012-04-06 13:00:00 PDT,+88.1151,+27.1671,+72.2179,+31.8884,+16.2395,+6.15293
2012-04-06 14:00:00 PDT,+403.331,+147.616,+56.4149,+42.1754,+24.5767,+0.279012
2012-04-06 15:00:00 PDT,+230.788,+88.6798,+62.9717,+19.7901,+127.481,+50.2765
2012-04-06 16:00:00 PDT,+849.945,+335.878,+17.1776,+26.3337,+14.987,-11.0158
2012-04-06 17:00:00 PDT,+1801.7,+665.55,+280.462,+168.108,+180.323,+35.2985
2012-04-06 18:00:00 PDT,+907.419,+380.393,+62.2847,+46.2511,+197.44,+46.5412
2012-04-06 19:00:00 PDT,+3509.47,+1189.74,+427.996,+357.213,+18.256,-29.0732
2012-04-06 20:00:00 PDT,+4179.93,+1469.21,+737.092,+480.909,+448.329,+86.6258
2012-04-06 21:00:00 PDT,+4922.48,+1408.49,+2559.01,+1345.92,+220.141,+56.3048
2012-04-06 22:00:00 PDT,+2594.43,+1027.08,+392.634,+171.886,+510.44,+140.375
2012-04-06 23:00:00 PDT,+3106.88,+1232.34,+65.5619,+95.8548,+208.378,-21.6449
2012-04-07 00:00:00 PDT,+2584.83,+851.108,+753.898,+426.076,+194.072,+28.5408
