# file...... TriplexLosses.csv
# date...... Mon May 19 14:41:09 2014
# user...... dwp0
# host...... (null)
# group..... class=triplex_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2005-05-01 00:00:00 PDT,+147.885,+42.6201,+52.3178,+4.33649,+0,+0
2005-05-01 01:00:00 PDT,+41.646,+16.2393,+1.46449,+0.142092,+0,+0
2005-05-01 02:00:00 PDT,+56.9857,+18.0963,+16.0248,+1.68717,+0,+0
2005-05-01 03:00:00 PDT,+142.803,+35.8408,+72.4219,+7.64658,+0,+0
2005-05-01 04:00:00 PDT,+107.427,+27.9811,+51.722,+5.66567,+0,+0
2005-05-01 05:00:00 PDT,+129.756,+32.9526,+64.258,+6.71439,+0,+0
2005-05-01 06:00:00 PDT,+288.654,+67.7067,+160.424,+16.3395,+0,+0
2005-05-01 07:00:00 PDT,+247.126,+60.2172,+128.75,+12.7975,+0,+0
2005-05-01 08:00:00 PDT,+119.336,+34.8209,+41.0136,+3.44524,+0,+0
2005-05-01 09:00:00 PDT,+154.785,+44.6114,+53.106,+3.87971,+0,+0
2005-05-01 10:00:00 PDT,+146.969,+43.317,+48.2188,+3.75845,+0,+0
2005-05-01 11:00:00 PDT,+72.9694,+26.7506,+7.68728,+0.598028,+0,+0
2005-05-01 12:00:00 PDT,+63.0529,+24.5119,+2.36789,+0.200682,+0,+0
2005-05-01 13:00:00 PDT,+160.977,+47.5624,+64.3955,+4.41167,+0,+0
2005-05-01 14:00:00 PDT,+302.37,+77.6277,+147.785,+12.7782,+0,+0
2005-05-01 15:00:00 PDT,+830.176,+197.797,+509.342,+45.7786,+0,+0
2005-05-01 16:00:00 PDT,+605.19,+147.914,+358.726,+31.2943,+0,+0
2005-05-01 17:00:00 PDT,+292.819,+77.7491,+133.798,+9.82993,+0,+0
2005-05-01 18:00:00 PDT,+218.926,+61.6671,+77.5019,+5.01458,+0,+0
2005-05-01 19:00:00 PDT,+189.692,+56.4042,+57.4075,+3.41235,+0,+0
2005-05-01 20:00:00 PDT,+152.704,+50.4878,+30.6589,+1.59678,+0,+0
2005-05-01 21:00:00 PDT,+136.081,+50.4193,+11.5706,+0.539541,+0,+0
2005-05-01 22:00:00 PDT,+128.865,+49.0026,+7.241,+0.278898,+0,+0
2005-05-01 23:00:00 PDT,+86.1287,+34.192,+0.866011,+0.0346685,+0,+0
2005-05-02 00:00:00 PDT,+52.5297,+20.8436,+0.635418,+0.0540749,+0,+0
2005-05-02 01:00:00 PDT,+38.8404,+14.7071,+2.93393,+0.322536,+0,+0
2005-05-02 02:00:00 PDT,+51.5126,+16.4223,+14.3184,+1.52211,+0,+0
2005-05-02 03:00:00 PDT,+167.964,+41.0131,+90.6458,+9.75574,+0,+0
2005-05-02 04:00:00 PDT,+163.145,+39.7939,+92.2812,+10.455,+0,+0
2005-05-02 05:00:00 PDT,+129.008,+33.4987,+61.5695,+6.27161,+0,+0
2005-05-02 06:00:00 PDT,+304.35,+74.2568,+152.419,+13.396,+0,+0
2005-05-02 07:00:00 PDT,+282.812,+71.5764,+132.266,+11.2704,+0,+0
2005-05-02 08:00:00 PDT,+136.539,+40.1362,+44.9737,+3.4559,+0,+0
2005-05-02 09:00:00 PDT,+155.143,+44.3521,+54.7459,+4.13393,+0,+0
2005-05-02 10:00:00 PDT,+166.063,+46.6908,+61.6504,+4.86416,+0,+0
2005-05-02 11:00:00 PDT,+69.4312,+25.075,+8.57748,+0.696446,+0,+0
2005-05-02 12:00:00 PDT,+64.7572,+24.1608,+6.54488,+0.444561,+0,+0
2005-05-02 13:00:00 PDT,+525.456,+133.631,+297.878,+20.2317,+0,+0
2005-05-02 14:00:00 PDT,+290.579,+73.5176,+146.701,+13.5858,+0,+0
2005-05-02 15:00:00 PDT,+1115.87,+258.456,+729.699,+71.496,+0,+0
2005-05-02 16:00:00 PDT,+344.851,+88.8344,+177.431,+14.092,+0,+0
2005-05-02 17:00:00 PDT,+701.558,+172.56,+408.603,+33.4253,+0,+0
2005-05-02 18:00:00 PDT,+239.686,+67.702,+82.3089,+4.65919,+0,+0
2005-05-02 19:00:00 PDT,+192.397,+58.2642,+53.7679,+2.73094,+0,+0
2005-05-02 20:00:00 PDT,+164.178,+54.2775,+32.7063,+1.61031,+0,+0
2005-05-02 21:00:00 PDT,+153.808,+56.1762,+14.6715,+0.437476,+0,+0
2005-05-02 22:00:00 PDT,+125.369,+49.6337,+1.67932,+0.0820323,+0,+0
2005-05-02 23:00:00 PDT,+87.4711,+34.797,+0.824768,+0.085325,+0,+0
2005-05-03 00:00:00 PDT,+52.2845,+20.5725,+1.21418,+0.113052,+0,+0
2005-05-03 01:00:00 PDT,+37.7574,+14.4993,+2.07007,+0.202522,+0,+0
2005-05-03 02:00:00 PDT,+47.0988,+15.5012,+11.3537,+1.18149,+0,+0
2005-05-03 03:00:00 PDT,+157.936,+38.944,+82.4099,+8.68872,+0,+0
2005-05-03 04:00:00 PDT,+140.787,+35.0904,+74.0993,+8.18338,+0,+0
2005-05-03 05:00:00 PDT,+130.202,+33.8092,+60.9452,+6.06557,+0,+0
2005-05-03 06:00:00 PDT,+304.949,+74.4,+152.686,+13.4063,+0,+0
2005-05-03 07:00:00 PDT,+297.774,+74.9496,+140.281,+11.8604,+0,+0
2005-05-03 08:00:00 PDT,+148.053,+42.69
