# file...... UndergroundLosses.csv
# date...... Mon May 19 14:41:09 2014
# user...... dwp0
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2005-05-01 00:00:00 PDT,+1129.87,+901.3,+1654.67,+1000.41,+1073.84,+1264.19
2005-05-01 01:00:00 PDT,+46.8209,+15.6006,+174.956,+109.057,+26.5306,+59.1695
2005-05-01 02:00:00 PDT,+67.6588,+29.8162,+196.459,+119.016,+58.0694,+94.2469
2005-05-01 03:00:00 PDT,+322.4,+95.6146,+816.214,+551.017,+77.8412,+226.337
2005-05-01 04:00:00 PDT,+123.282,+34.2044,+521.179,+328.123,+53.6102,+148.178
2005-05-01 05:00:00 PDT,+317.898,+129.768,+531.545,+404.649,+62.9515,+160.206
2005-05-01 06:00:00 PDT,+897.286,+277.909,+2504.48,+1751.91,+162.854,+606.734
2005-05-01 07:00:00 PDT,+569.328,+90.9159,+2365.48,+1565.06,+55.2888,+431.86
2005-05-01 08:00:00 PDT,+273.394,+98.1243,+536.732,+408.476,+31.9286,+127.171
2005-05-01 09:00:00 PDT,+222.116,+58.0433,+1045.6,+622.206,+140.115,+333.893
2005-05-01 10:00:00 PDT,+229.104,+88.2654,+665.272,+431.669,+114.182,+238.043
2005-05-01 11:00:00 PDT,+106.395,+40.5647,+214.507,+144.844,+41.7406,+81.6867
2005-05-01 12:00:00 PDT,+73.9814,+32.6976,+184.399,+119.019,+46.8053,+80.8996
2005-05-01 13:00:00 PDT,+100.597,+24.2043,+974.314,+534.078,+134.357,+309.892
2005-05-01 14:00:00 PDT,+803.276,+332.263,+932.104,+737.108,+147.242,+327.921
2005-05-01 15:00:00 PDT,+3780.47,+2515.91,+5563.31,+4086.19,+1633.81,+2135.57
2005-05-01 16:00:00 PDT,+1607.17,+807.017,+3466.03,+2406.52,+801.867,+1418.37
2005-05-01 17:00:00 PDT,+751.294,+303.453,+1739.5,+1232.25,+224.618,+543.674
2005-05-01 18:00:00 PDT,+320.016,+90.4014,+1326.61,+845.306,+128.072,+367.664
2005-05-01 19:00:00 PDT,+222.936,+139.849,+898.878,+484.874,+443.355,+592.792
2005-05-01 20:00:00 PDT,+206.676,+100.181,+419.233,+259.909,+172.442,+244.112
2005-05-01 21:00:00 PDT,+231.172,+91.5783,+420.607,+282.572,+99.7305,+177.765
2005-05-01 22:00:00 PDT,+203.424,+90.5122,+422.376,+287.015,+99.1719,+177.124
2005-05-01 23:00:00 PDT,+104.365,+42.7952,+292.733,+187.642,+61.8488,+116.544
2005-05-02 00:00:00 PDT,+63.5383,+25.1135,+187.653,+119.926,+36.7203,+71.8306
2005-05-02 01:00:00 PDT,+41.9352,+22.4635,+104.295,+63.5464,+43.3709,+61.2059
2005-05-02 02:00:00 PDT,+83.3382,+34.4446,+182.41,+123.645,+36.407,+70.2572
2005-05-02 03:00:00 PDT,+542.254,+175.786,+990.913,+741.264,+61.8767,+242.842
2005-05-02 04:00:00 PDT,+122.746,+11.4326,+1008.21,+593.197,+53.3614,+215.803
2005-05-02 05:00:00 PDT,+285.305,+114.391,+426.385,+348.551,+26.0105,+101.906
2005-05-02 06:00:00 PDT,+1136.77,+404.706,+2188.23,+1661.59,+133.428,+524.753
2005-05-02 07:00:00 PDT,+601.57,+138.769,+2533.79,+1661.86,+130.26,+560.053
2005-05-02 08:00:00 PDT,+411.788,+164.85,+558.772,+468.718,+29.019,+128.472
2005-05-02 09:00:00 PDT,+216.476,+64.0772,+1026.67,+599.836,+170.432,+363.189
2005-05-02 10:00:00 PDT,+312.93,+157.52,+646.525,+408.669,+252.215,+363.249
2005-05-02 11:00:00 PDT,+89.3664,+32.4072,+228.436,+151.513,+35.7607,+78.2358
2005-05-02 12:00:00 PDT,+69.4542,+23.9117,+235.856,+144.272,+39.5168,+82.9947
2005-05-02 13:00:00 PDT,+1717.51,+770.964,+3252.43,+2155.81,+939.404,+1541.62
2005-05-02 14:00:00 PDT,+644.662,+267.289,+1113.51,+809.166,+169.92,+377.662
2005-05-02 15:00:00 PDT,+4661.08,+1954.35,+11697,+7934.43,+1895.71,+4050.21
2005-05-02 16:00:00 PDT,+788.384,+336.649,+1626.28,+1176.39,+198.869,+484.772
2005-05-02 17:00:00 PDT,+1838.6,+1025.37,+4611.69,+2762.6,+2076.58,+2821.14
2005-05-02 18:00:00 PDT,+378.547,+83.3731,+1663.37,+1058.08,+113.554,+403.964
2005-05-02 19:00:00 PDT,+232.381,+138.217,+997.69,+541.516,+439.854,+612.491
2005-05-02 20:00:00 PDT,+281.662,+142.79,+429.142,+293.672,+171.735,+243.427
2005-05-02 21:00:00 PDT,+174.489,+68.4188,+510.051,+322.351,+105.652,+201.352
2005-05-02 22:00:00 PDT,+152.754,+67.783,+377.9,+244.25,+95.7917,+165.638
2005-05-02 23:00:00 PDT,+108.736,+48.3552,+262.403,+171.093,+65.4346,+113.902
2005-
