# file...... Voltage_675.csv
# date...... Wed Aug 08 17:11:22 2012
# user...... dwp0
# host...... (null)
# target.... node 48
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2384.55,-82.2195,-1280.16,-2067.76,-1162.05,+2117.45
2000-01-01 00:01:00 PST,+2368.45,-82.0958,-1281.03,-2067.09,-1155.2,+2104.27
2000-01-01 00:02:00 PST,+2332.76,-102.556,-1291.58,-2062.95,-1139.87,+2083.43
2000-01-01 00:03:00 PST,+2315.19,-102.174,-1293.32,-2056.89,-1131.01,+2071.13
2000-01-01 00:04:00 PST,+2301.67,-100.64,-1292.46,-2054.09,-1119.72,+2058.12
2000-01-01 00:05:00 PST,+2266.6,-109.991,-1308.53,-2030.35,-1109.57,+2045.41
2000-01-01 00:06:00 PST,+2234.03,-147.396,-1323.43,-2017.7,-1062.37,+2029.05
2000-01-01 00:07:00 PST,+2214.4,-145.318,-1329.91,-2010.1,-1058.09,+2018.31
2000-01-01 00:08:00 PST,+2213.09,-143.921,-1331.02,-2007.7,-1053.44,+2006.05
2000-01-01 00:09:00 PST,+2203.58,-150.978,-1334.39,-2000.13,-1038.01,+1988.22
2000-01-01 00:10:00 PST,+2185.88,-156.659,-1348.82,-1986.17,-1033.62,+1976.28
2000-01-01 00:11:00 PST,+2185.03,-150.548,-1351.5,-1983.61,-1040.56,+1965.63
2000-01-01 00:12:00 PST,+2189.67,-150.783,-1344.1,-1997.19,-1038.32,+1949.35
2000-01-01 00:13:00 PST,+2190.19,-151.785,-1342.47,-1994.57,-1020.18,+1933.08
2000-01-01 00:14:00 PST,+2172.54,-157.575,-1361.67,-1958.26,-1006.11,+1927.73
2000-01-01 00:15:00 PST,+2160.22,-175.236,-1373.21,-1939.04,-972.032,+1917.64
2000-01-01 00:16:00 PST,+2147.26,-198.488,-1397.93,-1918.13,-968.906,+1915.44
2000-01-01 00:17:00 PST,+2164.71,-203.717,-1394.62,-1922.43,-962.183,+1913.38
2000-01-01 00:18:00 PST,+2162.15,-214.331,-1393.68,-1935.1,-960.275,+1907.06
2000-01-01 00:19:00 PST,+2169.75,-224.054,-1398.21,-1932.44,-957.565,+1904.93
2000-01-01 00:20:00 PST,+2164.83,-223.321,-1404.1,-1913.03,-950.006,+1909.64
