# file...... Voltage_675.csv
# date...... Wed Aug 08 15:10:31 2012
# user...... dwp0
# host...... (null)
# target.... node 48
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2384.55,-82.2195,-1280.16,-2067.76,-1162.05,+2117.45
2000-01-01 00:01:00 PST,+2369.16,-81.8568,-1280.37,-2067.68,-1154.84,+2104.18
2000-01-01 00:02:00 PST,+2353.81,-81.4503,-1280.56,-2067.59,-1147.63,+2090.92
2000-01-01 00:03:00 PST,+2338.54,-81.0136,-1280.66,-2067.57,-1140.36,+2077.64
2000-01-01 00:04:00 PST,+2322,-82.1145,-1281.29,-2068.53,-1133.68,+2063.7
2000-01-01 00:05:00 PST,+2302.57,-88.8894,-1282.38,-2069.3,-1120.4,+2046.72
2000-01-01 00:06:00 PST,+2278.32,-93.654,-1287.66,-2058.93,-1104.21,+2032.32
2000-01-01 00:07:00 PST,+2266.61,-87.8829,-1284.29,-2062.8,-1101,+2020.42
2000-01-01 00:08:00 PST,+2256.43,-81.9317,-1281.83,-2064.97,-1097.55,+2008.25
2000-01-01 00:09:00 PST,+2250.81,-71.609,-1276.19,-2069.4,-1094,+1996.78
2000-01-01 00:10:00 PST,+2242.14,-64.7623,-1270.39,-2076.33,-1092.2,+1985.22
2000-01-01 00:11:00 PST,+2219.12,-68.8812,-1275.95,-2076.58,-1092.72,+1969.81
2000-01-01 00:12:00 PST,+2215.03,-75.0918,-1277.02,-2076.26,-1081.99,+1953.3
2000-01-01 00:13:00 PST,+2216.11,-73.9745,-1276.1,-2076.67,-1074.19,+1940.04
2000-01-01 00:14:00 PST,+2218.37,-76.6907,-1272.15,-2084.5,-1065.46,+1923.84
2000-01-01 00:15:00 PST,+2225.2,-66.3793,-1269.65,-2079.5,-1058.72,+1915.22
2000-01-01 00:16:00 PST,+2201.06,-30.9752,-1225.12,-2056.93,-1054.72,+1872.67
2000-01-01 00:17:00 PST,+2198.77,-29.7271,-1227.19,-2052.83,-1056.71,+1874
2000-01-01 00:18:00 PST,+2196.26,-37.1376,-1227.18,-2058.2,-1055.53,+1869.89
2000-01-01 00:19:00 PST,+2196.19,-37.3571,-1227.52,-2053.65,-1050.61,+1869.93
2000-01-01 00:20:00 PST,+2196.19,-35.2431,-1228.11,-2051.5,-1052.63,+1871.15
2000-01-01 00:21:00 PST,+2196.89,-32.7925,-1228.65,-2050.3,-1056.33,+1872.64
2000-01-01 00:22:00 PST,+2199.85,-28.9181,-1226.94,-2049.96,-1055.13,+1873.82
2000-01-01 00:23:00 PST,+2199.65,-29.8484,-1226.75,-2055,-1060.12,+1873.27
2000-01-01 00:24:00 PST,+2199.47,-31.443,-1226.05,-2058.5,-1060.36,+1872.02
2000-01-01 00:25:00 PST,+2200.59,-28.7819,-1226.08,-2055.6,-1059.15,+1873.69
2000-01-01 00:26:00 PST,+2200.61,-28.6786,-1226.06,-2055.61,-1059.23,+1873.71
2000-01-01 00:27:00 PST,+2198.71,-26.5308,-1228.71,-2048.18,-1060.15,+1876.09
2000-01-01 00:28:00 PST,+2197.96,-25.4231,-1229.63,-2045.43,-1060.62,+1877.1
2000-01-01 00:29:00 PST,+2200.48,-23.8713,-1227.84,-2044.85,-1056.89,+1877.54
2000-01-01 00:30:00 PST,+2196.59,-35.7428,-1226.42,-2060.83,-1058.37,+1870.5
2000-01-01 00:31:00 PST,+2191.24,-43.9883,-1227.83,-2064.98,-1056.47,+1866.69
2000-01-01 00:32:00 PST,+2192.95,-42.0542,-1227.61,-2062.56,-1052.59,+1866.98
2000-01-01 00:33:00 PST,+2195.18,-36.639,-1227.92,-2056.5,-1053.05,+1869.85
2000-01-01 00:34:00 PST,+2200.81,-29.7165,-1226.03,-2047.84,-1042.27,+1871.75
2000-01-01 00:35:00 PST,+2197.41,-26.8853,-1231.06,-2032.7,-1039.3,+1875.28
2000-01-01 00:36:00 PST,+2183.59,-34.2073,-1239.64,-2023.66,-1046.12,+1876.4
2000-01-01 00:37:00 PST,+2181.32,-41.0251,-1239.52,-2024.89,-1041.99,+1874
2000-01-01 00:38:00 PST,+2177.87,-46.1938,-1239.37,-2036.82,-1051.41,+1871.61
2000-01-01 00:39:00 PST,+2188.02,-36.6641,-1234.31,-2032.83,-1047.83,+1874.34
2000-01-01 00:40:00 PST,+2188.18,-40.2576,-1233.38,-2049.65,-1056.17,+1870.18
2000-01-01 00:41:00 PST,+2193.72,-31.9564,-1232.02,-2041.78,-1051.95,+1873.36
2000-01-01 00:42:00 PST,+2198.02,-29.5179,-1228.66,-2046.17,-1052.91,+1873.57
2000-01-01 00:43:00 PST,+2196.74,-33.7544,-1227.67,-2054.47,-1057.57,+1871.21
2000-01-01 00:44:00 PST,+2200.26,-36.4986,-1223.13,-2063.79,-1053.1,+1867.31
2000-01-01 00:45:00 PST,+2198.92,-36.6865,-1223.74,-2063.46,-1056.18,+1868.16
2000-01-01 00:46:00 PST,+2196.38,-36.7925,-1226.04,-2060.44,-1056.28,+1869.03
2000-01-01 00:47:00 PST,+2201.26,-29.9611,-1223.77,-2055.2,-1052.31,+1872.13
2000-01-01 00:48:00 PST,+2194.72,-34.4043,-1228.06,-2053.46,-1053.66,+1871.53
2000-01-01 00:49:00 PST,+2192.83,-34.9704,-1230.41,-2043.65,-1047.36,+1872.2
2000-01-01 00:50:00 PST,+2188.07,-42.5327,-1231.18,-2047.24,-1042.29,+1867.85
2000-01-01 00:51:00 PST,+2180.85,-48.6874,-1235.58,-2042.53,-1042.75,+1866.85
2000-01-01 00:52:00 PST,+2181.34,-41.8818,-1236.84,-2032.05,-1043.22,+1871.92
2000-01-01 00:53:00 PST,+2185.85,-34.514,-1235.48,-2026.17,-1043.89,+1875.17
2000-01-01 00:54:00 PST,+2187.2,-31.2322,-1235.13,-2029.13,-1053.57,+1877.62
2000-01-01 00:55:00 PST,+2190.83,-34.6851,-1232.11,-2041.32,-1054.8,+1872.72
2000-01-01 00:56:00 PST,+2195.41,-36.8725,-1227.07,-2053.66,-1050.63,+1868.93
2000-01-01 00:57:00 PST,+2196.92,-35.8834,-1226,-2056.28,-1051.71,+1868.45
2000-01-01 00:58:00 PST,+2199.79,-35.7806,-1223.14,-2060.2,-1049.05,+1867.43
2000-01-01 00:59:00 PST,+2200.04,-31.5095,-1224.59,-2054.62,-1051.44,+1870.65
2000-01-01 01:00:00 PST,+2198.39,-35.5671,-1223.58,-2059.43,-1049.03,+1868.76
2000-01-01 01:01:00 PST,+2197.45,-35.7767,-1224.95,-2053.62,-1044.89,+1869.9
2000-01-01 01:02:00 PST,+2190.98,-35.4669,-1231.58,-2043.56,-1047.25,+1872.15
2000-01-01 01:03:00 PST,+2185.67,-39.9249,-1234.21,-2038.46,-1043.7,+1871.49
2000-01-01 01:04:00 PST,+2183.14,-38.6978,-1236.19,-2032.62,-1045.01,+1873.05
2000-01-01 01:05:00 PST,+2182.53,-41.2012,-1235.3,-2035.44,-1044.9,+1871.66
2000-01-01 01:06:00 PST,+2191.33,-29.1183,-1231.46,-2029.83,-1049.02,+1877.22
2000-01-01 01:07:00 PST,+2184.33,-33.5295,-1236.19,-2032.42,-1058.62,+1876.4
2000-01-01 01:08:00 PST,+2180.1,-37.3381,-1237.52,-2038.16,-1060.61,+1875.42
2000-01-01 01:09:00 PST,+2184.84,-40.5336,-1232.88,-2044.39,-1050.33,+1870.84
2000-01-01 01:10:00 PST,+2182.01,-45.4737,-1233.39,-2048.62,-1049.33,+1867.85
2000-01-01 01:11:00 PST,+2190.77,-45.855,-1226.65,-2048.81,-1031.74,+1864.4
2000-01-01 01:12:00 PST,+2190.54,-44.2857,-1230.37,-2035.79,-1025,+1865.01
2000-01-01 01:13:00 PST,+2184.95,-46.8029,-1234.13,-2033.21,-1029.28,+1866.01
2000-01-01 01:14:00 PST,+2192.27,-46.0461,-1227.34,-2036.26,-1017.82,+1864.3
2000-01-01 01:15:00 PST,+2189.08,-43.7004,-1229.93,-2034.18,-1027.37,+1868.06
2000-01-01 01:16:00 PST,+2172.16,-57.224,-1236.85,-2043.91,-1040.11,+1866.22
2000-01-01 01:17:00 PST,+2167.21,-58.5685,-1240.54,-2039.92,-1040.95,+1865.89
2000-01-01 01:18:00 PST,+2160.82,-58.8722,-1245.11,-2040.16,-1054.33,+1867.34
2000-01-01 01:19:00 PST,+2175.23,-52.6211,-1236.52,-2049.41,-1051.94,+1865.25
2000-01-01 01:20:00 PST,+2185.99,-43.827,-1231.1,-2045.51,-1043.46,+1867.56
2000-01-01 01:21:00 PST,+2187.29,-40.5539,-1231.51,-2046.62,-1050.94,+1870.1
2000-01-01 01:22:00 PST,+2191.88,-34.283,-1230.16,-2041.19,-1046.77,+1872.82
2000-01-01 01:23:00 PST,+2196.26,-23.936,-1231.06,-2031.26,-1049.53,+1879.2
2000-01-01 01:24:00 PST,+2191.91,-29.542,-1234,-2034.62,-1050.3,+1875.43
2000-01-01 01:25:00 PST,+2190.37,-33.3331,-1232.6,-2037.77,-1045.56,+1872.98
2000-01-01 01:26:00 PST,+2191.01,-32.4048,-1232.15,-2040.78,-1052.33,+1872.97
2000-01-01 01:27:00 PST,+2192.97,-27.5054,-1231.15,-2029.61,-1044.69,+1877.11
