# file...... TransformerLosses.csv
# date...... Thu Jul 31 13:52:40 2014
# user...... dwp0
# host...... (null)
# group..... class=transformer
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2014-07-30 00:00:00 PDT,+137.401,+254.395,+138.725,+250.116,+95.8348,+162.342
2014-07-30 01:00:00 PDT,+118.833,+149.056,+125.363,+164.213,+85.257,+107.913
2014-07-30 02:00:00 PDT,+115.492,+151.884,+125.224,+162.965,+83.4433,+115.535
2014-07-30 03:00:00 PDT,+129.161,+289.184,+143.428,+281.981,+83.8574,+148.724
2014-07-30 04:00:00 PDT,+112.232,+184.101,+132.456,+226.22,+78.2507,+138.891
2014-07-30 05:00:00 PDT,+113.625,+198.297,+129.04,+205.796,+76.4833,+131.874
2014-07-30 06:00:00 PDT,+174.178,+613.676,+186.805,+593.13,+109.738,+357.125
2014-07-30 07:00:00 PDT,+174.66,+611.026,+197.904,+668.491,+105.546,+325.828
2014-07-30 08:00:00 PDT,+263.233,+1200.66,+261.106,+1086.85,+149.1,+616.485
2014-07-30 09:00:00 PDT,+210.92,+842.983,+247.276,+1002.2,+163.743,+715.499
2014-07-30 10:00:00 PDT,+257.217,+1163.05,+243.713,+965.861,+158.204,+681.12
2014-07-30 11:00:00 PDT,+224.069,+931.524,+240.107,+949.282,+133.929,+514.029
2014-07-30 12:00:00 PDT,+245.356,+1076.41,+256.548,+1061.71,+165.552,+730.294
2014-07-30 13:00:00 PDT,+257.92,+1160.44,+250.159,+1014.45,+177.667,+813.708
2014-07-30 14:00:00 PDT,+517.655,+2906.55,+389.712,+1945.08,+380.341,+2185.46
2014-07-30 15:00:00 PDT,+428.655,+2277.68,+377.39,+1862.08,+289.129,+1563.33
2014-07-30 16:00:00 PDT,+556.848,+3152.98,+457.112,+2396.14,+332.892,+1857.39
2014-07-30 17:00:00 PDT,+442.062,+2371.09,+440.432,+2292.34,+294.466,+1593.24
2014-07-30 18:00:00 PDT,+209.755,+779.293,+221.647,+811.083,+166.098,+727.768
2014-07-30 19:00:00 PDT,+183.104,+641.985,+200.434,+680.935,+126.049,+460.941
2014-07-30 20:00:00 PDT,+187.038,+673.115,+179.996,+532.935,+125.711,+460.245
2014-07-30 21:00:00 PDT,+183.654,+645.1,+215.492,+780.155,+142.824,+571.687
2014-07-30 22:00:00 PDT,+135.431,+323.522,+144.446,+296.708,+88.4975,+204.239
2014-07-30 23:00:00 PDT,+131.92,+305.882,+135.98,+240.682,+82.7721,+170.911
2014-07-31 00:00:00 PDT,+226.701,+962.878,+231.694,+891.835,+127.206,+466.835
2014-07-31 01:00:00 PDT,+111.463,+167.937,+126.323,+188.1,+73.1406,+108.847
2014-07-31 02:00:00 PDT,+112.781,+185.497,+125.006,+179.476,+77.2974,+138.703
2014-07-31 03:00:00 PDT,+162.592,+530.181,+172.696,+493.678,+90.7884,+226.986
2014-07-31 04:00:00 PDT,+118.878,+219.787,+135.019,+249.595,+81.8917,+168.352
2014-07-31 05:00:00 PDT,+128.101,+294.394,+141.497,+291.53,+88.1009,+211.638
2014-07-31 06:00:00 PDT,+201.011,+790.773,+204.337,+710.688,+125.217,+463.501
2014-07-31 07:00:00 PDT,+243.23,+1068.34,+228.772,+870.431,+133.537,+518.558
2014-07-31 08:00:00 PDT,+226.138,+947.452,+177.077,+500.98,+99.2551,+280.983
2014-07-31 09:00:00 PDT,+188.079,+692.593,+204.401,+713.193,+125.068,+456.019
2014-07-31 10:00:00 PDT,+225.491,+939.198,+219.29,+808.306,+147.243,+610.924
2014-07-31 11:00:00 PDT,+252.382,+1119.44,+225.394,+838.264,+156.194,+665.224
2014-07-31 12:00:00 PDT,+270.148,+1241.19,+281.206,+1222.03,+191.389,+901.335
2014-07-31 13:00:00 PDT,+221.729,+908.298,+224.045,+832.062,+148.34,+611.031
2014-07-31 14:00:00 PDT,+223.348,+920.611,+195.975,+645.068,+142.795,+582.823
2014-07-31 15:00:00 PDT,+238.732,+1028.68,+256.582,+1065.18,+164.682,+725.699
2014-07-31 16:00:00 PDT,+254.964,+1135.82,+209.605,+733.555,+140.809,+567.795
2014-07-31 17:00:00 PDT,+224.173,+921.591,+223.971,+825.648,+142.014,+563.429
2014-07-31 18:00:00 PDT,+178.777,+622.479,+206.366,+721.376,+117.918,+403.592
2014-07-31 19:00:00 PDT,+143.999,+375.05,+157.044,+383.748,+102.287,+299.54
2014-07-31 20:00:00 PDT,+154.921,+456.63,+155.641,+366.763,+107.802,+338.455
2014-07-31 21:00:00 PDT,+258.825,+1154.56,+259.296,+1060.68,+200.006,+954.525
2014-07-31 22:00:00 PDT,+117.711,+202.926,+132.456,+214.993,+79.5148,+141.492
2014-07-31 23:00:00 PDT,+112.272,+170.235,+127.128,+185.791,+76.7641,+127.401
2014-08-01 00:00:00 PDT,+118.007,+220.597,+131.517,+221.937,+80.0765,+155.71
2014-08-01 01:00:00 PDT,+113.974,+194.19,+133.074,+237.761,+78.767,+147.707
2014-08-01 02:00:00 PDT,+107.357,+145.273,+120.624,+148.597,+71.0797,+94.8417
2014-08-01 03:00:00 PDT,+124.854,+275.543,+145.535,+317.982,+76.4403,+130.114
2014-08-01 04:00:00 PDT,+114.216,+193.856,+134.307,+246.043,+81.5915,+165.817
2014-08-01 05:00:00 PDT,+125.103,+273.177,+130.284,+209.33,+79.6594,+155.17
2014-08-01 06:00:00 PDT,+201.308,+794.805,+221.24,+828.739,+129.304,+488.074
2014-08-01 07:00:00 PDT,+211.768,+848.209,+221.524,+826.694,+134.219,+523.693
2014-08-01 08:00:00 PDT,+207.426,+811.639,+182.313,+544.684,+114.134,+383.773
2014-08-01 09:00:00 PDT,+183.438,+665.519,+189.246,+607.82,+129.309,+487.222
2014-08-01 10:00:00 PDT,+193.089,+721.744,+216.94,+798.205,+143.39,+583.027
2014-08-01 11:00:00 PDT,+133.238,+301.361,+142.816,+294.504,+98.163,+278.185
2014-08-01 12:00:00 PDT,+256.792,+1156.11,+254.038,+1036.69,+185.648,+864.042
2014-08-01 13:00:00 PDT,+243.614,+1068.3,+252.743,+1027.39,+162.991,+709.171
2014-08-01 14:00:00 PDT,+295.155,+1411.64,+214.723,+753.221,+199.855,+965.205
2014-08-01 15:00:00 PDT,+433.808,+2333.04,+410.131,+2086.27,+269.017,+1422.54
2014-08-01 16:00:00 PDT,+471.665,+2581.96,+357.027,+1715.95,+284.795,+1535.73
2014-08-01 17:00:00 PDT,+400.912,+2108.87,+395.433,+1986.08,+249.372,+1288.93
2014-08-01 18:00:00 PDT,+168.245,+532.252,+190.372,+611.422,+113.986,+377.699
2014-08-01 19:00:00 PDT,+187.828,+665.359,+200.312,+679.829,+127.589,+471.422
2014-08-01 20:00:00 PDT,+176.079,+598.485,+177.846,+522.932,+118.277,+408.205
2014-08-01 21:00:00 PDT,+240.127,+1040.32,+238.426,+929.824,+155.314,+655.923
2014-08-01 22:00:00 PDT,+125.491,+237.845,+138.751,+253.739,+83.5236,+165.168
