# file...... VoltageJiggle.csv
# date...... Mon Jun  6 13:06:03 2016
# user...... samsung
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,min(voltage_12.mag),mean(voltage_12.mag),max(voltage_12.mag),std(voltage_12.mag)
2014-07-30 00:00:00 PDT,+237.673,+240.622,+243.369,+2.0111
2014-07-30 01:00:00 PDT,+231.769,+236.669,+241.508,+3.31446
2014-07-30 02:00:00 PDT,+231.594,+236.69,+242.528,+4.20857
2014-07-30 03:00:00 PDT,+234.849,+238.584,+243.745,+3.48269
2014-07-30 04:00:00 PDT,+233.329,+237.575,+243.499,+4.07388
2014-07-30 05:00:00 PDT,+231.653,+236.495,+243.165,+4.79066
2014-07-30 06:00:00 PDT,+229.333,+235.257,+243.744,+6.09716
2014-07-30 07:00:00 PDT,+222.772,+231.047,+241.624,+7.32615
2014-07-30 08:00:00 PDT,+221.973,+229.878,+241.578,+8.06274
2014-07-30 09:00:00 PDT,+223.343,+231.301,+242.841,+8.17273
2014-07-30 10:00:00 PDT,+214.261,+224.715,+241.002,+10.7974
2014-07-30 11:00:00 PDT,+219.925,+229.006,+243.104,+9.96868
2014-07-30 12:00:00 PDT,+211.595,+221.757,+239.749,+11.5434
2014-07-30 13:00:00 PDT,+218.277,+227.553,+242.994,+10.6799
2014-07-30 14:00:00 PDT,+207.204,+221.544,+239.071,+11.6132
2014-07-30 15:00:00 PDT,+211.308,+224.915,+242.255,+12.0293
2014-07-30 16:00:00 PDT,+207.629,+219.429,+239.592,+12.8698
2014-07-30 17:00:00 PDT,+207.147,+222.222,+241.01,+12.7235
2014-07-30 18:00:00 PDT,+210.637,+224.724,+241.389,+11.4331
2014-07-30 19:00:00 PDT,+210.242,+225.746,+239.611,+10.3449
2014-07-30 20:00:00 PDT,+212.592,+225.612,+242.339,+11.4247
2014-07-30 21:00:00 PDT,+211.671,+226.71,+241.177,+10.7206
2014-07-30 22:00:00 PDT,+214.886,+227.287,+242.619,+10.8797
2014-07-30 23:00:00 PDT,+214.48,+228.014,+241.652,+10.2416
2014-07-31 00:00:00 PDT,+213.723,+227.592,+242.386,+11.0873
2014-07-31 01:00:00 PDT,+215.766,+228.037,+243.227,+11.0281
2014-07-31 02:00:00 PDT,+214.462,+225.785,+238.593,+8.97493
2014-07-31 03:00:00 PDT,+211.981,+225.61,+241.159,+11.5386
2014-07-31 04:00:00 PDT,+213.963,+225.77,+240.6,+10.7824
2014-07-31 05:00:00 PDT,+215.375,+227.211,+241.484,+10.6917
2014-07-31 06:00:00 PDT,+214.975,+226.615,+240.245,+10.3738
2014-07-31 07:00:00 PDT,+212.927,+225.644,+239.717,+10.6712
2014-07-31 08:00:00 PDT,+213.803,+225.748,+239.494,+10.2123
2014-07-31 09:00:00 PDT,+213.096,+224.46,+238.971,+10.2554
2014-07-31 10:00:00 PDT,+212.278,+224.09,+240.395,+11.3727
2014-07-31 11:00:00 PDT,+210.79,+223.307,+240.296,+11.824
2014-07-31 12:00:00 PDT,+209.785,+222.852,+239.796,+11.7115
2014-07-31 13:00:00 PDT,+208.161,+221.275,+238.034,+11.2525
2014-07-31 14:00:00 PDT,+208.748,+222.742,+240.41,+12.0627
2014-07-31 15:00:00 PDT,+204.581,+220.502,+237.125,+11.1345
2014-07-31 16:00:00 PDT,+204.557,+219.986,+239.123,+12.6309
2014-07-31 17:00:00 PDT,+204.203,+220.714,+237.03,+11.1696
2014-07-31 18:00:00 PDT,+211.402,+224.743,+241.698,+11.4447
2014-07-31 19:00:00 PDT,+210.94,+227.98,+240.829,+10.5993
2014-07-31 20:00:00 PDT,+214.954,+228.094,+240.883,+9.58512
2014-07-31 21:00:00 PDT,+214.919,+229.174,+242.976,+10.6073
2014-07-31 22:00:00 PDT,+215.568,+229.214,+242.046,+10.0598
2014-07-31 23:00:00 PDT,+214.459,+229.196,+244.447,+11.8489
2014-08-01 00:00:00 PDT,+216.181,+228.914,+242.018,+9.99042
2014-08-01 01:00:00 PDT,+216.702,+229.001,+243.241,+10.7448
2014-08-01 02:00:00 PDT,+217.125,+229.103,+242.494,+10.1674
2014-08-01 03:00:00 PDT,+217.26,+229.109,+243.745,+10.8378
2014-08-01 04:00:00 PDT,+216.303,+226.77,+241.084,+10.7884
2014-08-01 05:00:00 PDT,+215.34,+225.731,+239.992,+10.7178
2014-08-01 06:00:00 PDT,+214.532,+225.62,+240.208,+10.9661
2014-08-01 07:00:00 PDT,+214.29,+225.165,+240.378,+11.2283
2014-08-01 08:00:00 PDT,+214.394,+224.868,+239.874,+10.7597
2014-08-01 09:00:00 PDT,+212.528,+224.165,+240.067,+11.3439
2014-08-01 10:00:00 PDT,+214.57,+225.793,+240.2,+10.5852
2014-08-01 11:00:00 PDT,+212.135,+223.294,+240.903,+12.3149
2014-08-01 12:00:00 PDT,+209.533,+220.497,+239.143,+12.4975
2014-08-01 13:00:00 PDT,+211.997,+226.046,+241.974,+11.8937
2014-08-01 14:00:00 PDT,+210.595,+224.177,+241.717,+12.2306
2014-08-01 15:00:00 PDT,+213.822,+223.986,+240.521,+11.0365
2014-08-01 16:00:00 PDT,+208.547,+224.061,+243.2,+13.5951
2014-08-01 17:00:00 PDT,+213.113,+224.261,+241.478,+11.4603
2014-08-01 18:00:00 PDT,+211.31,+225.325,+240.544,+10.9685
2014-08-01 19:00:00 PDT,+215.409,+227.952,+241.113,+9.72955
2014-08-01 20:00:00 PDT,+216.821,+230.513,+243.871,+10.383
2014-08-01 21:00:00 PDT,+216.907,+230.01,+243.43,+10.3702
2014-08-01 22:00:00 PDT,+216.295,+229.405,+243.18,+10.5246
2014-08-01 23:00:00 PDT,+217.12,+228.996,+243.535,+10.8493
2014-08-02 00:00:00 PDT,+216.123,+227.019,+241.335,+10.7444
2014-08-02 01:00:00 PDT,+215.1,+226.185,+240.374,+10.6738
2014-08-02 02:00:00 PDT,+215.149,+226.178,+240.147,+10.4981
2014-08-02 03:00:00 PDT,+214.971,+226.219,+239.865,+10.331
2014-08-02 04:00:00 PDT,+215.222,+226.234,+240.133,+10.4693
2014-08-02 05:00:00 PDT,+215.144,+226.315,+240.395,+10.6868
2014-08-02 06:00:00 PDT,+215.36,+226.229,+239.88,+10.3021
2014-08-02 07:00:00 PDT,+215.183,+225.924,+239.915,+10.4456
2014-08-02 08:00:00 PDT,+211.616,+224.603,+240.031,+11.3969
2014-08-02 09:00:00 PDT,+214.415,+225.151,+240.755,+11.1526
2014-08-02 10:00:00 PDT,+212.363,+223.439,+240.515,+11.5821
2014-08-02 11:00:00 PDT,+214.381,+227.267,+242.726,+11.4007
2014-08-02 12:00:00 PDT,+208.767,+220.431,+239.609,+12.4778
2014-08-02 13:00:00 PDT,+214.779,+227.45,+241.877,+10.6151
2014-08-02 14:00:00 PDT,+208.86,+220.554,+240.847,+13.2033
2014-08-02 15:00:00 PDT,+212.045,+227.316,+241.704,+11.0984
2014-08-02 16:00:00 PDT,+210.636,+221.489,+240.654,+12.4726
2014-08-02 17:00:00 PDT,+213.398,+227.609,+241.128,+10.353
2014-08-02 18:00:00 PDT,+209.68,+223.304,+242.369,+12.9941
2014-08-02 19:00:00 PDT,+216.13,+228.901,+242.284,+9.99839
2014-08-02 20:00:00 PDT,+216.536,+230.215,+242.865,+10.1465
2014-08-02 21:00:00 PDT,+216.834,+229.398,+242.489,+9.92473
2014-08-02 22:00:00 PDT,+215.86,+228.459,+242.925,+10.8166
2014-08-02 23:00:00 PDT,+215.801,+228.114,+242.672,+10.9949
2014-08-03 00:00:00 PDT,+214.561,+226.355,+240.685,+10.8175
2014-08-03 01:00:00 PDT,+214.969,+225.818,+240.135,+10.6311
