# voltDump.csv run at 2013-08-01 00:00:00 PST on 12 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
bus1,199185.800000,0.000000,-99592.900000,-172499.962873,-99592.900000,172499.962873
bus2,196356.243464,33453.557240,-69206.491315,-186776.273652,-127149.752149,153322.716412
bus3,198495.526291,16567.186781,-84900.158524,-180185.761697,-113595.367768,163618.574915
bus4,196424.287286,-8255.463645,-105361.584880,-165980.690887,-91062.702406,174236.154533
bus5,193822.720597,-13612.136328,-108699.816159,-161049.331704,-85122.904439,174661.468032
bus6,199745.171842,6715.554688,-94056.744960,-176342.170442,-105688.426881,169626.615754
bus7,196314.764494,2129.684391,-96313.021463,-171078.415385,-100001.743031,168948.730995
bus8,197989.755924,13147.403924,-87608.892170,-178037.860281,-110380.863754,164890.456357
bus9,190194.934662,-14467.592820,-107626.770245,-157479.848679,-82568.164417,171947.441498
gen1_bus1,199185.800000,0.000000,-99592.900000,-172499.962873,-99592.900000,172499.962873
gen1_bus2,196356.243464,33453.557240,-69206.491315,-186776.273652,-127149.752149,153322.716412
gen1_bus3,198495.526291,16567.186781,-84900.158524,-180185.761697,-113595.367768,163618.574915
