# file...... Inverter_inverter172992.csv
# date...... Fri Jul 25 17:35:48 2014
# user...... jxh10
# host...... (null)
# target.... inverter 2442
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2014-07-30 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 05:00:00 PDT,+240.526,+0,+0,+0,+0,+0
2014-07-30 06:00:00 PDT,+2260.8,+0,+0,+0,+0,+0
2014-07-30 07:00:00 PDT,+3332.29,+0,+0,+0,+0,+0
2014-07-30 08:00:00 PDT,+3704.98,+0,+0,+0,+0,+0
2014-07-30 09:00:00 PDT,+3926.37,+0,+0,+0,+0,+0
2014-07-30 10:00:00 PDT,+4190.67,+0,+0,+0,+0,+0
2014-07-30 11:00:00 PDT,+3873.67,+0,+0,+0,+0,+0
2014-07-30 12:00:00 PDT,+4469.72,+0,+0,+0,+0,+0
2014-07-30 13:00:00 PDT,+4221.56,+0,+0,+0,+0,+0
2014-07-30 14:00:00 PDT,+2855.44,+0,+0,+0,+0,+0
2014-07-30 15:00:00 PDT,+3216.47,+0,+0,+0,+0,+0
2014-07-30 16:00:00 PDT,+2471.55,+0,+0,+0,+0,+0
2014-07-30 17:00:00 PDT,+2479.43,+0,+0,+0,+0,+0
2014-07-30 18:00:00 PDT,+1653.74,+0,+0,+0,+0,+0
2014-07-30 19:00:00 PDT,+367.464,+0,+0,+0,+0,+0
2014-07-30 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 05:00:00 PDT,+30.5436,+0,+0,+0,+0,+0
2014-07-31 06:00:00 PDT,+1109.63,+0,+0,+0,+0,+0
2014-07-31 07:00:00 PDT,+2313.63,+0,+0,+0,+0,+0
2014-07-31 08:00:00 PDT,+3002.18,+0,+0,+0,+0,+0
2014-07-31 09:00:00 PDT,+3930.78,+0,+0,+0,+0,+0
2014-07-31 10:00:00 PDT,+4221.28,+0,+0,+0,+0,+0
2014-07-31 11:00:00 PDT,+3892.89,+0,+0,+0,+0,+0
2014-07-31 12:00:00 PDT,+4182.46,+0,+0,+0,+0,+0
2014-07-31 13:00:00 PDT,+4529.55,+0,+0,+0,+0,+0
2014-07-31 14:00:00 PDT,+4152.65,+0,+0,+0,+0,+0
2014-07-31 15:00:00 PDT,+2411.85,+0,+0,+0,+0,+0
2014-07-31 16:00:00 PDT,+851.419,+0,+0,+0,+0,+0
2014-07-31 17:00:00 PDT,+590.617,+0,+0,+0,+0,+0
2014-07-31 18:00:00 PDT,+272.185,+0,+0,+0,+0,+0
2014-07-31 19:00:00 PDT,+48.6617,+0,+0,+0,+0,+0
2014-07-31 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 05:00:00 PDT,+286.685,+0,+0,+0,+0,+0
2014-08-01 06:00:00 PDT,+2468.88,+0,+0,+0,+0,+0
2014-08-01 07:00:00 PDT,+3500.96,+0,+0,+0,+0,+0
2014-08-01 08:00:00 PDT,+3960.92,+0,+0,+0,+0,+0
2014-08-01 09:00:00 PDT,+4284.67,+0,+0,+0,+0,+0
2014-08-01 10:00:00 PDT,+4450.91,+0,+0,+0,+0,+0
2014-08-01 11:00:00 PDT,+4586.28,+0,+0,+0,+0,+0
2014-08-01 12:00:00 PDT,+4516.53,+0,+0,+0,+0,+0
2014-08-01 13:00:00 PDT,+4298.4,+0,+0,+0,+0,+0
2014-08-01 14:00:00 PDT,+3655.6,+0,+0,+0,+0,+0
2014-08-01 15:00:00 PDT,+2824.62,+0,+0,+0,+0,+0
2014-08-01 16:00:00 PDT,+1643.94,+0,+0,+0,+0,+0
2014-08-01 17:00:00 PDT,+2104.81,+0,+0,+0,+0,+0
2014-08-01 18:00:00 PDT,+826.282,+0,+0,+0,+0,+0
2014-08-01 19:00:00 PDT,+116.449,+0,+0,+0,+0,+0
2014-08-01 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 05:00:00 PDT,+202.631,+0,+0,+0,+0,+0
2014-08-02 06:00:00 PDT,+1927.4,+0,+0,+0,+0,+0
2014-08-02 07:00:00 PDT,+3370.58,+0,+0,+0,+0,+0
2014-08-02 08:00:00 PDT,+3918.52,+0,+0,+0,+0,+0
2014-08-02 09:00:00 PDT,+3928.91,+0,+0,+0,+0,+0
2014-08-02 10:00:00 PDT,+3985.08,+0,+0,+0,+0,+0
2014-08-02 11:00:00 PDT,+4319.74,+0,+0,+0,+0,+0
2014-08-02 12:00:00 PDT,+3164.7,+0,+0,+0,+0,+0
2014-08-02 13:00:00 PDT,+3351.23,+0,+0,+0,+0,+0
2014-08-02 14:00:00 PDT,+2096.32,+0,+0,+0,+0,+0
2014-08-02 15:00:00 PDT,+1920.76,+0,+0,+0,+0,+0
2014-08-02 16:00:00 PDT,+744.245,+0,+0,+0,+0,+0
2014-08-02 17:00:00 PDT,+653.175,+0,+0,+0,+0,+0
2014-08-02 18:00:00 PDT,+381.569,+0,+0,+0,+0,+0
2014-08-02 19:00:00 PDT,+35.3328,+0,+0,+0,+0,+0
2014-08-02 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 23:00:00 PDT,+0,+0,+0,+0,+0,+0
