# file...... Inverter_inverter172840.csv
# date...... Wed Jul 30 11:45:00 2014
# user...... jxh10
# host...... (null)
# target.... inverter 2290
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2014-07-30 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 05:00:00 PDT,+122.45,+0,+0,+0,+0,+0
2014-07-30 06:00:00 PDT,+1150.95,+0,+0,+0,+0,+0
2014-07-30 07:00:00 PDT,+1696.44,+0,+0,+0,+0,+0
2014-07-30 08:00:00 PDT,+1886.17,+0,+0,+0,+0,+0
2014-07-30 09:00:00 PDT,+1998.88,+0,+0,+0,+0,+0
2014-07-30 10:00:00 PDT,+2133.43,+0,+0,+0,+0,+0
2014-07-30 11:00:00 PDT,+1972.05,+0,+0,+0,+0,+0
2014-07-30 12:00:00 PDT,+2275.49,+0,+0,+0,+0,+0
2014-07-30 13:00:00 PDT,+2149.16,+0,+0,+0,+0,+0
2014-07-30 14:00:00 PDT,+1453.68,+0,+0,+0,+0,+0
2014-07-30 15:00:00 PDT,+1637.47,+0,+0,+0,+0,+0
2014-07-30 16:00:00 PDT,+1258.24,+0,+0,+0,+0,+0
2014-07-30 17:00:00 PDT,+1262.26,+0,+0,+0,+0,+0
2014-07-30 18:00:00 PDT,+841.906,+0,+0,+0,+0,+0
2014-07-30 19:00:00 PDT,+187.073,+0,+0,+0,+0,+0
2014-07-30 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 05:00:00 PDT,+15.5495,+0,+0,+0,+0,+0
2014-07-31 06:00:00 PDT,+564.903,+0,+0,+0,+0,+0
2014-07-31 07:00:00 PDT,+1177.85,+0,+0,+0,+0,+0
2014-07-31 08:00:00 PDT,+1528.38,+0,+0,+0,+0,+0
2014-07-31 09:00:00 PDT,+2001.12,+0,+0,+0,+0,+0
2014-07-31 10:00:00 PDT,+2149.02,+0,+0,+0,+0,+0
2014-07-31 11:00:00 PDT,+1981.83,+0,+0,+0,+0,+0
2014-07-31 12:00:00 PDT,+2129.25,+0,+0,+0,+0,+0
2014-07-31 13:00:00 PDT,+2305.95,+0,+0,+0,+0,+0
2014-07-31 14:00:00 PDT,+2114.07,+0,+0,+0,+0,+0
2014-07-31 15:00:00 PDT,+1227.85,+0,+0,+0,+0,+0
2014-07-31 16:00:00 PDT,+433.45,+0,+0,+0,+0,+0
2014-07-31 17:00:00 PDT,+300.678,+0,+0,+0,+0,+0
2014-07-31 18:00:00 PDT,+138.567,+0,+0,+0,+0,+0
2014-07-31 19:00:00 PDT,+24.7733,+0,+0,+0,+0,+0
2014-07-31 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 05:00:00 PDT,+145.949,+0,+0,+0,+0,+0
2014-08-01 06:00:00 PDT,+1256.89,+0,+0,+0,+0,+0
2014-08-01 07:00:00 PDT,+1782.31,+0,+0,+0,+0,+0
2014-08-01 08:00:00 PDT,+2016.47,+0,+0,+0,+0,+0
2014-08-01 09:00:00 PDT,+2181.28,+0,+0,+0,+0,+0
2014-08-01 10:00:00 PDT,+2265.92,+0,+0,+0,+0,+0
2014-08-01 11:00:00 PDT,+2334.83,+0,+0,+0,+0,+0
2014-08-01 12:00:00 PDT,+2299.33,+0,+0,+0,+0,+0
2014-08-01 13:00:00 PDT,+2188.27,+0,+0,+0,+0,+0
2014-08-01 14:00:00 PDT,+1861.03,+0,+0,+0,+0,+0
2014-08-01 15:00:00 PDT,+1437.99,+0,+0,+0,+0,+0
2014-08-01 16:00:00 PDT,+836.913,+0,+0,+0,+0,+0
2014-08-01 17:00:00 PDT,+1071.54,+0,+0,+0,+0,+0
2014-08-01 18:00:00 PDT,+420.653,+0,+0,+0,+0,+0
2014-08-01 19:00:00 PDT,+59.2829,+0,+0,+0,+0,+0
2014-08-01 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 05:00:00 PDT,+103.158,+0,+0,+0,+0,+0
2014-08-02 06:00:00 PDT,+981.224,+0,+0,+0,+0,+0
2014-08-02 07:00:00 PDT,+1715.93,+0,+0,+0,+0,+0
2014-08-02 08:00:00 PDT,+1994.88,+0,+0,+0,+0,+0
2014-08-02 09:00:00 PDT,+2000.17,+0,+0,+0,+0,+0
2014-08-02 10:00:00 PDT,+2028.77,+0,+0,+0,+0,+0
2014-08-02 11:00:00 PDT,+2199.14,+0,+0,+0,+0,+0
2014-08-02 12:00:00 PDT,+1611.12,+0,+0,+0,+0,+0
2014-08-02 13:00:00 PDT,+1706.08,+0,+0,+0,+0,+0
2014-08-02 14:00:00 PDT,+1067.22,+0,+0,+0,+0,+0
2014-08-02 15:00:00 PDT,+977.844,+0,+0,+0,+0,+0
2014-08-02 16:00:00 PDT,+378.888,+0,+0,+0,+0,+0
2014-08-02 17:00:00 PDT,+332.525,+0,+0,+0,+0,+0
2014-08-02 18:00:00 PDT,+194.253,+0,+0,+0,+0,+0
2014-08-02 19:00:00 PDT,+17.9876,+0,+0,+0,+0,+0
2014-08-02 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 23:00:00 PDT,+0,+0,+0,+0,+0,+0
