# file...... Inverter_inverter173362.csv
# date...... Mon Jun  6 13:39:13 2016
# user...... samsung
# host...... (null)
# target.... inverter 2812
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2014-07-30 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 05:00:00 PDT,+362.429,+0,+0,+0,+0,+0
2014-07-30 06:00:00 PDT,+2306.51,+0,+0,+0,+0,+0
2014-07-30 07:00:00 PDT,+3464.71,+0,+0,+0,+0,+0
2014-07-30 08:00:00 PDT,+4205.28,+0,+0,+0,+0,+0
2014-07-30 09:00:00 PDT,+4789.29,+0,+0,+0,+0,+0
2014-07-30 10:00:00 PDT,+5625.51,+0,+0,+0,+0,+0
2014-07-30 11:00:00 PDT,+5057.56,+0,+0,+0,+0,+0
2014-07-30 12:00:00 PDT,+5869.73,+0,+0,+0,+0,+0
2014-07-30 13:00:00 PDT,+5998.65,+0,+0,+0,+0,+0
2014-07-30 14:00:00 PDT,+5812.34,+0,+0,+0,+0,+0
2014-07-30 15:00:00 PDT,+5418.34,+0,+0,+0,+0,+0
2014-07-30 16:00:00 PDT,+5329.09,+0,+0,+0,+0,+0
2014-07-30 17:00:00 PDT,+4504.5,+0,+0,+0,+0,+0
2014-07-30 18:00:00 PDT,+2838.03,+0,+0,+0,+0,+0
2014-07-30 19:00:00 PDT,+560.763,+0,+0,+0,+0,+0
2014-07-30 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 05:00:00 PDT,+56.7842,+0,+0,+0,+0,+0
2014-07-31 06:00:00 PDT,+208.058,+0,+0,+0,+0,+0
2014-07-31 07:00:00 PDT,+490.52,+0,+0,+0,+0,+0
2014-07-31 08:00:00 PDT,+2384.03,+0,+0,+0,+0,+0
2014-07-31 09:00:00 PDT,+3766.79,+0,+0,+0,+0,+0
2014-07-31 10:00:00 PDT,+1835.28,+0,+0,+0,+0,+0
2014-07-31 11:00:00 PDT,+5260.82,+0,+0,+0,+0,+0
2014-07-31 12:00:00 PDT,+5795.83,+0,+0,+0,+0,+0
2014-07-31 13:00:00 PDT,+5404.49,+0,+0,+0,+0,+0
2014-07-31 14:00:00 PDT,+5624.91,+0,+0,+0,+0,+0
2014-07-31 15:00:00 PDT,+4891.83,+0,+0,+0,+0,+0
2014-07-31 16:00:00 PDT,+4486.98,+0,+0,+0,+0,+0
2014-07-31 17:00:00 PDT,+3318.83,+0,+0,+0,+0,+0
2014-07-31 18:00:00 PDT,+1536.86,+0,+0,+0,+0,+0
2014-07-31 19:00:00 PDT,+117.601,+0,+0,+0,+0,+0
2014-07-31 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 05:00:00 PDT,+327.429,+0,+0,+0,+0,+0
2014-08-01 06:00:00 PDT,+2238.49,+0,+0,+0,+0,+0
2014-08-01 07:00:00 PDT,+3898.15,+0,+0,+0,+0,+0
2014-08-01 08:00:00 PDT,+4751.44,+0,+0,+0,+0,+0
2014-08-01 09:00:00 PDT,+5464.4,+0,+0,+0,+0,+0
2014-08-01 10:00:00 PDT,+5406.24,+0,+0,+0,+0,+0
2014-08-01 11:00:00 PDT,+6048.56,+0,+0,+0,+0,+0
2014-08-01 12:00:00 PDT,+5800.17,+0,+0,+0,+0,+0
2014-08-01 13:00:00 PDT,+5797.45,+0,+0,+0,+0,+0
2014-08-01 14:00:00 PDT,+5600.31,+0,+0,+0,+0,+0
2014-08-01 15:00:00 PDT,+4213.29,+0,+0,+0,+0,+0
2014-08-01 16:00:00 PDT,+4914.34,+0,+0,+0,+0,+0
2014-08-01 17:00:00 PDT,+3944.15,+0,+0,+0,+0,+0
2014-08-01 18:00:00 PDT,+2198.77,+0,+0,+0,+0,+0
2014-08-01 19:00:00 PDT,+194.291,+0,+0,+0,+0,+0
2014-08-01 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 05:00:00 PDT,+207.847,+0,+0,+0,+0,+0
2014-08-02 06:00:00 PDT,+686.834,+0,+0,+0,+0,+0
2014-08-02 07:00:00 PDT,+754.627,+0,+0,+0,+0,+0
2014-08-02 08:00:00 PDT,+1327.48,+0,+0,+0,+0,+0
2014-08-02 09:00:00 PDT,+1575.73,+0,+0,+0,+0,+0
2014-08-02 10:00:00 PDT,+5447.62,+0,+0,+0,+0,+0
2014-08-02 11:00:00 PDT,+5559.33,+0,+0,+0,+0,+0
2014-08-02 12:00:00 PDT,+4132.92,+0,+0,+0,+0,+0
2014-08-02 13:00:00 PDT,+5180.44,+0,+0,+0,+0,+0
2014-08-02 14:00:00 PDT,+4600.4,+0,+0,+0,+0,+0
2014-08-02 15:00:00 PDT,+3422.75,+0,+0,+0,+0,+0
2014-08-02 16:00:00 PDT,+2003.81,+0,+0,+0,+0,+0
2014-08-02 17:00:00 PDT,+1394.31,+0,+0,+0,+0,+0
2014-08-02 18:00:00 PDT,+566.606,+0,+0,+0,+0,+0
2014-08-02 19:00:00 PDT,+98.3384,+0,+0,+0,+0,+0
2014-08-02 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 23:00:00 PDT,+0,+0,+0,+0,+0,+0
