# file...... TransformerLosses.csv
# date...... Mon Jun  6 13:39:13 2016
# user...... samsung
# host...... (null)
# group..... class=transformer
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2014-07-30 00:00:00 PDT,+466.879,+471.474,+181.073,+183.316,+316.866,+321.914
2014-07-30 01:00:00 PDT,+472.282,+523.176,+183.547,+203.051,+320.802,+362.335
2014-07-30 02:00:00 PDT,+466.106,+473.549,+180.567,+183.576,+315.925,+325.047
2014-07-30 03:00:00 PDT,+465.891,+472.755,+180.304,+181.541,+315.279,+319.654
2014-07-30 04:00:00 PDT,+465.562,+470.62,+180.531,+183.198,+315.315,+319.096
2014-07-30 05:00:00 PDT,+465.287,+466.998,+180.151,+180.598,+315.312,+317.563
2014-07-30 06:00:00 PDT,+468.717,+487.17,+181.952,+191.926,+319.622,+340.351
2014-07-30 07:00:00 PDT,+471.673,+505.609,+182.436,+195.482,+321.91,+357.422
2014-07-30 08:00:00 PDT,+476.548,+538.86,+185.232,+212.768,+328.575,+398.109
2014-07-30 09:00:00 PDT,+482.809,+574.155,+187.268,+227.02,+329.816,+401.443
2014-07-30 10:00:00 PDT,+479.77,+558.558,+184.747,+210.624,+333.322,+428.706
2014-07-30 11:00:00 PDT,+481.59,+569.103,+189.539,+241.267,+334.7,+434.25
2014-07-30 12:00:00 PDT,+481.345,+576.159,+184.564,+209.021,+334.058,+435.594
2014-07-30 13:00:00 PDT,+488.139,+609.41,+190.842,+249.998,+340.082,+469.93
2014-07-30 14:00:00 PDT,+480.906,+573.863,+185.301,+213.686,+333.189,+430.046
2014-07-30 15:00:00 PDT,+481.377,+565.902,+186.984,+224.682,+333.434,+433.056
2014-07-30 16:00:00 PDT,+476.752,+548.607,+184.819,+210.651,+330.806,+420.866
2014-07-30 17:00:00 PDT,+477.821,+555.548,+185.001,+210.635,+325.957,+387.082
2014-07-30 18:00:00 PDT,+472.165,+517.421,+182.303,+193.316,+323.634,+382.149
2014-07-30 19:00:00 PDT,+478.577,+566.023,+188.877,+238.639,+323.688,+382.532
2014-07-30 20:00:00 PDT,+481.014,+582.966,+187.816,+230.521,+330.917,+438.517
2014-07-30 21:00:00 PDT,+479.132,+568.492,+188.915,+238.68,+326.383,+400.915
2014-07-30 22:00:00 PDT,+474.612,+534.02,+184.55,+209.443,+324.812,+389.57
2014-07-30 23:00:00 PDT,+474.79,+538.676,+185.064,+212.212,+323.582,+382.966
2014-07-31 00:00:00 PDT,+473.166,+528.569,+185.494,+216.122,+321.125,+365.562
2014-07-31 01:00:00 PDT,+469.347,+496.299,+182.037,+194.037,+319.034,+350.133
2014-07-31 02:00:00 PDT,+469.399,+499.54,+181.69,+190.65,+317.236,+336.813
2014-07-31 03:00:00 PDT,+474.095,+537.412,+183.424,+202.195,+320.341,+358.974
2014-07-31 04:00:00 PDT,+469.674,+499.729,+182.809,+198.507,+319.324,+352.358
2014-07-31 05:00:00 PDT,+467.356,+483.514,+181.006,+186.693,+317.255,+334.401
2014-07-31 06:00:00 PDT,+465.52,+469.275,+180.398,+182.378,+315.311,+318.293
2014-07-31 07:00:00 PDT,+466.516,+474.468,+180.808,+185.443,+317.838,+339.879
2014-07-31 08:00:00 PDT,+468.778,+486.093,+181.736,+190.757,+319.81,+340.079
2014-07-31 09:00:00 PDT,+471.984,+509.187,+183.431,+201.386,+323.474,+364.86
2014-07-31 10:00:00 PDT,+470.258,+502.997,+181.635,+190.444,+319.522,+347.223
2014-07-31 11:00:00 PDT,+480.084,+560.801,+187.708,+228.599,+337.209,+450.871
2014-07-31 12:00:00 PDT,+485.456,+591.052,+188.165,+234.158,+335.745,+441.705
2014-07-31 13:00:00 PDT,+479.296,+562.897,+186.141,+217.567,+333.54,+432.946
2014-07-31 14:00:00 PDT,+483.903,+581.876,+188.057,+233.487,+334.362,+434.018
2014-07-31 15:00:00 PDT,+475.778,+542.372,+184.315,+205.395,+330.182,+415.588
2014-07-31 16:00:00 PDT,+476.886,+549.843,+183.717,+203.383,+324.716,+381.528
2014-07-31 17:00:00 PDT,+473.422,+525.627,+184.154,+206.537,+322.015,+368.466
2014-07-31 18:00:00 PDT,+475.912,+547.845,+184.54,+208.368,+326.709,+404.425
2014-07-31 19:00:00 PDT,+474.795,+538.684,+186.689,+224.46,+322.883,+379.115
2014-07-31 20:00:00 PDT,+475.827,+545.045,+184.965,+211.747,+324.848,+390.851
2014-07-31 21:00:00 PDT,+470.704,+505.537,+183.399,+201.584,+322.05,+369.809
2014-07-31 22:00:00 PDT,+471.509,+514.149,+183.351,+200.789,+318.048,+339.688
2014-07-31 23:00:00 PDT,+471.526,+514.151,+183.8,+204.38,+322.871,+375.921
2014-08-01 00:00:00 PDT,+469.812,+503.412,+181.896,+191.497,+317.792,+340.381
2014-08-01 01:00:00 PDT,+466.987,+479.816,+180.415,+182.443,+316.694,+330.629
2014-08-01 02:00:00 PDT,+465.87,+471.978,+180.79,+185.087,+315.502,+321.401
2014-08-01 03:00:00 PDT,+465.412,+468.997,+180.522,+183.579,+315.262,+318.594
2014-08-01 04:00:00 PDT,+465.269,+467.793,+180.262,+181.498,+315.155,+317.931
2014-08-01 05:00:00 PDT,+465.176,+466.279,+180.155,+180.655,+315.107,+316.257
2014-08-01 06:00:00 PDT,+468.735,+485.234,+181.661,+189.938,+319.584,+337.989
2014-08-01 07:00:00 PDT,+476.984,+535.258,+185.878,+217.665,+328.319,+391.603
2014-08-01 08:00:00 PDT,+479.678,+555.86,+187.732,+229.996,+333.111,+422.009
2014-08-01 09:00:00 PDT,+485.783,+592.275,+188.797,+237.224,+336.218,+443.163
2014-08-01 10:00:00 PDT,+486.096,+593.302,+190.369,+247.169,+339.589,+463.402
2014-08-01 11:00:00 PDT,+485.267,+593.618,+189.378,+240.622,+344.985,+497.235
2014-08-01 12:00:00 PDT,+484.927,+591,+189.055,+238.042,+337.431,+452.75
2014-08-01 13:00:00 PDT,+487.105,+602.501,+191.721,+255.823,+343.139,+486.612
2014-08-01 14:00:00 PDT,+482.719,+576.963,+186.721,+223.724,+333.633,+430.441
2014-08-01 15:00:00 PDT,+475.403,+533.28,+184.302,+206.747,+326.715,+386.206
2014-08-01 16:00:00 PDT,+476.9,+543.756,+185.637,+215.351,+330.835,+414.233
