# file...... UndergroundLosses.csv
# date...... Mon Jun  6 13:39:13 2016
# user...... samsung
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2014-07-30 00:00:00 PDT,+9.53254,+3.48857,+1.64272,+0.968671,+1.22028,+0.257571
2014-07-30 01:00:00 PDT,+76.6522,+27.1268,+15.3311,+9.43317,+12.5121,+1.95031
2014-07-30 02:00:00 PDT,+9.09247,+3.186,+2.76564,+1.40399,+1.81286,+0.448667
2014-07-30 03:00:00 PDT,+5.57674,+2.04298,+0.928752,+0.56684,+0.618502,+0.118051
2014-07-30 04:00:00 PDT,+5.26333,+1.90769,+0.933828,+0.560323,+0.62822,+0.127544
2014-07-30 05:00:00 PDT,+2.57838,+1.11268,+0.157173,+0.119242,+0.468004,+0.0623969
2014-07-30 06:00:00 PDT,+8.84469,+3.25123,+4.48958,+1.50644,+3.75523,+1.43742
2014-07-30 07:00:00 PDT,+17.7553,+6.26135,+8.05885,+3.63943,+4.11685,+1.38508
2014-07-30 08:00:00 PDT,+81.7237,+30.26,+13.5005,+7.47448,+4.43255,+1.81532
2014-07-30 09:00:00 PDT,+127.653,+45.5694,+29.4966,+15.8208,+8.60127,+1.52968
2014-07-30 10:00:00 PDT,+96.6634,+36.0776,+20.913,+11.4585,+7.60315,+1.5224
2014-07-30 11:00:00 PDT,+102.085,+41.1544,+24.735,+10.2652,+12.9652,+3.75744
2014-07-30 12:00:00 PDT,+48.0757,+17.1595,+15.1002,+6.74012,+3.22125,+2.29834
2014-07-30 13:00:00 PDT,+173.996,+69.3856,+39.7125,+17.72,+16.2881,+3.70411
2014-07-30 14:00:00 PDT,+42.1899,+13.8405,+19.8418,+8.85068,+3.36832,+2.18733
2014-07-30 15:00:00 PDT,+61.1731,+24.9201,+29.8482,+9.4694,+12.593,+5.24783
2014-07-30 16:00:00 PDT,+18.7115,+7.36764,+14.2169,+5.88704,+7.47677,+2.89902
2014-07-30 17:00:00 PDT,+13.4921,+6.02914,+7.51793,+1.17142,+3.02711,+2.03673
2014-07-30 18:00:00 PDT,+19.3582,+7.79393,+4.06067,+2.44143,+8.05054,+1.86055
2014-07-30 19:00:00 PDT,+143.768,+49.4968,+36.0819,+22.1618,+12.6421,+1.35183
2014-07-30 20:00:00 PDT,+156.96,+59.048,+22.8786,+14.6099,+31.6239,+6.0911
2014-07-30 21:00:00 PDT,+145.689,+50.5605,+34.5833,+20.8797,+15.9433,+2.78729
2014-07-30 22:00:00 PDT,+81.9496,+29.6208,+21.9371,+10.5573,+15.9904,+4.63241
2014-07-30 23:00:00 PDT,+107.512,+38.0482,+12.9221,+9.91496,+15.9715,+2.78828
2014-07-31 00:00:00 PDT,+83.7459,+32.1791,+10.0635,+7.24061,+11.5862,+1.49558
2014-07-31 01:00:00 PDT,+43.8128,+17.0947,+6.28606,+3.27706,+9.31662,+2.84351
2014-07-31 02:00:00 PDT,+18.7544,+6.03071,+7.09999,+3.6527,+1.51087,+0.20432
2014-07-31 03:00:00 PDT,+86.7446,+31.8228,+11.1203,+6.55433,+7.58452,+1.21383
2014-07-31 04:00:00 PDT,+40.0736,+15.1926,+6.17922,+4.31236,+9.73592,+2.01382
2014-07-31 05:00:00 PDT,+26.3746,+9.50315,+1.72773,+1.73839,+1.87135,+0.00688315
2014-07-31 06:00:00 PDT,+5.19852,+1.69273,+1.2526,+0.791561,+0.396743,+0.0699172
2014-07-31 07:00:00 PDT,+9.51212,+4.31281,+1.95658,+0.206061,+9.36226,+3.6503
2014-07-31 08:00:00 PDT,+21.0349,+8.71705,+2.50862,+1.10778,+3.85383,+0.77895
2014-07-31 09:00:00 PDT,+35.4575,+12.9415,+9.10696,+4.72728,+5.57783,+1.39774
2014-07-31 10:00:00 PDT,+16.1769,+5.52468,+3.32779,+2.43067,+2.45998,+0.531557
2014-07-31 11:00:00 PDT,+123.554,+45.4129,+25.8508,+12.6577,+8.49791,+2.83271
2014-07-31 12:00:00 PDT,+144.403,+49.5186,+42.5501,+22.8458,+5.30356,+2.39291
2014-07-31 13:00:00 PDT,+60.5169,+26.5511,+22.1541,+5.62191,+11.18,+4.15044
2014-07-31 14:00:00 PDT,+124.973,+43.5825,+37.8584,+19.6366,+4.83359,+2.33112
2014-07-31 15:00:00 PDT,+33.6168,+15.8206,+18.2636,+4.23642,+3.58322,+1.87977
2014-07-31 16:00:00 PDT,+18.8344,+6.05129,+12.7241,+7.02281,+7.00463,+1.98737
2014-07-31 17:00:00 PDT,+23.6196,+9.5914,+2.6711,+1.15452,+3.68616,+0.577346
2014-07-31 18:00:00 PDT,+95.9106,+39.815,+5.99874,+4.26208,+24.3797,+3.68203
2014-07-31 19:00:00 PDT,+98.6101,+33.1043,+26.8862,+15.6166,+9.035,+2.40777
2014-07-31 20:00:00 PDT,+90.4228,+32.2126,+17.6173,+10.7885,+17.0961,+2.62193
2014-07-31 21:00:00 PDT,+67.2699,+26.5402,+6.13403,+3.78518,+13.8842,+3.35795
2014-07-31 22:00:00 PDT,+62.7216,+21.5844,+12.7024,+7.83375,+3.61196,+0.595896
2014-07-31 23:00:00 PDT,+66.7046,+25.1337,+15.1819,+7.9477,+17.0784,+4.1565
2014-08-01 00:00:00 PDT,+47.7366,+18.0378,+2.90397,+2.98812,+2.80781,-0.292801
2014-08-01 01:00:00 PDT,+18.4334,+7.86393,+0.871545,+0.688567,+3.27569,+0.304982
2014-08-01 02:00:00 PDT,+8.03014,+2.36211,+3.65096,+1.92615,+2.71427,+0.91743
2014-08-01 03:00:00 PDT,+6.92673,+2.25614,+1.72416,+1.00402,+0.546284,+0.150013
2014-08-01 04:00:00 PDT,+5.24898,+1.89999,+0.933798,+0.560301,+0.628253,+0.127516
2014-08-01 05:00:00 PDT,+1.42999,+0.508506,+0.252023,+0.163557,+0.180095,+0.0322109
2014-08-01 06:00:00 PDT,+26.4117,+9.92831,+6.35846,+3.00189,+3.37044,+1.01108
2014-08-01 07:00:00 PDT,+116.377,+42.2699,+24.52,+13.2694,+9.24922,+1.82598
2014-08-01 08:00:00 PDT,+125.167,+46.3824,+22.3766,+13.0083,+17.2195,+3.39742
2014-08-01 09:00:00 PDT,+193.022,+69.5011,+39.455,+22.7306,+12.8711,+1.1387
2014-08-01 10:00:00 PDT,+215.998,+76.3903,+50.2688,+26.4151,+19.8812,+6.34614
2014-08-01 11:00:00 PDT,+173.731,+64.5107,+32.1897,+16.5634,+18.399,+5.86011
2014-08-01 12:00:00 PDT,+128.28,+47.7638,+39.2914,+17.754,+10.8953,+3.30411
2014-08-01 13:00:00 PDT,+207.786,+74.999,+45.8784,+24.9547,+18.6581,+4.17967
2014-08-01 14:00:00 PDT,+152.027,+57.8822,+19.5557,+11.4865,+8.97317,+1.667
2014-08-01 15:00:00 PDT,+16.5774,+7.16051,+16.1653,+4.72901,+4.85211,+2.49055
2014-08-01 16:00:00 PDT,+58.7619,+23.2662,+16.0843,+6.5006,+4.10229,+1.62946
2014-08-01 17:00:00 PDT,+11.9906,+5.43765,+8.24915,+2.72771,+3.1674,+1.07877
2014-08-01 18:00:00 PDT,+14.8163,+5.51265,+3.66233,+1.9917,+3.88338,+0.882495
2014-08-01 19:00:00 PDT,+89.5269,+34.1824,+4.03677,+4.96492,+7.61919,+0.468945
2014-08-01 20:00:00 PDT,+23.7526,+7.98687,+8.45192,+4.34558,+2.35351,+0.600162
2014-08-01 21:00:00 PDT,+24.7692,+9.1941,+4.28106,+2.51365,+3.39487,+0.624715
2014-08-01 22:00:00 PDT,+37.7279,+13.6836,+5.44671,+3.71839,+2.63872,+0.328782
2014-08-01 23:00:00 PDT,+28.3957,+10.66,+4.65024,+2.92738,+4.73287,+1.11953
2014-08-02 00:00:00 PDT,+16.705,+6.38256,+1.79547,+1.29303,+1.23924,+0.161408
2014-08-02 01:00:00 PDT,+7.31599,+2.91091,+1.31009,+0.599792,+2.70383,+0.793531
2014-08-02 02:00:00 PDT,+10.5238,+3.78884,+0.889588,+0.757543,+0.726935,+0.0315522
2014-08-02 03:00:00 PDT,+7.18736,+2.47051,+2.37774,+1.2266,+1.29658,+0.360161
2014-08-02 04:00:00 PDT,+5.26084,+1.90381,+0.933348,+0.561382,+0.620782,+0.124335
2014-08-02 05:00:00 PDT,+2.29809,+0.826957,+0.403699,+0.250702,+0.289194,+0.0558295
2014-08-02 06:00:00 PDT,+0.233409,+0.0677916,+0.407155,+0.170354,+0.0979898,+0.0566728
2014-08-02 07:00:00 PDT,+5.2817,+1.86407,+1.0248,+0.561144,+0.10963,+0.0439039
