# file...... OverheadLosses.csv
# date...... Wed Jul 30 11:23:27 2014
# user...... jxh10
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2014-07-30 00:00:00 PDT,+1856.29,+3021.8,+620.07,+2897.3,+1711.64,+2900.55
2014-07-30 01:00:00 PDT,+2613.35,+5946.82,+322.224,+6.50658,+3745.93,+4029.34
2014-07-30 02:00:00 PDT,+236.474,-62.4229,+167.253,+168.174,+1708.59,+4604.05
2014-07-30 03:00:00 PDT,+70.7597,+176.321,+10.7933,+6.2349,+150.896,+190.016
2014-07-30 04:00:00 PDT,+74.1541,+191.261,+11.5993,+6.2192,+166.83,+208.416
2014-07-30 05:00:00 PDT,+26.3916,+33.7751,+4.89336,+11.9529,+3.69182,+1.31046
2014-07-30 06:00:00 PDT,+1810.99,+5885.39,+132.705,-267.253,+11498.7,+15232.3
2014-07-30 07:00:00 PDT,+2683.85,+9145.29,+227.321,-316.242,+14442,+18375
2014-07-30 08:00:00 PDT,+2244.89,+7411.44,+126.997,-308.04,+14783.8,+18835.8
2014-07-30 09:00:00 PDT,+4302.16,+14363,+242.678,-642.193,+27544.7,+36452.4
2014-07-30 10:00:00 PDT,+1813.05,+6687.39,+345.395,-106.225,+16787.3,+21864.6
2014-07-30 11:00:00 PDT,+3408.72,+11125.6,+316.184,-486.102,+19067.1,+24381.2
2014-07-30 12:00:00 PDT,+1665.99,+6835.65,+544.206,-97.0921,+18359.2,+23987.4
2014-07-30 13:00:00 PDT,+2639.81,+9021.22,+435.778,-249.032,+19460.5,+25451.4
2014-07-30 14:00:00 PDT,+453.721,+1587.29,+174.446,+93.8851,+3724.32,+4352.31
2014-07-30 15:00:00 PDT,+554.202,+1867.03,+385.859,+426.097,+4901.62,+5825.62
2014-07-30 16:00:00 PDT,+1234.42,+2206.41,+544.236,+691.582,+2084.67,+2091.62
2014-07-30 17:00:00 PDT,+1455.44,+2618.17,+747.355,+339.111,+669.852,+1524.46
