# file...... Inverter_inverter2883.csv
# date...... Wed Jul 30 11:23:59 2014
# user...... jxh10
# host...... (null)
# target.... inverter 2540
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2014-07-30 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 05:00:00 PDT,+1040.82,+0,+0,+0,+0,+0
2014-07-30 06:00:00 PDT,+9783.1,+0,+0,+0,+0,+0
2014-07-30 07:00:00 PDT,+14419.7,+0,+0,+0,+0,+0
2014-07-30 08:00:00 PDT,+16032.5,+0,+0,+0,+0,+0
2014-07-30 09:00:00 PDT,+16990.5,+0,+0,+0,+0,+0
2014-07-30 10:00:00 PDT,+18134.2,+0,+0,+0,+0,+0
2014-07-30 11:00:00 PDT,+16762.4,+0,+0,+0,+0,+0
2014-07-30 12:00:00 PDT,+19341.7,+0,+0,+0,+0,+0
2014-07-30 13:00:00 PDT,+18267.8,+0,+0,+0,+0,+0
2014-07-30 14:00:00 PDT,+12356.3,+0,+0,+0,+0,+0
2014-07-30 15:00:00 PDT,+13918.5,+0,+0,+0,+0,+0
2014-07-30 16:00:00 PDT,+10695.1,+0,+0,+0,+0,+0
2014-07-30 17:00:00 PDT,+10729.2,+0,+0,+0,+0,+0
2014-07-30 18:00:00 PDT,+7156.21,+0,+0,+0,+0,+0
2014-07-30 19:00:00 PDT,+1590.12,+0,+0,+0,+0,+0
2014-07-30 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-30 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 05:00:00 PDT,+132.171,+0,+0,+0,+0,+0
2014-07-31 06:00:00 PDT,+4801.68,+0,+0,+0,+0,+0
2014-07-31 07:00:00 PDT,+10011.7,+0,+0,+0,+0,+0
2014-07-31 08:00:00 PDT,+12991.2,+0,+0,+0,+0,+0
2014-07-31 09:00:00 PDT,+17009.6,+0,+0,+0,+0,+0
2014-07-31 10:00:00 PDT,+18266.6,+0,+0,+0,+0,+0
2014-07-31 11:00:00 PDT,+16845.6,+0,+0,+0,+0,+0
2014-07-31 12:00:00 PDT,+18098.7,+0,+0,+0,+0,+0
2014-07-31 13:00:00 PDT,+19600.6,+0,+0,+0,+0,+0
2014-07-31 14:00:00 PDT,+17969.6,+0,+0,+0,+0,+0
2014-07-31 15:00:00 PDT,+10436.7,+0,+0,+0,+0,+0
2014-07-31 16:00:00 PDT,+3684.32,+0,+0,+0,+0,+0
2014-07-31 17:00:00 PDT,+2555.76,+0,+0,+0,+0,+0
2014-07-31 18:00:00 PDT,+1177.82,+0,+0,+0,+0,+0
2014-07-31 19:00:00 PDT,+210.573,+0,+0,+0,+0,+0
2014-07-31 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-07-31 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 05:00:00 PDT,+1240.56,+0,+0,+0,+0,+0
2014-08-01 06:00:00 PDT,+10683.5,+0,+0,+0,+0,+0
2014-08-01 07:00:00 PDT,+15149.6,+0,+0,+0,+0,+0
2014-08-01 08:00:00 PDT,+17140,+0,+0,+0,+0,+0
2014-08-01 09:00:00 PDT,+18540.9,+0,+0,+0,+0,+0
2014-08-01 10:00:00 PDT,+19260.3,+0,+0,+0,+0,+0
2014-08-01 11:00:00 PDT,+19846.1,+0,+0,+0,+0,+0
2014-08-01 12:00:00 PDT,+19544.3,+0,+0,+0,+0,+0
2014-08-01 13:00:00 PDT,+18600.3,+0,+0,+0,+0,+0
2014-08-01 14:00:00 PDT,+15818.8,+0,+0,+0,+0,+0
2014-08-01 15:00:00 PDT,+12222.9,+0,+0,+0,+0,+0
2014-08-01 16:00:00 PDT,+7113.76,+0,+0,+0,+0,+0
2014-08-01 17:00:00 PDT,+9108.07,+0,+0,+0,+0,+0
2014-08-01 18:00:00 PDT,+3575.55,+0,+0,+0,+0,+0
2014-08-01 19:00:00 PDT,+503.905,+0,+0,+0,+0,+0
2014-08-01 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-01 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 05:00:00 PDT,+876.839,+0,+0,+0,+0,+0
2014-08-02 06:00:00 PDT,+8340.4,+0,+0,+0,+0,+0
2014-08-02 07:00:00 PDT,+14585.4,+0,+0,+0,+0,+0
2014-08-02 08:00:00 PDT,+16956.5,+0,+0,+0,+0,+0
2014-08-02 09:00:00 PDT,+17001.5,+0,+0,+0,+0,+0
2014-08-02 10:00:00 PDT,+17244.5,+0,+0,+0,+0,+0
2014-08-02 11:00:00 PDT,+18692.7,+0,+0,+0,+0,+0
2014-08-02 12:00:00 PDT,+13694.5,+0,+0,+0,+0,+0
2014-08-02 13:00:00 PDT,+14501.7,+0,+0,+0,+0,+0
2014-08-02 14:00:00 PDT,+9071.36,+0,+0,+0,+0,+0
2014-08-02 15:00:00 PDT,+8311.67,+0,+0,+0,+0,+0
2014-08-02 16:00:00 PDT,+3220.55,+0,+0,+0,+0,+0
2014-08-02 17:00:00 PDT,+2826.47,+0,+0,+0,+0,+0
2014-08-02 18:00:00 PDT,+1651.15,+0,+0,+0,+0,+0
2014-08-02 19:00:00 PDT,+152.895,+0,+0,+0,+0,+0
2014-08-02 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2014-08-02 23:00:00 PDT,+0,+0,+0,+0,+0,+0
