# file...... OverheadLosses.csv
# date...... Fri Jul 25 17:52:11 2014
# user...... jxh10
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2014-07-30 00:00:00 PDT,+230.556,+400.362,+46.8608,+312.222,+245.135,+362.721
2014-07-30 01:00:00 PDT,+24.5962,+57.9735,+3.93042,+3.1494,+50.7791,+64.9248
2014-07-30 02:00:00 PDT,+25.5413,+68.5626,+4.1627,+0.481077,+65.5385,+84.9331
2014-07-30 03:00:00 PDT,+37.3152,+86.3687,+9.71572,+5.35862,+98.0121,+135.187
2014-07-30 04:00:00 PDT,+144.683,+257.508,+33.0038,+12.1697,+594.396,+844.195
2014-07-30 05:00:00 PDT,+92.8022,+169.539,+42.3944,+77.3384,+166.058,+268.306
2014-07-30 06:00:00 PDT,+146.99,+365.324,+162.39,+91.3931,+743.944,+1319.01
2014-07-30 07:00:00 PDT,+440.186,+1051.52,+53.8044,-60.1772,+1613.68,+2241.13
2014-07-30 08:00:00 PDT,+131.254,+314.299,+16.3238,+0.846016,+310.995,+401.253
2014-07-30 09:00:00 PDT,+119.354,+229.21,+42.882,+43.7198,+185.425,+267.889
2014-07-30 10:00:00 PDT,+79.3204,+166.265,+18.2914,+19.0978,+119.123,+154.761
2014-07-30 11:00:00 PDT,+131.582,+219.667,+18.7979,+28.2382,+102.943,+107.587
2014-07-30 12:00:00 PDT,+68.5501,+173.056,+9.33173,-0.18495,+170.707,+207.064
2014-07-30 13:00:00 PDT,+83.741,+179.755,+10.9042,+15.693,+161.846,+210.87
2014-07-30 14:00:00 PDT,+112.582,+226.963,+11.8213,+16.4208,+201.389,+257.457
2014-07-30 15:00:00 PDT,+115.066,+281.72,+20.7197,+20.9817,+320.082,+434.975
