# file...... OverheadLosses.csv
# date...... Thu May  7 16:06:49 2015
# user...... dpinney
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2014-07-30 00:00:00 PDT,+230.556,+400.362,+46.8608,+312.222,+245.135,+362.721
2014-07-30 01:00:00 PDT,+24.5962,+57.9735,+3.93042,+3.1494,+50.7791,+64.9248
2014-07-30 02:00:00 PDT,+20.732,+48.7276,+3.28063,+2.61916,+42.7181,+54.5331
2014-07-30 03:00:00 PDT,+19.6269,+46.0289,+3.05461,+2.42029,+40.246,+51.2295
2014-07-30 04:00:00 PDT,+85.7564,+140.271,+14.7513,-0.00998169,+400.2,+550.446
2014-07-30 05:00:00 PDT,+28.3151,+49.6121,+8.65234,+20.4233,+43.1375,+60.078
2014-07-30 06:00:00 PDT,+48.9177,+107.387,+55.3458,+13.7329,+329.601,+608.275
2014-07-30 07:00:00 PDT,+226.91,+569.175,+19.7131,-30.2194,+752.737,+973.472
2014-07-30 08:00:00 PDT,+41.8553,+114.05,+11.991,+6.08282,+127.412,+174.116
2014-07-30 09:00:00 PDT,+44.8543,+96.3439,+14.0055,+11.9681,+112.12,+163.983
2014-07-30 10:00:00 PDT,+53.1759,+136.74,+9.61951,+4.68043,+132.822,+178.951
2014-07-30 11:00:00 PDT,+107.356,+182.069,+12.6696,+31.5702,+128.295,+166.398
2014-07-30 12:00:00 PDT,+64.8765,+172.354,+6.8867,-0.437493,+237.172,+301.919
2014-07-30 13:00:00 PDT,+95.4926,+195.891,+11.6135,+12.6242,+125.131,+144.805
2014-07-30 14:00:00 PDT,+76.492,+180.016,+6.04736,-0.0430858,+191.884,+250.742
2014-07-30 15:00:00 PDT,+82.6905,+219.772,+10.91,+0.0605717,+176.339,+209.518
