# file...... TransformerLosses.csv
# date...... Fri Jul 25 16:21:55 2014
# user...... jxh10
# host...... (null)
# group..... class=transformer
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2014-07-30 00:00:00 PDT,+140.738,+259.878,+140.375,+252.768,+98.1393,+165.793
2014-07-30 01:00:00 PDT,+236.872,+959.234,+247.215,+1005.9,+161.041,+612.313
2014-07-30 02:00:00 PDT,+140.405,+260.457,+131.361,+213.562,+96.7092,+180.93
2014-07-30 03:00:00 PDT,+127.113,+183.992,+125.969,+177.369,+89.1543,+120.847
2014-07-30 04:00:00 PDT,+131.793,+218.057,+133.102,+226.652,+92.9425,+147.224
2014-07-30 05:00:00 PDT,+134.821,+236.542,+132.939,+224.444,+95.5838,+165.888
2014-07-30 06:00:00 PDT,+144.48,+303.828,+139.164,+263.596,+102.819,+215.563
2014-07-30 07:00:00 PDT,+148.564,+333.448,+139.92,+273.966,+98.8316,+186.435
2014-07-30 08:00:00 PDT,+197.44,+668.789,+189.837,+617.23,+128.975,+393.286
2014-07-30 09:00:00 PDT,+184.567,+557.524,+165.345,+447.276,+125.836,+379.647
2014-07-30 10:00:00 PDT,+154.094,+362.61,+139.693,+272.762,+106.353,+241.3
2014-07-30 11:00:00 PDT,+142.028,+282.04,+139.88,+279.988,+96.557,+168.595
2014-07-30 12:00:00 PDT,+170.25,+477.977,+161.425,+426.1,+124.877,+366.441
2014-07-30 13:00:00 PDT,+234.818,+919.31,+234.564,+926.434,+174.334,+702.842
2014-07-30 14:00:00 PDT,+185.781,+563.308,+158.864,+403.734,+108.016,+255.087
2014-07-30 15:00:00 PDT,+171.133,+473.938,+152.018,+358.213,+118.732,+324.697
2014-07-30 16:00:00 PDT,+390.467,+1988.13,+353.257,+1718.33,+252.184,+1227.39
2014-07-30 17:00:00 PDT,+228.81,+863.997,+226.437,+853.898,+165.724,+632.215
2014-07-30 18:00:00 PDT,+247.01,+1003.32,+241.635,+966.789,+155.815,+571.298
2014-07-30 19:00:00 PDT,+228.948,+854.798,+230.204,+888.244,+167.304,+654.758
2014-07-30 20:00:00 PDT,+171.359,+472.222,+174.62,+511.128,+120.601,+328.388
2014-07-30 21:00:00 PDT,+148.906,+304.992,+155.425,+379.171,+112.497,+270.076
2014-07-30 22:00:00 PDT,+153.093,+339.496,+145.388,+303.115,+100.602,+188.905
2014-07-30 23:00:00 PDT,+142.41,+269.377,+137.707,+258.619,+98.1924,+176.68
2014-07-31 00:00:00 PDT,+135.597,+223.289,+126.891,+187.547,+95.5781,+164.983
2014-07-31 01:00:00 PDT,+125.604,+162.419,+123.008,+166.927,+88.2825,+113.837
2014-07-31 02:00:00 PDT,+124.591,+155.04,+120.559,+149.126,+86.9687,+105.92
2014-07-31 03:00:00 PDT,+128.291,+184.596,+124.786,+177.822,+87.7239,+110.565
2014-07-31 04:00:00 PDT,+130.506,+200.322,+127.471,+196.779,+90.2249,+128.086
2014-07-31 05:00:00 PDT,+131.993,+207.887,+127.229,+193.527,+92.9699,+148.207
2014-07-31 06:00:00 PDT,+141.092,+270.597,+132.886,+229.565,+99.3389,+191.98
2014-07-31 07:00:00 PDT,+170.219,+474.451,+152.378,+358.22,+117.783,+319.024
2014-07-31 08:00:00 PDT,+219.37,+822.581,+215.981,+794.736,+140.808,+473.185
2014-07-31 09:00:00 PDT,+175.534,+497.426,+175.466,+523.304,+117.138,+316.354
2014-07-31 10:00:00 PDT,+171.16,+483.561,+152.595,+362.246,+119.25,+330.002
2014-07-31 11:00:00 PDT,+283.856,+1267.12,+248.526,+1015.6,+191.275,+818.973
2014-07-31 12:00:00 PDT,+195.514,+637.065,+181.471,+561.866,+135.91,+440.647
2014-07-31 13:00:00 PDT,+163.372,+431.041,+155.528,+385.624,+118.757,+319.396
2014-07-31 14:00:00 PDT,+497.163,+2722.93,+478.444,+2569.67,+332.917,+1766.34
2014-07-31 15:00:00 PDT,+230.495,+878.573,+217.775,+797.232,+156.414,+564.429
2014-07-31 16:00:00 PDT,+583.433,+3291.43,+510.765,+2780.86,+374.875,+2049.43
2014-07-31 17:00:00 PDT,+344.297,+1649.36,+361.665,+1769.33,+207.457,+902.824
2014-07-31 18:00:00 PDT,+423.927,+2177.1,+389.365,+1944.75,+287.509,+1463.56
2014-07-31 19:00:00 PDT,+267.05,+1102.6,+296.173,+1344.99,+189.728,+785.08
2014-07-31 20:00:00 PDT,+281.244,+1213.71,+254.036,+1036.12,+192.976,+817.226
2014-07-31 21:00:00 PDT,+177.201,+491.809,+179.981,+541.753,+121.885,+328.709
