# file...... Regulator_Reg1.csv
# date...... Wed Jul 30 11:18:45 2014
# user...... jxh10
# host...... (null)
# target.... regulator 55
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2014-07-30 00:00:00 PDT,-1,0,-1,+231379,-141844,+220740,-146864,+145021,-147724,+597141,-436432
2014-07-30 01:00:00 PDT,-2,0,-2,+585556,+7210.92,+594637,+1692.56,+398653,-53005.8,+1.57885e+006,-44102.4
2014-07-30 02:00:00 PDT,-3,0,-3,+240512,-107124,+199845,-130854,+169021,-125439,+609377,-363417
2014-07-30 03:00:00 PDT,-4,0,-4,+165343,-139573,+152598,-149376,+102482,-143351,+420423,-432300
2014-07-30 04:00:00 PDT,-5,0,-5,+201484,-135962,+214756,-146459,+136726,-140325,+552966,-422746
2014-07-30 05:00:00 PDT,-6,0,-6,+215275,-133312,+206690,-147888,+158009,-137612,+579973,-418813
2014-07-30 06:00:00 PDT,-7,0,-7,+270914,-127457,+243634,-146234,+192076,-134300,+706624,-407990
2014-07-30 07:00:00 PDT,-8,0,-8,+282968,-123711,+264677,-142503,+172609,-132837,+720254,-399052
2014-07-30 08:00:00 PDT,-9,0,-9,+457790,-57093.9,+456720,-70670.8,+302383,-85464.6,+1.21689e+006,-213229
2014-07-30 09:00:00 PDT,-9,0,-10,+420939,-62414.2,+371489,-93880,+285187,-83032.3,+1.07761e+006,-239326
2014-07-30 10:00:00 PDT,-9,0,-11,+311056,-93326.2,+251405,-122140,+215876,-103075,+778337,-318541
2014-07-30 11:00:00 PDT,-10,0,-12,+284655,-90367.8,+251094,-117296,+157555,-112638,+693304,-320302
2014-07-30 12:00:00 PDT,-10,0,-13,+361100,-62203.4,+350977,-88862.2,+272325,-76667.6,+984402,-227733
2014-07-30 13:00:00 PDT,-10,0,-14,+555255,+6830.35,+582317,-6345.4,+408724,-30192.9,+1.5463e+006,-29708
2014-07-30 14:00:00 PDT,-10,0,-15,+424423,-46374.5,+336857,-95587.9,+217848,-95432.9,+979129,-237395
2014-07-30 15:00:00 PDT,-10,0,-16,+371282,-75333.5,+303686,-113599,+267850,-83668.5,+942818,-272601
2014-07-30 16:00:00 PDT,-9,0,-16,+861094,+115341,+800442,+58700.5,+539882,+6440.61,+2.20142e+006,+180482
2014-07-30 17:00:00 PDT,-8,0,-16,+580049,-11692,+556061,-40077.5,+388585,-43098.7,+1.5247e+006,-94868.2
2014-07-30 18:00:00 PDT,-8,0,-16,+618588,+6238.01,+575258,-32458.7,+410666,-37070.5,+1.60451e+006,-63291.2
2014-07-30 19:00:00 PDT,-8,0,-16,+510722,-29286.1,+556872,-43615.8,+359380,-58172.2,+1.42697e+006,-131074
2014-07-30 20:00:00 PDT,-9,0,-16,+350934,-85874,+399674,-92185.4,+237871,-96048,+988479,-274107
2014-07-30 21:00:00 PDT,-10,0,-16,+286488,-103378,+331470,-114004,+232432,-100362,+850389,-317744
2014-07-30 22:00:00 PDT,-11,0,-16,+315516,-87645.5,+263117,-127726,+199229,-102614,+777862,-317986
2014-07-30 23:00:00 PDT,-11,0,-16,+239229,-13487.1,+239696,-25803.4,+186174,-15734.6,+665099,-55025
2014-07-31 00:00:00 PDT,-11,0,-16,+173711,+18484.5,+156494,+9972.93,+137269,+14683.4,+467474,+43140.8
2014-07-31 01:00:00 PDT,-11,0,-16,+112048,+5378.61,+140081,+12728.7,+100942,+9344.21,+353071,+27451.6
2014-07-31 02:00:00 PDT,-11,0,-16,+111129,+2497.88,+118541,+4554.12,+70262.3,+464.54,+299932,+7516.54
2014-07-31 03:00:00 PDT,-11,0,-16,+146942,+2311.29,+147460,+2152.68,+85948.9,+623.6,+380350,+5087.57
2014-07-31 04:00:00 PDT,-11,0,-16,+175714,+3096.77,+192259,+3693.29,+104182,+867.193,+472156,+7657.26
2014-07-31 05:00:00 PDT,-11,0,-16,+183230,+3597.47,+180438,+2727.44,+120709,+1233.36,+484378,+7558.28
2014-07-31 06:00:00 PDT,-11,0,-16,+253392,+7156.87,+218979,+3919.66,+158197,+1962.24,+630568,+13038.8
2014-07-31 07:00:00 PDT,-11,0,-16,+336117,+32778.5,+324325,+29689.8,+229161,+19288.9,+889603,+81757.2
2014-07-31 08:00:00 PDT,-10,0,-16,+504191,+89180.1,+523622,+101496,+344317,+61640.1,+1.37213e+006,+252317
2014-07-31 09:00:00 PDT,-9,0,-16,+421443,+66150,+389308,+68675.6,+266578,+41484.9,+1.07733e+006,+176310
2014-07-31 10:00:00 PDT,-9,0,-16,+377308,+20828.5,+321899,+4185.03,+233169,-5232.3,+932376,+19781.3
2014-07-31 11:00:00 PDT,-8,0,-16,+704713,+145383,+587432,+92778.1,+508319,+85175.8,+1.80046e+006,+323336
2014-07-31 12:00:00 PDT,-7,0,-16,+464119,+58091.3,+429724,+43040.8,+276200,+12467.1,+1.17004e+006,+113599
2014-07-31 13:00:00 PDT,-8,0,-16,+365172,+30279.6,+305791,+4048.28,+259835,+7500.15,+930798,+41828
2014-07-31 14:00:00 PDT,-9,0,-16,+1.0065e+006,+267251,+971668,+240494,+701953,+151706,+2.68012e+006,+659451
2014-07-31 15:00:00 PDT,-8,0,-16,+523823,+65339,+528762,+63794.7,+352841,+26001.1,+1.40543e+006,+155135
2014-07-31 16:00:00 PDT,-7,0,-16,+1.13189e+006,+317240,+1.02183e+006,+250599,+769572,+168867,+2.92329e+006,+736705
2014-07-31 17:00:00 PDT,-6,0,-16,+837898,+174331,+792243,+147766,+535400,+81727.5,+2.16554e+006,+403824
2014-07-31 18:00:00 PDT,-5,0,-16,+854340,+182367,+862505,+179666,+570345,+101726,+2.28719e+006,+463759
2014-07-31 19:00:00 PDT,-5,0,-16,+746065,+51785.7,+685310,+1090.23,+500345,-10689.1,+1.93172e+006,+42186.8
2014-07-31 20:00:00 PDT,-6,0,-16,+591537,-4896.18,+611795,-16519.2,+405381,-42327.5,+1.60871e+006,-63742.9
2014-07-31 21:00:00 PDT,-7,0,-16,+397882,-71887.6,+408846,-89226,+307860,-74473,+1.11459e+006,-235587
2014-07-31 22:00:00 PDT,-8,0,-16,+406478,-65890.1,+400890,-86468.9,+331775,-62570.3,+1.13914e+006,-214929
2014-07-31 23:00:00 PDT,-9,0,-16,+416386,-47099.1,+404755,-72968.6,+304986,-62142.2,+1.12613e+006,-182210
2014-08-01 00:00:00 PDT,-9,0,-16,+332112,+21275.8,+312042,+6508.65,+180778,-15055.5,+824932,+12728.9
2014-08-01 01:00:00 PDT,-9,0,-16,+368707,+34107.9,+363919,+29186.1,+200573,-5296.09,+933199,+57997.9
2014-08-01 02:00:00 PDT,-9,0,-16,+324118,+23816.5,+289108,+3381.52,+267437,+18658.2,+880663,+45856.3
2014-08-01 03:00:00 PDT,-9,0,-16,+401932,+32718.2,+390470,+23525.2,+281427,+17369.5,+1.07383e+006,+73612.9
2014-08-01 04:00:00 PDT,-9,0,-16,+333977,+5346.23,+383034,+15612.1,+230150,-3913.62,+947161,+17044.7
2014-08-01 05:00:00 PDT,-9,0,-16,+297822,-8196.11,+283600,-18585.5,+172834,-26037.4,+754256,-52819
2014-08-01 06:00:00 PDT,-9,0,-16,+427818,+16065.2,+340598,-11740.9,+262849,-11053.2,+1.03126e+006,-6728.83
