# file...... SwingKids_transformer.csv
# date...... Fri Jun 10 11:32:16 2016
# user...... samsung
# host...... (null)
# group..... class=transformer AND groupid=swingKids
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_in.real),sum(power_in.imag)
2014-07-30 00:00:00 PDT,+605846,-445691
2014-07-30 01:00:00 PDT,+1.14061e+06,+243208
2014-07-30 02:00:00 PDT,+933644,+178338
2014-07-30 03:00:00 PDT,+310045,+3903.23
2014-07-30 04:00:00 PDT,+324136,+3053.96
2014-07-30 05:00:00 PDT,+343787,+3566.73
2014-07-30 06:00:00 PDT,+425141,+20639.7
2014-07-30 07:00:00 PDT,+1.1069e+06,+220068
2014-07-30 08:00:00 PDT,+1.18851e+06,+235183
2014-07-30 09:00:00 PDT,+771167,+107258
2014-07-30 10:00:00 PDT,+1.99205e+06,+508891
2014-07-30 11:00:00 PDT,+1.09596e+06,+11432.2
2014-07-30 12:00:00 PDT,+2.47266e+06,+682335
2014-07-30 13:00:00 PDT,+1.35455e+06,-11407.6
2014-07-30 14:00:00 PDT,+2.51556e+06,+704878
2014-07-30 15:00:00 PDT,+1.8183e+06,+144715
2014-07-30 16:00:00 PDT,+3.01381e+06,+902529
2014-07-30 17:00:00 PDT,+2.50133e+06,+383844
2014-07-30 18:00:00 PDT,+2.16875e+06,+464136
2014-07-30 19:00:00 PDT,+1.97282e+06,+369343
2014-07-30 20:00:00 PDT,+1.8777e+06,+246329
2014-07-30 21:00:00 PDT,+1.67465e+06,+254794
2014-07-30 22:00:00 PDT,+1.33199e+06,+135133
2014-07-30 23:00:00 PDT,+1.26883e+06,+244122
2014-07-31 00:00:00 PDT,+1.18357e+06,+247257
2014-07-31 01:00:00 PDT,+974699,+198493
2014-07-31 02:00:00 PDT,+749769,+133971
2014-07-31 03:00:00 PDT,+853845,+168945
2014-07-31 04:00:00 PDT,+877836,+177711
2014-07-31 05:00:00 PDT,+550807,+79108
2014-07-31 06:00:00 PDT,+317290,+9293.01
2014-07-31 07:00:00 PDT,+628712,+86445.1
2014-07-31 08:00:00 PDT,+528353,+53445.9
2014-07-31 09:00:00 PDT,+1.05224e+06,+207416
2014-07-31 10:00:00 PDT,+1.12214e+06,+231987
2014-07-31 11:00:00 PDT,+1.31078e+06,+290229
2014-07-31 12:00:00 PDT,+1.69103e+06,+415688
2014-07-31 13:00:00 PDT,+1.98822e+06,+520678
2014-07-31 14:00:00 PDT,+1.90569e+06,+385231
2014-07-31 15:00:00 PDT,+2.47932e+06,+600903
2014-07-31 16:00:00 PDT,+2.62281e+06,+752240
2014-07-31 17:00:00 PDT,+2.66256e+06,+564229
2014-07-31 18:00:00 PDT,+2.21979e+06,+476933
2014-07-31 19:00:00 PDT,+1.64488e+06,+283906
2014-07-31 20:00:00 PDT,+1.40169e+06,+290712
2014-07-31 21:00:00 PDT,+1.07948e+06,+77815.3
2014-07-31 22:00:00 PDT,+1.01578e+06,+155860
2014-07-31 23:00:00 PDT,+948249,+155320
2014-08-01 00:00:00 PDT,+768807,+127081
2014-08-01 01:00:00 PDT,+564229,+77552.8
2014-08-01 02:00:00 PDT,+422524,+47045.3
2014-08-01 03:00:00 PDT,+292462,+12651.3
2014-08-01 04:00:00 PDT,+240396,+1939.1
2014-08-01 05:00:00 PDT,+261554,+2175.22
2014-08-01 06:00:00 PDT,+316915,+6517.15
2014-08-01 07:00:00 PDT,+419629,+18825.7
2014-08-01 08:00:00 PDT,+857870,+145850
2014-08-01 09:00:00 PDT,+983713,+183276
2014-08-01 10:00:00 PDT,+667419,+88408.1
2014-08-01 11:00:00 PDT,+1.10568e+06,+222552
2014-08-01 12:00:00 PDT,+1.87943e+06,+481379
2014-08-01 13:00:00 PDT,+866621,-56846.2
2014-08-01 14:00:00 PDT,+1.77492e+06,+440691
2014-08-01 15:00:00 PDT,+1.72238e+06,+324372
2014-08-01 16:00:00 PDT,+1.90899e+06,+284003
2014-08-01 17:00:00 PDT,+1.86577e+06,+358713
2014-08-01 18:00:00 PDT,+1.85692e+06,+443709
2014-08-01 19:00:00 PDT,+1.1632e+06,+214112
2014-08-01 20:00:00 PDT,+594399,-61361.2
2014-08-01 21:00:00 PDT,+649595,+33777.7
2014-08-01 22:00:00 PDT,+612219,+24532.9
2014-08-01 23:00:00 PDT,+507794,+18350.5
2014-08-02 00:00:00 PDT,+384528,+8775.48
2014-08-02 01:00:00 PDT,+332830,+3405.43
2014-08-02 02:00:00 PDT,+285000,+2629.63
2014-08-02 03:00:00 PDT,+274993,+2462.83
2014-08-02 04:00:00 PDT,+287679,+2816.07
2014-08-02 05:00:00 PDT,+289652,+2719.73
2014-08-02 06:00:00 PDT,+282241,+3354.71
2014-08-02 07:00:00 PDT,+357446,+21096.3
2014-08-02 08:00:00 PDT,+678738,+101125
2014-08-02 09:00:00 PDT,+907552,+160564
2014-08-02 10:00:00 PDT,+1.79636e+06,+444996
2014-08-02 11:00:00 PDT,+1.08732e+06,+11873.2
2014-08-02 12:00:00 PDT,+2.57282e+06,+734131
2014-08-02 13:00:00 PDT,+1.1726e+06,+37326.3
2014-08-02 14:00:00 PDT,+2.61822e+06,+755567
2014-08-02 15:00:00 PDT,+1.30655e+06,+82709
2014-08-02 16:00:00 PDT,+2.50291e+06,+706566
2014-08-02 17:00:00 PDT,+1.23139e+06,+52113
2014-08-02 18:00:00 PDT,+2.05922e+06,+530873
2014-08-02 19:00:00 PDT,+1.05705e+06,-7261.66
2014-08-02 20:00:00 PDT,+683487,+72656.7
2014-08-02 21:00:00 PDT,+683267,+55472.6
2014-08-02 22:00:00 PDT,+739346,+74692.7
2014-08-02 23:00:00 PDT,+774133,+100956
2014-08-03 00:00:00 PDT,+542546,+54736.5
2014-08-03 01:00:00 PDT,+380971,+22091.8
2014-08-03 02:00:00 PDT,+354950,+22279.6
2014-08-03 03:00:00 PDT,+295967,+11386.9
