# file...... TransformerLosses.csv
# date...... Wed Oct 12 09:32:39 2016
# user...... brendanlewis
# host...... (null)
# group..... class=transformer
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2011-04-13 00:00:00 PDT,+0.00740874,+0.00740874,+0.00664819,+0.00664819,+0.00734604,+0.00734604
2011-04-13 01:00:00 PDT,+0.00750106,+0.00750106,+0.00673104,+0.00673104,+0.00743758,+0.00743758
2011-04-13 02:00:00 PDT,+0.00759395,+0.00759395,+0.00681439,+0.00681439,+0.00752968,+0.00752968
2011-04-13 03:00:00 PDT,+0.00768742,+0.00768742,+0.00689826,+0.00689826,+0.00762236,+0.00762236
2011-04-13 04:00:00 PDT,+0.00778145,+0.00778145,+0.00698264,+0.00698264,+0.0077156,+0.0077156
2011-04-13 05:00:00 PDT,+0.00787606,+0.00787606,+0.00706754,+0.00706754,+0.0078094,+0.0078094
2011-04-13 06:00:00 PDT,+0.00787606,+0.00787606,+0.00706754,+0.00706754,+0.0078094,+0.0078094
2011-04-13 07:00:00 PDT,+0.00787606,+0.00787606,+0.00706754,+0.00706754,+0.0078094,+0.0078094
2011-04-13 08:00:00 PDT,+0.00787606,+0.00787606,+0.00706754,+0.00706754,+0.0078094,+0.0078094
2011-04-13 09:00:00 PDT,+0.00787606,+0.00787606,+0.00706754,+0.00706754,+0.0078094,+0.0078094
2011-04-13 10:00:00 PDT,+1420.93,+6962.54,+430.13,+2299.74,+397.103,+2083.09
2011-04-13 11:00:00 PDT,+1337.17,+6552.1,+404.489,+2162.64,+373.536,+1959.51
2011-04-13 12:00:00 PDT,+1245.18,+6101.35,+376.362,+2012.25,+347.673,+1823.89
2011-04-13 13:00:00 PDT,+1193.84,+5849.77,+360.678,+1928.39,+333.247,+1748.23
