# file...... UndergroundLosses.csv
# date...... Wed Oct 12 09:32:39 2016
# user...... brendanlewis
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2011-04-13 00:00:00 PDT,+357.845,+466.643,+313.721,+443.461,+268.664,+470.891
2011-04-13 01:00:00 PDT,+362.304,+472.457,+317.631,+448.987,+272.012,+476.76
2011-04-13 02:00:00 PDT,+366.79,+478.308,+321.564,+454.547,+275.38,+482.664
2011-04-13 03:00:00 PDT,+371.305,+484.195,+325.522,+460.141,+278.769,+488.604
2011-04-13 04:00:00 PDT,+375.846,+490.117,+329.504,+465.77,+282.179,+494.581
2011-04-13 05:00:00 PDT,+380.416,+496.076,+333.51,+471.433,+285.61,+500.594
2011-04-13 06:00:00 PDT,+380.416,+496.076,+333.51,+471.433,+285.61,+500.594
2011-04-13 07:00:00 PDT,+380.416,+496.076,+333.51,+471.433,+285.61,+500.594
2011-04-13 08:00:00 PDT,+380.416,+496.076,+333.51,+471.433,+285.61,+500.594
2011-04-13 09:00:00 PDT,+380.416,+496.076,+333.51,+471.433,+285.61,+500.594
2011-04-13 10:00:00 PDT,+9964.08,+9601.82,+5123.38,+9354.44,+5486.25,+8982.1
2011-04-13 11:00:00 PDT,+9364.11,+9028.35,+4824.51,+8782.32,+5165.04,+8455.26
2011-04-13 12:00:00 PDT,+8707.27,+8399.96,+4496.89,+8157.13,+4812.46,+7877.18
2011-04-13 13:00:00 PDT,+8341.64,+8049.93,+4314.32,+7809.68,+4615.79,+7554.8
2011-04-13 14:00:00 PDT,+8622.17,+8318.52,+4454.41,+8076.23,+4766.72,+7802.19
2011-04-13 15:00:00 PDT,+8295.36,+8005.6,+4291.19,+7765.72,+4590.87,+7513.95
2011-04-13 16:00:00 PDT,+7705.72,+7440.69,+3996.43,+7206.37,+4272.97,+6993.04
2011-04-13 17:00:00 PDT,+7884.75,+7612.26,+4085.97,+7376.08,+4369.58,+7151.32
2011-04-13 18:00:00 PDT,+8102.39,+7820.78,+4194.77,+7582.55,+4486.93,+7343.61
2011-04-13 19:00:00 PDT,+7848.77,+7577.78,+4067.98,+7341.97,+4350.17,+7119.52
2011-04-13 20:00:00 PDT,+8267.65,+7979.06,+4277.35,+7739.41,+4575.95,+7489.5
