# file...... VoltageJiggle.csv
# date...... Tue Feb 14 11:14:57 2017
# user...... brendanlewis
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,min(voltage_12.mag),mean(voltage_12.mag),max(voltage_12.mag),std(voltage_12.mag)
2011-05-01 00:00:00 PDT,+231.562,+236.275,+242.817,+2.8392
2011-05-01 01:00:00 PDT,+234.48,+238.647,+244.602,+2.47002
2011-05-01 02:00:00 PDT,+236.683,+240.58,+246.252,+2.28971
2011-05-01 03:00:00 PDT,+238.482,+242.268,+247.828,+2.21439
2011-05-01 04:00:00 PDT,+240.392,+244.022,+249.424,+2.11139
2011-05-01 05:00:00 PDT,+241.743,+245.438,+250.916,+2.15049
2011-05-01 06:00:00 PDT,+241.125,+245.063,+250.802,+2.30849
2011-05-01 07:00:00 PDT,+240.387,+244.615,+250.665,+2.49835
2011-05-01 08:00:00 PDT,+239.701,+244.197,+250.537,+2.67641
2011-05-01 09:00:00 PDT,+238.037,+243.178,+250.224,+3.11301
2011-05-01 10:00:00 PDT,+236.666,+242.335,+249.964,+3.47664
2011-05-01 11:00:00 PDT,+236.135,+242.007,+249.863,+3.61834
2011-05-01 12:00:00 PDT,+236.321,+242.122,+249.898,+3.56846
2011-05-01 13:00:00 PDT,+236.459,+242.207,+249.925,+3.53172
2011-05-01 14:00:00 PDT,+236.479,+242.22,+249.928,+3.52647
2011-05-01 15:00:00 PDT,+237.711,+242.978,+250.162,+3.19917
2011-05-01 16:00:00 PDT,+238.532,+243.481,+250.317,+2.98268
2011-05-01 17:00:00 PDT,+238.809,+243.651,+250.369,+2.90984
2011-05-01 18:00:00 PDT,+238.73,+243.603,+250.354,+2.93064
2011-05-01 19:00:00 PDT,+238.264,+243.318,+250.267,+3.05302
2011-05-01 20:00:00 PDT,+238.304,+243.342,+250.274,+3.0426
2011-05-01 21:00:00 PDT,+237.908,+243.099,+250.2,+3.14694
