# file...... Inverter_inverter172821.csv
# date...... Mon Aug 14 14:24:20 2017
# user...... brendanlewis
# host...... (null)
# target.... inverter 2272
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2012-04-01 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 05:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 06:00:00 PDT,+325946,+46680,+325946,+46680,+325946,+46680
2012-04-01 07:00:00 PDT,+555433,+79545.6,+555433,+79545.6,+555433,+79545.6
2012-04-01 08:00:00 PDT,+1.28094e+06,+183449,+1.28094e+06,+183449,+1.28094e+06,+183449
2012-04-01 09:00:00 PDT,+1.81972e+06,+260608,+1.81972e+06,+260608,+1.81972e+06,+260608
2012-04-01 10:00:00 PDT,+2.4915e+06,+356817,+2.4915e+06,+356817,+2.4915e+06,+356817
2012-04-01 11:00:00 PDT,+2.0926e+06,+299689,+2.0926e+06,+299689,+2.0926e+06,+299689
2012-04-01 12:00:00 PDT,+2.39701e+06,+343285,+2.39701e+06,+343285,+2.39701e+06,+343285
2012-04-01 13:00:00 PDT,+1.86716e+06,+267403,+1.86716e+06,+267403,+1.86716e+06,+267403
2012-04-01 14:00:00 PDT,+1.57176e+06,+225098,+1.57176e+06,+225098,+1.57176e+06,+225098
2012-04-01 15:00:00 PDT,+811177,+116172,+811177,+116172,+811177,+116172
2012-04-01 16:00:00 PDT,+522447,+74821.7,+522447,+74821.7,+522447,+74821.7
2012-04-01 17:00:00 PDT,+206898,+29630.6,+206898,+29630.6,+206898,+29630.6
2012-04-01 18:00:00 PDT,+26353.7,+3774.22,+26353.7,+3774.22,+26353.7,+3774.22
2012-04-01 19:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-01 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 05:00:00 PDT,+2639.3,+377.984,+2639.3,+377.984,+2639.3,+377.984
2012-04-02 06:00:00 PDT,+71240.5,+10202.6,+71240.5,+10202.6,+71240.5,+10202.6
2012-04-02 07:00:00 PDT,+368454,+52767.7,+368454,+52767.7,+368454,+52767.7
2012-04-02 08:00:00 PDT,+976764,+139886,+976764,+139886,+976764,+139886
2012-04-02 09:00:00 PDT,+1.91819e+06,+274711,+1.91819e+06,+274711,+1.91819e+06,+274711
2012-04-02 10:00:00 PDT,+2.34104e+06,+335270,+2.34104e+06,+335270,+2.34104e+06,+335270
2012-04-02 11:00:00 PDT,+2.29999e+06,+329390,+2.29999e+06,+329390,+2.29999e+06,+329390
2012-04-02 12:00:00 PDT,+1.68407e+06,+241183,+1.68407e+06,+241183,+1.68407e+06,+241183
2012-04-02 13:00:00 PDT,+837023,+119873,+837023,+119873,+837023,+119873
2012-04-02 14:00:00 PDT,+1.54407e+06,+221133,+1.54407e+06,+221133,+1.54407e+06,+221133
2012-04-02 15:00:00 PDT,+1.44524e+06,+206978,+1.44524e+06,+206978,+1.44524e+06,+206978
2012-04-02 16:00:00 PDT,+1.32281e+06,+189444,+1.32281e+06,+189444,+1.32281e+06,+189444
2012-04-02 17:00:00 PDT,+964078,+138069,+964078,+138069,+964078,+138069
2012-04-02 18:00:00 PDT,+143979,+20619.8,+143979,+20619.8,+143979,+20619.8
2012-04-02 19:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 21:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 22:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-02 23:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-03 00:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-03 01:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-03 02:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-03 03:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-03 04:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-03 05:00:00 PDT,+5282.95,+756.592,+5282.95,+756.592,+5282.95,+756.592
2012-04-03 06:00:00 PDT,+348676,+49935.2,+348676,+49935.2,+348676,+49935.2
2012-04-03 07:00:00 PDT,+405960,+58139.1,+405960,+58139.1,+405960,+58139.1
2012-04-03 08:00:00 PDT,+679759,+97350.9,+679759,+97350.9,+679759,+97350.9
2012-04-03 09:00:00 PDT,+1.17019e+06,+167588,+1.17019e+06,+167588,+1.17019e+06,+167588
2012-04-03 10:00:00 PDT,+1.65769e+06,+237404,+1.65769e+06,+237404,+1.65769e+06,+237404
2012-04-03 11:00:00 PDT,+826035,+118300,+826035,+118300,+826035,+118300
2012-04-03 12:00:00 PDT,+1.04939e+06,+150287,+1.04939e+06,+150287,+1.04939e+06,+150287
2012-04-03 13:00:00 PDT,+952045,+136346,+952045,+136346,+952045,+136346
2012-04-03 14:00:00 PDT,+722849,+103522,+722849,+103522,+722849,+103522
2012-04-03 15:00:00 PDT,+497993,+71319.5,+497993,+71319.5,+497993,+71319.5
2012-04-03 16:00:00 PDT,+487513,+69818.6,+487513,+69818.6,+487513,+69818.6
2012-04-03 17:00:00 PDT,+213607,+30591.5,+213607,+30591.5,+213607,+30591.5
2012-04-03 18:00:00 PDT,+60611,+8680.34,+60611,+8680.34,+60611,+8680.34
2012-04-03 19:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-03 20:00:00 PDT,+0,+0,+0,+0,+0,+0
2012-04-03 21:00:00 PDT,+0,+0,+0,+0,+0,+0
