# file...... TransformerLosses.csv
# date...... Mon Jun  6 13:43:25 2016
# user...... samsung
# host...... (null)
# group..... class=transformer
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2009-01-01 00:00:00 PST,+349.487,+230.269,+553.203,+358.488,+1134.34,+740.757
2009-01-01 01:00:00 PST,+228.187,+152.021,+344.466,+224.682,+723.317,+475.657
2009-01-01 02:00:00 PST,+188.001,+125.836,+276.436,+180.601,+588.137,+387.675
2009-01-01 03:00:00 PST,+172.008,+115.399,+252.348,+164.861,+536.879,+354.124
2009-01-01 04:00:00 PST,+194.219,+130.083,+280.676,+183.809,+604.602,+399.14
2009-01-01 05:00:00 PST,+361.994,+240.802,+513.329,+338.083,+1132.86,+748.843
2009-01-01 06:00:00 PST,+2516.64,+1672.21,+3785.01,+2515.23,+8894.7,+5912.88
2009-01-01 07:00:00 PST,+2307.82,+1525.7,+3290.74,+2176.45,+7343.73,+4858.73
2009-01-01 08:00:00 PST,+2137.8,+1411.78,+3165.77,+2087.57,+6904.69,+4560.02
2009-01-01 09:00:00 PST,+1826.23,+1205.4,+2685.8,+1770.24,+5877.3,+3879.53
2009-01-01 10:00:00 PST,+1619.59,+1068.12,+2377,+1565.17,+5201.93,+3430.77
2009-01-01 11:00:00 PST,+1415.79,+932.75,+2077.03,+1365.8,+4534.56,+2987.03
2009-01-01 12:00:00 PST,+1201.04,+791.002,+1773.74,+1164.91,+3846.02,+2531.18
2009-01-01 13:00:00 PST,+1019,+671.312,+1508.66,+990.329,+3265.65,+2148.95
2009-01-01 14:00:00 PST,+867.946,+571.541,+1275.69,+836.722,+2767.97,+1820.21
2009-01-01 15:00:00 PST,+884.157,+581.257,+1271.82,+833.959,+2786.95,+1830.96
2009-01-01 16:00:00 PST,+1182.11,+773.856,+1643.35,+1076.75,+3659.87,+2399.01
2009-01-01 17:00:00 PST,+1856.76,+1209.06,+2529.16,+1652.98,+5674.75,+3706.66
2009-01-01 18:00:00 PST,+2438.65,+1585.49,+3471.58,+2260.45,+7594.52,+4949.86
2009-01-01 19:00:00 PST,+2545.07,+1655.68,+3642.38,+2367.73,+8445.81,+5510.62
2009-01-01 20:00:00 PST,+2188.39,+1421.52,+3249.56,+2110.92,+7261.24,+4730.46
2009-01-01 21:00:00 PST,+1861.8,+1209.15,+2908.82,+1889.73,+6050.37,+3937.21
2009-01-01 22:00:00 PST,+1813.9,+1187.35,+2044.12,+1324.01,+4313.46,+2804.83
2009-01-01 23:00:00 PST,+726.66,+474.321,+1146.71,+741.553,+2792.44,+1823.29
2009-01-02 00:00:00 PST,+519.638,+343.703,+553.202,+358.487,+1147.15,+749.298
2009-01-02 01:00:00 PST,+228.187,+152.021,+344.466,+224.682,+723.317,+475.657
2009-01-02 02:00:00 PST,+188.001,+125.836,+276.436,+180.601,+588.137,+387.675
2009-01-02 03:00:00 PST,+172.008,+115.399,+252.348,+164.861,+537.29,+354.398
2009-01-02 04:00:00 PST,+194.468,+130.249,+280.962,+184.001,+605.733,+399.894
2009-01-02 05:00:00 PST,+361.994,+240.802,+513.329,+338.083,+1134.63,+750.019
2009-01-02 06:00:00 PST,+1068.93,+707.015,+1482.98,+980.37,+3360.75,+2222.68
2009-01-02 07:00:00 PST,+2308.73,+1526.3,+3292.12,+2177.37,+7372.05,+4877.61
2009-01-02 08:00:00 PST,+2137.7,+1411.72,+3165.86,+2087.63,+7325.38,+4840.54
2009-01-02 09:00:00 PST,+1826.19,+1205.37,+2685.84,+1770.27,+6122.02,+4042.75
2009-01-02 10:00:00 PST,+1619.59,+1068.12,+2377,+1565.17,+5201.93,+3430.77
2009-01-02 11:00:00 PST,+1415.79,+932.746,+2077.04,+1365.8,+4593.36,+3026.25
2009-01-02 12:00:00 PST,+1201.04,+791.005,+1891.12,+1243.17,+3846,+2531.17
2009-01-02 13:00:00 PST,+1019,+671.309,+1508.67,+990.331,+3382.16,+2226.62
2009-01-02 14:00:00 PST,+867.934,+571.532,+1275.7,+836.73,+3068.45,+2020.56
2009-01-02 15:00:00 PST,+1092.83,+720.376,+1272.41,+834.352,+2786.96,+1830.96
2009-01-02 16:00:00 PST,+1182.11,+773.856,+1643.35,+1076.75,+3663.44,+2401.4
2009-01-02 17:00:00 PST,+1856.75,+1209.05,+2529.17,+1652.98,+6228.21,+4075.63
2009-01-02 18:00:00 PST,+2438.62,+1585.47,+3471.61,+2260.47,+8265.12,+5396.89
2009-01-02 19:00:00 PST,+2382.34,+1547.2,+3485.18,+2262.9,+7669.94,+4993.09
2009-01-02 20:00:00 PST,+2122.47,+1377.55,+3256.33,+2115.43,+6877.99,+4475.02
2009-01-02 21:00:00 PST,+2179.29,+1420.79,+2746.95,+1781.82,+6093.16,+3965.8
2009-01-02 22:00:00 PST,+1344.17,+874.196,+2044.15,+1324.02,+4376.8,+2847.08
2009-01-02 23:00:00 PST,+726.665,+474.324,+1146.7,+741.55,+2413.39,+1570.62
2009-01-03 00:00:00 PST,+433.98,+285.049,+658.979,+427.956,+1476.47,+965.393
2009-01-03 01:00:00 PST,+286.581,+189.604,+438.141,+284.861,+916.357,+600.229
2009-01-03 02:00:00 PST,+206.405,+137.634,+310.197,+202.143,+687.241,+452.181
2009-01-03 03:00:00 PST,+181.417,+121.299,+263.977,+172.207,+564.599,+371.67
2009-01-03 04:00:00 PST,+183.53,+122.852,+268.799,+175.557,+575.746,+379.41
2009-01-03 05:00:00 PST,+208.568,+139.428,+299.539,+196.108,+647.387,+427.062
2009-01-03 06:00:00 PST,+300.267,+199.478,+424.761,+278.731,+1007.37,+664.632
2009-01-03 07:00:00 PST,+611.381,+404.001,+1025.16,+676.319,+1911.23,+1260.31
2009-01-03 08:00:00 PST,+1414.75,+933.961,+2035.24,+1343.92,+4443.74,+2934.83
2009-01-03 09:00:00 PST,+2291.05,+1512,+3283.78,+2167.93,+7565.47,+4999.27
2009-01-03 10:00:00 PST,+2797.38,+1844.58,+4046.88,+2669.21,+9113.92,+6017.33
2009-01-03 11:00:00 PST,+2773.32,+1826.51,+4045.86,+2664.3,+8961.82,+5908.74
2009-01-03 12:00:00 PST,+2559.87,+1684.2,+3742.59,+2461.61,+8212.74,+5408.58
2009-01-03 13:00:00 PST,+2581.63,+1699.66,+3398.83,+2233.04,+7545.71,+4966.14
2009-01-03 14:00:00 PST,+1957.56,+1285.08,+2875.75,+1886.01,+6417.27,+4217.67
2009-01-03 15:00:00 PST,+1763.96,+1156.27,+2569.5,+1683.15,+5661.93,+3715.55
2009-01-03 16:00:00 PST,+1965.39,+1285.48,+2935.63,+1923.92,+6616.26,+4340.88
2009-01-03 17:00:00 PST,+2411.49,+1570.99,+3370.79,+2201.67,+7466.81,+4877.99
2009-01-03 18:00:00 PST,+2635.29,+1713.23,+3798.01,+2471.32,+8257.38,+5380.61
2009-01-03 19:00:00 PST,+2426.15,+1575.2,+3553.87,+2306.81,+7653.12,+4978.33
2009-01-03 20:00:00 PST,+2255.73,+1466.35,+3160.31,+2050.57,+7141.67,+4650.32
2009-01-03 21:00:00 PST,+1792.05,+1162.98,+2779.28,+1803.78,+5841.55,+3798.91
2009-01-03 22:00:00 PST,+1318.47,+856.066,+1988.31,+1286.34,+4258.94,+2766.5
2009-01-03 23:00:00 PST,+818.454,+533.825,+1280.08,+828.221,+2728.21,+1775.95
2009-01-04 00:00:00 PST,+442.599,+290.288,+811.028,+527.882,+1535.24,+1002.43
2009-01-04 01:00:00 PST,+286.578,+189.602,+437.775,+284.616,+962.125,+630.752
2009-01-04 02:00:00 PST,+206.154,+137.467,+309.163,+201.453,+695.496,+457.684
2009-01-04 03:00:00 PST,+181.11,+121.095,+263.693,+172.018,+592.453,+390.248
2009-01-04 04:00:00 PST,+211.759,+141.681,+299.313,+195.91,+758.407,+501.204
2009-01-04 05:00:00 PST,+206.869,+138.296,+298.859,+195.654,+644.411,+425.077
2009-01-04 06:00:00 PST,+299.955,+199.27,+423.832,+278.112,+931.164,+613.827
2009-01-04 07:00:00 PST,+608.482,+402.068,+851.56,+560.583,+1939.67,+1279.28
2009-01-04 08:00:00 PST,+1392.85,+919.36,+1962.25,+1295.24,+4571.33,+3019.92
