# file...... Inverter_solarInverter_house13.csv
# date...... Wed Aug 19 15:45:57 2015
# user...... dpinney
# host...... (null)
# target.... inverter 1232
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2009-01-01 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 07:00:00 PST,+572.967,+0,+0,+0,+0,+0
2009-01-01 08:00:00 PST,+5080.89,+0,+0,+0,+0,+0
2009-01-01 09:00:00 PST,+8221.25,+0,+0,+0,+0,+0
2009-01-01 10:00:00 PST,+9859.85,+0,+0,+0,+0,+0
2009-01-01 11:00:00 PST,+10616.1,+0,+0,+0,+0,+0
2009-01-01 12:00:00 PST,+10672,+0,+0,+0,+0,+0
2009-01-01 13:00:00 PST,+10140.1,+0,+0,+0,+0,+0
2009-01-01 14:00:00 PST,+9081.45,+0,+0,+0,+0,+0
2009-01-01 15:00:00 PST,+6704.88,+0,+0,+0,+0,+0
2009-01-01 16:00:00 PST,+2032.96,+0,+0,+0,+0,+0
2009-01-01 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 07:00:00 PST,+512.495,+0,+0,+0,+0,+0
2009-01-02 08:00:00 PST,+1455.94,+0,+0,+0,+0,+0
2009-01-02 09:00:00 PST,+7034.54,+0,+0,+0,+0,+0
2009-01-02 10:00:00 PST,+6279.32,+0,+0,+0,+0,+0
2009-01-02 11:00:00 PST,+6414.08,+0,+0,+0,+0,+0
2009-01-02 12:00:00 PST,+6583.31,+0,+0,+0,+0,+0
2009-01-02 13:00:00 PST,+5991.68,+0,+0,+0,+0,+0
2009-01-02 14:00:00 PST,+3223.53,+0,+0,+0,+0,+0
2009-01-02 15:00:00 PST,+3683.11,+0,+0,+0,+0,+0
2009-01-02 16:00:00 PST,+816.097,+0,+0,+0,+0,+0
2009-01-02 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 07:00:00 PST,+90.098,+0,+0,+0,+0,+0
2009-01-03 08:00:00 PST,+2192.66,+0,+0,+0,+0,+0
2009-01-03 09:00:00 PST,+2476.82,+0,+0,+0,+0,+0
2009-01-03 10:00:00 PST,+4286.4,+0,+0,+0,+0,+0
2009-01-03 11:00:00 PST,+5452.42,+0,+0,+0,+0,+0
2009-01-03 12:00:00 PST,+4177.4,+0,+0,+0,+0,+0
2009-01-03 13:00:00 PST,+3261.38,+0,+0,+0,+0,+0
2009-01-03 14:00:00 PST,+3424.71,+0,+0,+0,+0,+0
2009-01-03 15:00:00 PST,+2430.67,+0,+0,+0,+0,+0
2009-01-03 16:00:00 PST,+436.025,+0,+0,+0,+0,+0
2009-01-03 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 07:00:00 PST,+51.9397,+0,+0,+0,+0,+0
2009-01-04 08:00:00 PST,+503.472,+0,+0,+0,+0,+0
2009-01-04 09:00:00 PST,+595.991,+0,+0,+0,+0,+0
2009-01-04 10:00:00 PST,+919.933,+0,+0,+0,+0,+0
2009-01-04 11:00:00 PST,+1371.71,+0,+0,+0,+0,+0
2009-01-04 12:00:00 PST,+1463.23,+0,+0,+0,+0,+0
2009-01-04 13:00:00 PST,+1282.75,+0,+0,+0,+0,+0
2009-01-04 14:00:00 PST,+998.556,+0,+0,+0,+0,+0
2009-01-04 15:00:00 PST,+583.734,+0,+0,+0,+0,+0
2009-01-04 16:00:00 PST,+233.549,+0,+0,+0,+0,+0
2009-01-04 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 05:00:00 PST,+0,+0,+0,+0,+0,+0
