# file...... Inverter_solarInverter_house50.csv
# date...... Mon Jun  6 13:46:09 2016
# user...... samsung
# host...... (null)
# target.... inverter 1639
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2009-01-01 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 07:00:00 PST,+235.705,+0,+0,+0,+0,+0
2009-01-01 08:00:00 PST,+2090.16,+0,+0,+0,+0,+0
2009-01-01 09:00:00 PST,+3382.03,+0,+0,+0,+0,+0
2009-01-01 10:00:00 PST,+4056.12,+0,+0,+0,+0,+0
2009-01-01 11:00:00 PST,+4367.22,+0,+0,+0,+0,+0
2009-01-01 12:00:00 PST,+4390.23,+0,+0,+0,+0,+0
2009-01-01 13:00:00 PST,+4171.39,+0,+0,+0,+0,+0
2009-01-01 14:00:00 PST,+3735.9,+0,+0,+0,+0,+0
2009-01-01 15:00:00 PST,+2758.23,+0,+0,+0,+0,+0
2009-01-01 16:00:00 PST,+836.314,+0,+0,+0,+0,+0
2009-01-01 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 07:00:00 PST,+210.829,+0,+0,+0,+0,+0
2009-01-02 08:00:00 PST,+598.941,+0,+0,+0,+0,+0
2009-01-02 09:00:00 PST,+2893.84,+0,+0,+0,+0,+0
2009-01-02 10:00:00 PST,+2583.17,+0,+0,+0,+0,+0
2009-01-02 11:00:00 PST,+2638.6,+0,+0,+0,+0,+0
2009-01-02 12:00:00 PST,+2708.22,+0,+0,+0,+0,+0
2009-01-02 13:00:00 PST,+2464.84,+0,+0,+0,+0,+0
2009-01-02 14:00:00 PST,+1326.08,+0,+0,+0,+0,+0
2009-01-02 15:00:00 PST,+1515.15,+0,+0,+0,+0,+0
2009-01-02 16:00:00 PST,+335.723,+0,+0,+0,+0,+0
2009-01-02 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 07:00:00 PST,+37.0642,+0,+0,+0,+0,+0
2009-01-03 08:00:00 PST,+902.008,+0,+0,+0,+0,+0
2009-01-03 09:00:00 PST,+1018.9,+0,+0,+0,+0,+0
2009-01-03 10:00:00 PST,+1763.33,+0,+0,+0,+0,+0
2009-01-03 11:00:00 PST,+2243,+0,+0,+0,+0,+0
2009-01-03 12:00:00 PST,+1718.48,+0,+0,+0,+0,+0
2009-01-03 13:00:00 PST,+1341.66,+0,+0,+0,+0,+0
2009-01-03 14:00:00 PST,+1408.85,+0,+0,+0,+0,+0
2009-01-03 15:00:00 PST,+999.922,+0,+0,+0,+0,+0
2009-01-03 16:00:00 PST,+179.37,+0,+0,+0,+0,+0
2009-01-03 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 07:00:00 PST,+21.3668,+0,+0,+0,+0,+0
2009-01-04 08:00:00 PST,+207.117,+0,+0,+0,+0,+0
2009-01-04 09:00:00 PST,+245.177,+0,+0,+0,+0,+0
2009-01-04 10:00:00 PST,+378.439,+0,+0,+0,+0,+0
2009-01-04 11:00:00 PST,+564.288,+0,+0,+0,+0,+0
2009-01-04 12:00:00 PST,+601.94,+0,+0,+0,+0,+0
2009-01-04 13:00:00 PST,+527.694,+0,+0,+0,+0,+0
2009-01-04 14:00:00 PST,+410.783,+0,+0,+0,+0,+0
2009-01-04 15:00:00 PST,+240.135,+0,+0,+0,+0,+0
2009-01-04 16:00:00 PST,+96.0765,+0,+0,+0,+0,+0
2009-01-04 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 05:00:00 PST,+0,+0,+0,+0,+0,+0
