# file...... UndergroundLosses.csv
# date...... Wed Aug 19 15:45:57 2015
# user...... dpinney
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2009-01-01 00:00:00 PST,+0.00317473,+0.00202034,+0,+0,+0.1402,+0.0892209
2009-01-01 01:00:00 PST,+0.00575702,+0.00366367,+0,+0,+0.215982,+0.137447
2009-01-01 02:00:00 PST,+0.00518955,+0.00330254,+0,+0,+0.187538,+0.119346
2009-01-01 03:00:00 PST,+0.00492308,+0.00313296,+0,+0,+0.177222,+0.112781
2009-01-01 04:00:00 PST,+0.00196299,+0.00124922,+0,+0,+0.0707829,+0.045045
2009-01-01 05:00:00 PST,+0.00378732,+0.00241018,+0,+0,+0.133504,+0.0849594
2009-01-01 06:00:00 PST,+0.0113449,+0.0072197,+0,+0,+0.889117,+0.565818
2009-01-01 07:00:00 PST,+0.0225941,+0.0143785,+0,+0,+0.803052,+0.511048
2009-01-01 08:00:00 PST,+0.0103373,+0.00657846,+0,+0,+0.301782,+0.192049
2009-01-01 09:00:00 PST,+0.00391885,+0.00249389,+0,+0,+0.109684,+0.069801
2009-01-01 10:00:00 PST,+0.00158687,+0.00100986,+0,+0,+0.0961476,+0.0611866
2009-01-01 11:00:00 PST,+0.00060398,+0.000384362,+0,+0,+0.117379,+0.074698
2009-01-01 12:00:00 PST,+0.000222973,+0.000141896,+0,+0,+0.133326,+0.0848462
2009-01-01 13:00:00 PST,+0.000139225,+8.86005e-05,+0,+0,+0.126394,+0.0804348
2009-01-01 14:00:00 PST,+0.000169191,+0.00010767,+0,+0,+0.0974776,+0.062033
2009-01-01 15:00:00 PST,+0.00112489,+0.000715861,+0,+0,+0.0467487,+0.0297501
2009-01-01 16:00:00 PST,+0.00784991,+0.00499555,+0,+0,+0.249071,+0.158504
2009-01-01 17:00:00 PST,+0.0173206,+0.0110226,+0,+0,+0.654521,+0.416526
2009-01-01 18:00:00 PST,+0.0220506,+0.0140326,+0,+0,+0.897801,+0.571345
