# file...... Inverter_solarInverter_house123.csv
# date...... Wed Aug 19 15:10:15 2015
# user...... dpinney
# host...... (null)
# target.... inverter 2442
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A.real,power_A.imag,power_B.real,power_B.imag,power_C.real,power_C.imag
2009-01-01 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 07:00:00 PST,+452.222,+0,+0,+0,+0,+0
2009-01-01 08:00:00 PST,+4010.16,+0,+0,+0,+0,+0
2009-01-01 09:00:00 PST,+6488.73,+0,+0,+0,+0,+0
2009-01-01 10:00:00 PST,+7782.03,+0,+0,+0,+0,+0
2009-01-01 11:00:00 PST,+8378.91,+0,+0,+0,+0,+0
2009-01-01 12:00:00 PST,+8423.05,+0,+0,+0,+0,+0
2009-01-01 13:00:00 PST,+8003.2,+0,+0,+0,+0,+0
2009-01-01 14:00:00 PST,+7167.66,+0,+0,+0,+0,+0
2009-01-01 15:00:00 PST,+5291.92,+0,+0,+0,+0,+0
2009-01-01 16:00:00 PST,+1604.55,+0,+0,+0,+0,+0
2009-01-01 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-01 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 07:00:00 PST,+404.494,+0,+0,+0,+0,+0
2009-01-02 08:00:00 PST,+1149.12,+0,+0,+0,+0,+0
2009-01-02 09:00:00 PST,+5552.11,+0,+0,+0,+0,+0
2009-01-02 10:00:00 PST,+4956.04,+0,+0,+0,+0,+0
2009-01-02 11:00:00 PST,+5062.4,+0,+0,+0,+0,+0
2009-01-02 12:00:00 PST,+5195.97,+0,+0,+0,+0,+0
2009-01-02 13:00:00 PST,+4729.02,+0,+0,+0,+0,+0
2009-01-02 14:00:00 PST,+2544.21,+0,+0,+0,+0,+0
2009-01-02 15:00:00 PST,+2906.95,+0,+0,+0,+0,+0
2009-01-02 16:00:00 PST,+644.116,+0,+0,+0,+0,+0
2009-01-02 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-02 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 07:00:00 PST,+71.1111,+0,+0,+0,+0,+0
2009-01-03 08:00:00 PST,+1730.58,+0,+0,+0,+0,+0
2009-01-03 09:00:00 PST,+1954.86,+0,+0,+0,+0,+0
2009-01-03 10:00:00 PST,+3383.11,+0,+0,+0,+0,+0
2009-01-03 11:00:00 PST,+4303.4,+0,+0,+0,+0,+0
2009-01-03 12:00:00 PST,+3297.07,+0,+0,+0,+0,+0
2009-01-03 13:00:00 PST,+2574.09,+0,+0,+0,+0,+0
2009-01-03 14:00:00 PST,+2703,+0,+0,+0,+0,+0
2009-01-03 15:00:00 PST,+1918.44,+0,+0,+0,+0,+0
2009-01-03 16:00:00 PST,+344.139,+0,+0,+0,+0,+0
2009-01-03 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-03 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 05:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 06:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 07:00:00 PST,+40.9942,+0,+0,+0,+0,+0
2009-01-04 08:00:00 PST,+397.372,+0,+0,+0,+0,+0
2009-01-04 09:00:00 PST,+470.394,+0,+0,+0,+0,+0
2009-01-04 10:00:00 PST,+726.07,+0,+0,+0,+0,+0
2009-01-04 11:00:00 PST,+1082.64,+0,+0,+0,+0,+0
2009-01-04 12:00:00 PST,+1154.88,+0,+0,+0,+0,+0
2009-01-04 13:00:00 PST,+1012.43,+0,+0,+0,+0,+0
2009-01-04 14:00:00 PST,+788.125,+0,+0,+0,+0,+0
2009-01-04 15:00:00 PST,+460.721,+0,+0,+0,+0,+0
2009-01-04 16:00:00 PST,+184.332,+0,+0,+0,+0,+0
2009-01-04 17:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 18:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 19:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 20:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 21:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 22:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-04 23:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 00:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 01:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 02:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 03:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 04:00:00 PST,+0,+0,+0,+0,+0,+0
2009-01-05 05:00:00 PST,+0,+0,+0,+0,+0,+0
