# file...... SwingKids_overhead_line.csv
# date...... Thu Feb 28 11:48:09 2013
# user...... dwp0
# host...... (null)
# group..... class=overhead_line AND groupid=swingKids
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_in.real),sum(power_in.imag)
2012-06-06 00:00:00 PDT,+203128,-301914
2012-06-06 01:00:00 PDT,+242677,+2160.1
2012-06-06 02:00:00 PDT,+209871,+2195.92
2012-06-06 03:00:00 PDT,+283015,+5196.25
2012-06-06 04:00:00 PDT,+368705,+14945.9
2012-06-06 05:00:00 PDT,+246646,+3571.36
2012-06-06 06:00:00 PDT,+423821,+9384.26
2012-06-06 07:00:00 PDT,+369538,+9263.9
2012-06-06 08:00:00 PDT,+263358,+4174.97
2012-06-06 09:00:00 PDT,+368763,+5673
2012-06-06 10:00:00 PDT,+308133,+6247.8
2012-06-06 11:00:00 PDT,+255714,-98916
2012-06-06 12:00:00 PDT,+237014,+9529.21
2012-06-06 13:00:00 PDT,+243667,+26280.1
2012-06-06 14:00:00 PDT,+347728,-85422.5
2012-06-06 15:00:00 PDT,+546656,+82505.6
2012-06-06 16:00:00 PDT,+558122,+8990.15
2012-06-06 17:00:00 PDT,+578111,+582.517
2012-06-06 18:00:00 PDT,+447885,+35751.1
2012-06-06 19:00:00 PDT,+365569,+7543.86
2012-06-06 20:00:00 PDT,+361964,+8462
2012-06-06 21:00:00 PDT,+352417,+5942.77
2012-06-06 22:00:00 PDT,+398162,-198389
2012-06-06 23:00:00 PDT,+357527,+4068.52
2012-06-07 00:00:00 PDT,+296651,+2715.85
2012-06-07 01:00:00 PDT,+257080,+2485.61
2012-06-07 02:00:00 PDT,+208671,+2203.88
2012-06-07 03:00:00 PDT,+389615,+17915.9
2012-06-07 04:00:00 PDT,+329650,+7088.53
2012-06-07 05:00:00 PDT,+300875,+11494.3
2012-06-07 06:00:00 PDT,+441538,+11184.3
2012-06-07 07:00:00 PDT,+366310,-91970.1
2012-06-07 08:00:00 PDT,+259553,+4344.14
2012-06-07 09:00:00 PDT,+373134,+5922.83
