Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,     502044,   104.04,     502044,   -15.96,     502044,  -135.96,          0,     0.00, 0.000114069,   168.44,     502044,   -75.96,     502044,   164.04,     502044,    44.04,          0,     0.00, 0.000114069,   -11.56
Transformer.SUBXF, 0.00634155,    -5.49, 0.00663003,    -3.01,  0.0129685,   175.78,          0,     0.00,          0,     0.00,   0.303907,   174.51,    0.31773,   176.99,   0.621367,    -4.22,          0,     0.00, 0.000125259,  -180.00
Transformer.XFM1, 8.35449E-6,   179.99, 8.35431E-6,   179.99,  8.3438E-6,  -179.98,          0,     0.00, 0.0000250526,   180.00, 2.39387E-12,  -179.86, 1.48897E-12,  -178.09, 2.21572E-12,    -0.69,          0,     0.00, 1.66846E-12,  -177.18
Line.L1,   0.248861,    -4.53,    0.25677,    -2.90,   0.303872,     6.17,          0,     0.00,   0.806637,     0.00,   0.222119,   174.92,   0.229973,   176.76,   0.277223,  -173.24,          0,     0.00,   0.726147,   180.00
Line.L2,  0.0105761,   -12.46,  0.0106963,   -12.18,  0.0177439,    14.82,          0,     0.00,  0.0379359,     0.00, 0.00554801,   155.71, 0.00565517,   156.49,  0.0127238,  -159.10,          0,     0.00,  0.0221293,  -180.00
Line.L3,  0.0675074,    -4.36,  0.0665526,    -5.47,   0.085044,     7.76,          0,     0.00,   0.217827,     0.00,  0.0616342,   175.22,  0.0606902,   174.00,  0.0792137,  -171.67,          0,     0.00,   0.200155,   180.00
Line.L4,   0.144129,    -4.87,   0.152964,    -1.65,   0.174668,     5.46,          0,     0.00,   0.470385,     0.00,   0.107409,   173.46,   0.116085,   177.83,   0.138004,  -173.08,          0,     0.00,   0.359711,   180.00
Line.L5,  0.0117714,   -10.92,  0.0131396,    -4.70,  0.0178514,    10.67,          0,     0.00,  0.0421967,     0.00, 0.00868717,   165.13, 0.00999153,   173.82,  0.0147575,  -167.06,          0,     0.00,  0.0327126,   180.00
Line.L6,  0.0956757,    -6.00,    0.10296,    -1.85,   0.120197,     6.36,          0,     0.00,   0.317514,     0.00,  0.0859159,   173.31,  0.0931459,   177.96,   0.110449,  -173.08,          0,     0.00,   0.288062,   180.00
Line.L7, 0.00777633,    -0.21, 0.00750509,    -4.03, 0.00846564,     3.77,          0,     0.00,  0.0237101,     0.00, 0.00672232,   179.76, 0.00645412,   175.31, 0.00741489,  -175.70,          0,     0.00,  0.0205488,  -180.00
Line.L8,  0.0475296,    -3.41,  0.0447406,    -7.47,  0.0597414,     8.32,          0,     0.00,   0.150919,     0.00,  0.0344685,   175.30,  0.0318042,   169.46,  0.0468324,  -169.37,          0,     0.00,   0.111649,   180.00
Line.L9, 0.00420563,    -0.03, 0.00303056,   -48.10, 0.00680178,    19.39,          0,     0.00,  0.0126453,     0.00, 0.0000105789,    10.46, 0.00314545,    45.82, 0.00315408,  -134.29,          0,     0.00, 1.47793E-12,   -67.38
Line.L10, 0.00243381,   -69.53, 0.00316198,     0.00, 0.00592707,    22.63,          0,     0.00, 0.00948397,     0.00, 0.00324621,    44.61, 5.00513E-12,    88.05, 0.00324621,  -135.39,          0,     0.00, 7.76594E-12,    84.54
Line.L11, 0.00368908,    -0.01,  0.0027903,   -23.08, 0.00493166,    12.82,          0,     0.00,  0.0110648,     0.00, 3.50959E-12,    65.10, 0.00156681,    44.26, 0.00156681,  -135.74,          0,     0.00, 2.3908E-12,   108.00
