Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    8.48294,   142.16,    6.35557,    26.64,     8.1178,   -82.79,          0,     0.00, 5.99991E-11,    75.96,    8.48294,   -37.84,    6.35557,  -153.36,     8.1178,    97.21,          0,     0.00, 5.99991E-11,  -104.04
Transformer.SUBXF,    8.48294,   -37.84,    6.35557,  -153.36,     8.1178,    97.21,          0,     0.00, 1.85457E-14,    73.30,    406.474,   142.16,    304.538,    26.64,    388.978,   -82.79,          0,     0.00, 0.0000254479,   142.17
Transformer.XFM1, 0.0000380894,   -94.67, 0.0000400493,   145.92, 0.0000394496,    23.17,          0,     0.00, 5.35278E-9,   177.84, 1.81899E-12,   180.00, 4.06738E-12,   -26.57, 3.63798E-12,   180.00,          0,     0.00, 2.57244E-12,  -135.00
Line.L1,    268.158,   -34.77,    221.628,  -152.90,    254.945,    95.17,          0,     0.00, 0.000182422,   -24.01,    268.189,   145.21,    221.659,    27.09,    254.965,   -84.84,          0,     0.00, 0.000142927,   161.02
Line.L2,    21.1507,   -56.75,    20.7721,  -125.01,     34.702,    89.47,          0,     0.00, 0.0000166224,   -38.33,    21.1604,   123.23,    20.7723,    54.95,    34.7072,   -90.55,          0,     0.00, 9.58114E-6,   141.17
Line.L3,    59.5905,   -40.88,    72.2405,  -137.41,     88.263,    84.72,          0,     0.00, 0.0000590575,   -56.13,    59.5986,   139.11,    72.2438,    42.58,    88.2697,   -95.29,          0,     0.00, 0.0000519561,   121.30
Line.L4,    189.854,   -30.49,    136.807,  -165.17,    135.036,   103.43,          0,     0.00, 0.0000901291,     8.20,    189.891,   149.49,    136.865,    14.81,    135.052,   -76.61,          0,     0.00, 0.0000615926,  -144.41
Line.L5,    43.0452,   -24.79,    35.8849,  -166.71,    26.6258,    98.97,          0,     0.00, 0.0000143273,   -20.25,    43.0477,   155.20,    35.8901,    13.28,    26.6277,   -81.04,          0,     0.00, 0.0000108987,   160.29
Line.L6,    147.122,   -32.18,    100.997,  -164.65,    108.524,   104.47,          0,     0.00, 0.0000548439,    48.07,    147.133,   147.81,    101.013,    15.33,    108.528,   -75.54,          0,     0.00, 0.000051733,  -122.72
Line.L7,    23.0963,     1.31,    26.0104,  -169.66,    4.83782,    58.92,          0,     0.00,  7.1505E-6,   -44.71,    23.0961,  -178.70,    26.0122,    10.34,    4.83986,  -121.10,          0,     0.00, 6.15538E-6,   135.36
Line.L8,    25.0265,   -60.79,    52.1227,  -122.00,    67.8183,    76.87,          0,     0.00, 0.0000365472,   -65.53,    25.0517,   119.17,    52.1215,    57.96,    67.8369,  -103.15,          0,     0.00, 0.0000258872,   108.56
Line.L9,    1.83491,     0.15,    20.7724,  -125.07,     19.771,    59.28,          0,     0.00, 5.43792E-6,   -39.12,    1.83415,   179.85,    20.7725,    54.90,    19.7792,  -120.74,          0,     0.00, 6.74882E-12,  -147.38
Line.L10,    20.2175,   -61.13, 0.00765026,   -34.13,    20.2243,   118.88,          0,     0.00, 4.14336E-6,   -38.45,    20.2236,   118.86, 7.55825E-12,   -74.29,    20.2236,   -61.14,          0,     0.00, 2.13538E-11,   -63.43
