"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "12.5 kV Losses", "0.415 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "12.5 kV Line Loss", "0.415 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "12.5 kV Load Loss", "0.415 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "12.5 kV No Load Loss", "0.415 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "12.5 kV Load Energy", "0.415 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
1, 3406.53, 1504.11, 3406.53, 3723.82, 3323.59, 1368.48, 3323.59, 3594.3, 0, 0, 0, 0, 82.9371, 135.633, 82.9371, 135.633, 40.3731, 50.5054, 42.564, 85.1279, 40.3731, 42.564, 25.6756, 57.2615, 16.7791, 1.07199, 17.8511, 7.8245, 0, 0, 0, 0, 78.5077, 4.4294, 0, 0, 0, 0, 0, 21.2462, 4.4294, 0, 0, 0, 0, 0, 14.6975, 0, 0, 0, 0, 0, 0, 42.564, 0, 0, 0, 0, 0, 0, 0, 3323.59, 0, 0, 0, 0, 0
2, 3025.61, 1346.66, 3406.53, 3723.82, 2950.64, 1225.33, 3323.59, 3594.3, 0, 0, 0, 0, 74.7203, 122.122, 82.9371, 135.633, 31.8756, 36.4323, 42.8447, 85.6893, 40.3731, 42.8447, 20.2812, 54.4391, 13.2536, 0.852615, 14.1062, 6.17496, 0, 0, 0, 0, 71.2166, 3.50374, 0, 0, 0, 0, 0, 16.7775, 3.50374, 0, 0, 0, 0, 0, 11.5944, 0, 0, 0, 0, 0, 0, 42.8447, 0, 0, 0, 0, 0, 0, 0, 2950.64, 0, 0, 0, 0, 0
3, 2618.67, 1177.19, 3406.53, 3723.82, 2551.36, 1068.55, 3323.59, 3594.3, 0, 0, 0, 0, 67.0418, 109.52, 82.9371, 135.633, 23.8966, 23.2301, 43.1452, 86.2903, 40.3731, 43.1452, 15.2123, 51.8295, 9.94348, 0.641134, 10.5846, 4.62769, 0, 0, 0, 0, 64.4174, 2.6244, 0, 0, 0, 0, 0, 12.5879, 2.6244, 0, 0, 0, 0, 0, 8.68434, 0, 0, 0, 0, 0, 0, 43.1452, 0, 0, 0, 0, 0, 0, 0, 2551.36, 0, 0, 0, 0, 0
4, 2407.63, 1088.88, 3406.53, 3723.82, 2343.94, 985.57, 3323.59, 3594.3, 0, 0, 0, 0, 63.5556, 103.776, 82.9371, 135.633, 20.2546, 17.1739, 43.301, 86.602, 40.3731, 43.301, 12.8941, 50.6615, 8.42246, 0.544642, 8.9671, 3.92699, 0, 0, 0, 0, 61.3247, 2.23084, 0, 0, 0, 0, 0, 10.6632, 2.23084, 0, 0, 0, 0, 0, 7.36047, 0, 0, 0, 0, 0, 0, 43.301, 0, 0, 0, 0, 0, 0, 0, 2343.94, 0, 0, 0, 0, 0
5, 2271.27, 1031.62, 3406.53, 3723.82, 2209.73, 931.591, 3323.59, 3594.3, 0, 0, 0, 0, 61.461, 100.332, 82.9371, 135.633, 18.059, 13.5282, 43.4019, 86.8039, 40.3731, 43.4019, 11.4935, 49.9674, 7.50476, 0.48619, 7.99095, 3.50259, 0, 0, 0, 0, 59.4684, 1.99255, 0, 0, 0, 0, 0, 9.50098, 1.99255, 0, 0, 0, 0, 0, 6.56551, 0, 0, 0, 0, 0, 0, 43.4019, 0, 0, 0, 0, 0, 0, 0, 2209.73, 0, 0, 0, 0, 0
6, 2171.32, 989.531, 3406.53, 3723.82, 2111.23, 891.795, 3323.59, 3594.3, 0, 0, 0, 0, 60.0306, 97.9631, 82.9371, 135.633, 16.5548, 11.0115, 43.4758, 86.9516, 40.3731, 43.4758, 10.5324, 49.4982, 6.87022, 0.445556, 7.31577, 3.21659, 0, 0, 0, 0, 58.198, 1.83258, 0, 0, 0, 0, 0, 8.69979, 1.83258, 0, 0, 0, 0, 0, 6.02239, 0, 0, 0, 0, 0, 0, 43.4758, 0, 0, 0, 0, 0, 0, 0, 2111.23, 0, 0, 0, 0, 0
7, 2113.62, 965.218, 3406.53, 3723.82, 2054.3, 868.663, 3323.59, 3594.3, 0, 0, 0, 0, 59.2777, 96.6871, 82.9371, 135.633, 15.7596, 9.65074, 43.5182, 87.0363, 40.3731, 43.5182, 10.0171, 49.2607, 6.52214, 0.42182, 6.94396, 3.07311, 0, 0, 0, 0, 57.5272, 1.75048, 0, 0, 0, 0, 0, 8.26659, 1.75048, 0, 0, 0, 0, 0, 5.7425, 0, 0, 0, 0, 0, 0, 43.5182, 0, 0, 0, 0, 0, 0, 0, 2054.3, 0, 0, 0, 0, 0
8, 2221.93, 1010.96, 3406.53, 3723.82, 2161.02, 911.338, 3323.59, 3594.3, 0, 0, 0, 0, 60.9746, 99.3672, 82.9371, 135.633, 17.5374, 12.4928, 43.4372, 86.8744, 40.3731, 43.5182, 11.1257, 49.8489, 7.21826, 0.466572, 7.68483, 3.44088, 0, 0, 0, 0, 59.0075, 1.96712, 0, 0, 0, 0, 0, 9.1586, 1.96712, 0, 0, 0, 0, 0, 6.41167, 0, 0, 0, 0, 0, 0, 43.4372, 0, 0, 0, 0, 0, 0, 0, 2161.02, 0, 0, 0, 0, 0
9, 2661.26, 1195.17, 3406.53, 3723.82, 2593.23, 1082.98, 3323.59, 3594.3, 0, 0, 0, 0, 68.3043, 111.229, 82.9371, 135.633, 25.1929, 25.0059, 43.1114, 86.2227, 40.3731, 43.5182, 15.9827, 52.3216, 10.3489, 0.669043, 11.018, 4.9647, 0, 0, 0, 0, 65.4596, 2.84473, 0, 0, 0, 0, 0, 13.1379, 2.84473, 0, 0, 0, 0, 0, 9.21026, 0, 0, 0, 0, 0, 0, 43.1114, 0, 0, 0, 0, 0, 0, 0, 2593.23, 0, 0, 0, 0, 0
10, 3188.38, 1413.95, 3406.53, 3723.82, 3110.07, 1284.7, 3323.59, 3594.3, 0, 0, 0, 0, 78.6585, 128.17, 82.9371, 135.633, 35.9362, 42.7252, 42.7223, 85.4445, 40.3731, 43.5182, 22.8509, 55.8076, 14.8264, 0.954642, 15.781, 7.06986, 0, 0, 0, 0, 74.6269, 4.03157, 0, 0, 0, 0, 0, 18.8193, 4.03157, 0, 0, 0, 0, 0, 13.0853, 0, 0, 0, 0, 0, 0, 42.7223, 0, 0, 0, 0, 0, 0, 0, 3110.07, 0, 0, 0, 0, 0
