Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.MDV201_CONNECTOR,     378.14,    94.54,    63.02,    7237.94,    3029.01, 0, 1379, 3, 7.2 
Line.MDV201_HN_1_275_A94744,   0.915878,     0.56,     0.47,    6.03297,    2.45617, 0, 1, 1, 7.2 
Line.MDV201_HN_2_466_C62235,    19.2365,     8.82,     7.34,     128.25,    50.7765, 0, 23, 1, 7.2 
Line.MDV201_DA_8_780_A1144234,    2.46906,     1.51,     1.26,    16.3227,     6.7232, 0, 2, 1, 7.2 
Line.MDV201_1160486ELB-1_SW,    7.17854,     1.79,     1.20,    47.2833,    16.9226, 0, 7, 1, 7.2 
Line.MDV201_1160486ELB,    7.17854,     0.36,     0.36,    47.2832,    16.9225, 0, 7, 1, 7.2 
Line.MDV201_HN_2P009_B1160473,    26.8728,    17.92,    17.92,     177.13,    63.3695, 0, 25, 1, 7.2 
Line.MDV201_HN_2_088_ABC8164,    124.645,    36.88,    30.70,       1789,    714.916, 0, 312, 3, 7.2 
Line.MDV201_HN_2_319_B39610,    1.53453,     0.94,     0.78,    10.1715,    3.86309, 0, 2, 1, 7.2 
Line.MDV201_HN_2_417_A842,    12.2599,     7.52,     6.26,    81.7813,    34.7954, 0, 18, 1, 7.2 
Line.MDV201_HN_2_941_B39760,    5.51738,     3.38,     2.81,    36.3335,    13.1395, 0, 7, 1, 7.2 
Line.MDV201_1160480ELB-1_SW,     20.248,     5.06,     3.37,    133.421,    47.7379, 0, 19, 1, 7.2 
Line.MDV201_1160480ELB,     20.248,     1.01,     1.01,    133.421,    47.7374, 0, 19, 1, 7.2 
Line.C_1P034_SW,    10.8954,     2.72,     1.82,    71.9944,    29.1779, 0, 12, 1, 7.2 
Line.MDV201_8088ELB,    10.8954,     0.54,     0.54,    71.9943,    29.1778, 0, 12, 1, 7.2 
Line.MDV201_HN_2_499_ABC834,    138.613,    61.88,    82.02,    2312.28,    913.123, 0, 450, 3, 7.2 
Line.MDV201_1160478ELB-1_SW,    14.9417,     3.74,     2.49,    98.4242,    35.2606, 0, 15, 1, 7.2 
Line.MDV201_1160478ELB,    14.9417,     0.75,     0.75,     98.424,    35.2604, 0, 15, 1, 7.2 
Line.MDV201_HN_2_217_ABC8160,    137.126,    40.57,    33.77,    1903.06,    761.641, 0, 336, 3, 7.2 
Line.MDV201_HN_2_942_C89791,    15.7663,     9.67,     8.04,    105.048,    41.0387, 0, 17, 1, 7.2 
Line.MDV201_99422FUSE,    19.9118,     1.00,     0.83,     131.79,    53.9824, 0, 24, 1, 7.2 
Line.MDV201_HN_2_140_ABC8124,    21.8933,     9.77,    12.95,    225.757,     94.313, 0, 60, 3, 7.2 
Line.MDV201_HN_2_818_ABC63707,    93.3552,    27.62,    22.99,    858.835,    328.997, 0, 167, 3, 7.2 
Line.MDV201_DA_8_731_C74450,    2.30233,     1.41,     1.17,    15.2576,    5.88546, 0, 3, 1, 7.2 
Line.MDV201_100494FUSE,    1.23823,     0.06,     0.05,    8.16093,    3.12395, 0, 4, 1, 7.2 
Line.MDV201_107110FUSE,    36.8853,     1.84,     1.54,    370.508,     152.95, 0, 67, 2, 7.2 
Line.MDV201_HN_2_477_C8121,    8.90792,     5.46,     4.54,    59.8244,    24.3157, 0, 14, 1, 7.2 
Line.MDV201_HN_2_876_C63671,    15.2162,     6.98,     5.81,    102.129,    40.6449, 0, 17, 1, 7.2 
Line.MDV201_HN_2_671_C89781,    39.4005,    18.07,    15.04,     262.71,    102.612, 0, 41, 1, 7.2 
Line.MDV201_DA_8_930_A39751,    7.52457,     3.45,     2.87,    49.6693,    20.1989, 0, 7, 1, 7.2 
Line.MDV201_HN_2_394_ABC63658,    303.921,    49.10,    40.90,    4948.54,    1987.09, 0, 971, 3, 7.2 
Line.MDV201_DA_8_687_B74448,    25.2588,    15.50,    12.89,    168.861,    64.8431, 0, 34, 1, 7.2 
Line.MDV201_1012643FUSE,   0.624082,     0.03,     0.03,    4.19483,    1.61381, 0, 1, 1, 7.2 
Line.MDV201_HN_1_238_A39569,     2.2296,     1.37,     1.14,    14.6935,    5.96601, 0, 3, 1, 7.2 
Line.MDV201_14869FUSE,    15.7771,     0.79,     0.66,    104.975,    43.8332, 0, 21, 1, 7.2 
Line.MDV201_HN_1_156_C89790,    1.83033,     0.84,     0.70,     12.225,    4.94286, 0, 3, 1, 7.2 
Line.MDV201_HN_2_318_C28272,    1.48051,     0.91,     0.76,    9.95928,    4.06859, 0, 2, 1, 7.2 
Line.MDV201_C_1_140_ABC69477,  0.0908999,     0.01,     0.01,   0.607997,   0.135412, 0, 1, 3, 7.2 
Line.MDV201_HN_2_948_C8176,    3.05418,     1.40,     1.17,    20.3573,    7.90609, 0, 3, 1, 7.2 
