hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
1, 0.00000, 1217.3, -155.4, 1312.75, -156.999, 1194.02, -156.065, 0, 0
2, 0.00000, 1083.02, -155.22, 1169.61, -156.83, 1059.37, -155.902, 0, 0
3, 0.00000, 939.721, -154.999, 1015.14, -156.619, 916.435, -155.696, 0, 0
4, 0.00000, 865.541, -154.867, 935.398, -156.49, 841.656, -155.568, 0, 0
5, 0.00000, 817.378, -154.773, 883.667, -156.398, 793.705, -155.475, 0, 0
6, 0.00000, 782.457, -154.701, 845.878, -156.327, 757.999, -155.402, 0, 0
7, 0.00000, 763.179, -154.659, 823.902, -156.283, 736.661, -155.355, 0, 0
8, 0.00000, 803.024, -154.743, 865.935, -156.363, 772.315, -155.431, 0, 0
9, 0.00000, 959.931, -155.031, 1034.69, -156.642, 922.891, -155.704, 0, 0
10, 0.00000, 1146.54, -155.312, 1235.3, -156.909, 1106.24, -155.963, 0, 0
11, 0.00000, 1307.71, -155.518, 1408.19, -157.101, 1266.88, -156.147, 0, 0
12, 0.00000, 1510.77, -155.745, 1626.86, -157.308, 1469.12, -156.339, 0, 0
13, 0.00000, 1765.76, -155.999, 1901.8, -157.534, 1723.93, -156.544, 0, 0
14, 0.00000, 1844.18, -156.074, 1987.07, -157.601, 1803.86, -156.603, 0, 0
15, 0.00000, 1905.22, -156.129, 2053.71, -157.65, 1867.7, -156.648, 0, 0
16, 0.00000, 2049.65, -156.254, 2209.83, -157.759, 2015.32, -156.745, 0, 0
17, 0.00000, 1979.35, -156.192, 2134.79, -157.707, 1946.73, -156.699, 0, 0
18, 0.00000, 1744.61, -155.979, 1882.5, -157.522, 1714.38, -156.537, 0, 0
19, 0.00000, 1586.63, -155.82, 1712.23, -157.381, 1558.29, -156.411, 0, 0
20, 0.00000, 1494.76, -155.724, 1613.12, -157.296, 1468.38, -156.336, 0, 0
21, 0.00000, 1419.45, -155.642, 1531.8, -157.222, 1395.06, -156.27, 0, 0
22, 0.00000, 1365.39, -155.581, 1473.82, -157.166, 1342.18, -156.22, 0, 0
23, 0.00000, 1285.45, -155.485, 1386.43, -157.078, 1262.86, -156.14, 0, 0
24, 0.00000, 1132.19, -155.287, 1221.17, -156.894, 1110.73, -155.967, 0, 0
25, 0.00000, 971.405, -155.05, 1048.42, -156.669, 951.523, -155.751, 0, 0
26, 0.00000, 840.229, -154.819, 907.302, -156.445, 821.018, -155.531, 0, 0
27, 0.00000, 754.812, -154.641, 815.548, -156.269, 736.557, -155.357, 0, 0
28, 0.00000, 706.525, -154.526, 763.773, -156.155, 688.39, -155.241, 0, 0
29, 0.00000, 696.589, -154.502, 754.791, -156.132, 676.795, -155.209, 0, 0
30, 0.00000, 696.754, -154.501, 754.703, -156.131, 676.979, -155.209, 0, 0
31, 0.00000, 779.922, -154.689, 844.239, -156.316, 759.852, -155.4, 0, 0
32, 0.00000, 860.259, -154.851, 929.103, -156.472, 837.02, -155.555, 0, 0
33, 0.00000, 838.049, -154.813, 903.761, -156.434, 811.145, -155.51, 0, 0
34, 0.00000, 914.071, -154.95, 984.811, -156.566, 883.908, -155.64, 0, 0
35, 0.00000, 979.661, -155.061, 1054.48, -156.672, 947.403, -155.744, 0, 0
36, 0.00000, 1119.19, -155.27, 1203.8, -156.87, 1084.52, -155.936, 0, 0
37, 0.00000, 1344.29, -155.558, 1446.22, -157.14, 1308.82, -156.191, 0, 0
38, 0.00000, 1531.99, -155.767, 1648.59, -157.33, 1496.46, -156.365, 0, 0
39, 0.00000, 1664.88, -155.901, 1792.05, -157.451, 1630.1, -156.475, 0, 0
40, 0.00000, 1768.71, -156, 1903.32, -157.54, 1734.42, -156.554, 0, 0
41, 0.00000, 1866.46, -156.091, 2009.85, -157.62, 1834.06, -156.626, 0, 0
42, 0.00000, 1884.35, -156.107, 2030.63, -157.634, 1854.55, -156.639, 0, 0
43, 0.00000, 1952.54, -156.169, 2104.73, -157.689, 1923.9, -156.687, 0, 0
44, 0.00000, 1912.21, -156.131, 2061.86, -157.657, 1885.85, -156.66, 0, 0
45, 0.00000, 1779.27, -156.007, 1918.49, -157.549, 1753.28, -156.564, 0, 0
46, 0.00000, 1702.37, -155.935, 1835.67, -157.485, 1676.5, -156.507, 0, 0
47, 0.00000, 1552.1, -155.782, 1673.01, -157.349, 1527.79, -156.387, 0, 0
48, 0.00000, 1370.53, -155.584, 1477.66, -157.17, 1347.9, -156.224, 0, 0
49, 0.00000, 1132.45, -155.288, 1221.82, -156.896, 1111.65, -155.968, 0, 0
50, 0.00000, 988.7, -155.077, 1066.95, -156.694, 968.676, -155.777, 0, 0
51, 0.00000, 862.591, -154.861, 930.979, -156.485, 842.589, -155.571, 0, 0
52, 0.00000, 766.962, -154.668, 828.347, -156.296, 747.321, -155.381, 0, 0
53, 0.00000, 711.005, -154.538, 768.372, -156.166, 691.914, -155.25, 0, 0
54, 0.00000, 718.102, -154.551, 776.196, -156.179, 699.212, -155.265, 0, 0
55, 0.00000, 776.584, -154.682, 839.477, -156.308, 755.845, -155.393, 0, 0
56, 0.00000, 867.583, -154.864, 935.813, -156.484, 843.851, -155.568, 0, 0
57, 0.00000, 830.515, -154.797, 894.755, -156.418, 804.452, -155.498, 0, 0
58, 0.00000, 848.546, -154.831, 913.38, -156.449, 819.938, -155.527, 0, 0
59, 0.00000, 944.569, -155.001, 1016.24, -156.614, 914.423, -155.691, 0, 0
60, 0.00000, 992.254, -155.08, 1066.76, -156.69, 961.046, -155.765, 0, 0
61, 0.00000, 1054.34, -155.176, 1133.53, -156.782, 1021.47, -155.852, 0, 0
62, 0.00000, 1144.55, -155.304, 1230.87, -156.904, 1111.86, -155.97, 0, 0
63, 0.00000, 1233.1, -155.421, 1326.49, -157.013, 1200.37, -156.074, 0, 0
64, 0.00000, 1340.92, -155.553, 1443.81, -157.137, 1309.28, -156.189, 0, 0
65, 0.00000, 1451.77, -155.679, 1564.16, -157.253, 1421.87, -156.297, 0, 0
66, 0.00000, 1561.04, -155.796, 1682.5, -157.36, 1534.36, -156.396, 0, 0
67, 0.00000, 1643.97, -155.88, 1772.33, -157.436, 1617.85, -156.464, 0, 0
68, 0.00000, 1625.56, -155.859, 1751.99, -157.418, 1601.13, -156.449, 0, 0
69, 0.00000, 1501.43, -155.729, 1618.82, -157.302, 1479.37, -156.346, 0, 0
70, 0.00000, 1437.25, -155.66, 1549.79, -157.24, 1415.21, -156.289, 0, 0
71, 0.00000, 1367.11, -155.581, 1474.24, -157.167, 1345.5, -156.223, 0, 0
72, 0.00000, 1195.76, -155.372, 1289.92, -156.974, 1175.17, -156.043, 0, 0
73, 0.00000, 1030.21, -155.141, 1111.16, -156.755, 1009.3, -155.835, 0, 0
74, 0.00000, 864.81, -154.868, 935.205, -156.494, 844.418, -155.575, 0, 0
75, 0.00000, 759.452, -154.654, 821.744, -156.283, 739.806, -155.365, 0, 0
76, 0.00000, 701.263, -154.516, 759.139, -156.146, 681.087, -155.223, 0, 0
77, 0.00000, 649.283, -154.381, 703.576, -156.011, 630.145, -155.085, 0, 0
78, 0.00000, 630.346, -154.325, 683.195, -155.954, 611.075, -155.026, 0, 0
79, 0.00000, 634.252, -154.334, 687.579, -155.964, 614.956, -155.036, 0, 0
80, 0.00000, 655.191, -154.391, 708.107, -156.016, 632.195, -155.087, 0, 0
81, 0.00000, 770.555, -154.668, 831.091, -156.288, 743.993, -155.366, 0, 0
82, 0.00000, 980.652, -155.063, 1056.52, -156.676, 951.053, -155.749, 0, 0
83, 0.00000, 1202.68, -155.382, 1294.59, -156.977, 1170.31, -156.04, 0, 0
84, 0.00000, 1446.8, -155.673, 1557.57, -157.245, 1412.17, -156.287, 0, 0
85, 0.00000, 1609.54, -155.847, 1733.02, -157.403, 1574.64, -156.43, 0, 0
86, 0.00000, 1737.5, -155.972, 1870.17, -157.514, 1701.3, -156.53, 0, 0
87, 0.00000, 1863.66, -156.09, 2006.27, -157.617, 1827.11, -156.621, 0, 0
88, 0.00000, 1951.55, -156.168, 2101.63, -157.685, 1915.7, -156.681, 0, 0
89, 0.00000, 1970.9, -156.184, 2123.38, -157.7, 1936.77, -156.694, 0, 0
90, 0.00000, 2019.05, -156.227, 2176.73, -157.739, 1988.72, -156.729, 0, 0
91, 0.00000, 1968.72, -156.181, 2122.38, -157.699, 1938.96, -156.695, 0, 0
92, 0.00000, 1910.1, -156.128, 2059.02, -157.655, 1882.77, -156.657, 0, 0
93, 0.00000, 1766.11, -155.997, 1904.46, -157.54, 1740.42, -156.557, 0, 0
94, 0.00000, 1636.1, -155.869, 1764.98, -157.427, 1613.1, -156.457, 0, 0
