# file...... superModelTiny.regOutput.csv
# date...... Mon Aug 17 14:42:33 2015
# user...... dpinney
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2009-01-01 12:00:00 PST,0,0,0,+465920,-122648,+403998,-123058,+496638,-125777,+1.36656e+06,-371483
2009-01-01 12:01:00 PST,2,2,2,+465745,-126906,+403137,-127289,+496537,-129897,+1.36542e+06,-384092
2009-01-01 12:02:00 PST,4,4,4,+465574,-131304,+402306,-131655,+496439,-134160,+1.36432e+06,-397119
2009-01-01 12:03:00 PST,6,6,6,+465405,-135850,+401503,-136163,+496342,-138574,+1.36325e+06,-410587
2009-01-01 12:04:00 PST,8,8,8,+465239,-140553,+400728,-140822,+496246,-143147,+1.36221e+06,-424522
2009-01-01 12:05:00 PST,10,10,10,+465077,-145421,+399980,-145641,+496152,-147887,+1.36121e+06,-438949
2009-01-01 12:06:00 PST,12,12,12,+464917,-150464,+399258,-150631,+496059,-152804,+1.36023e+06,-453899
2009-01-01 12:07:00 PST,14,14,14,+464760,-155691,+398560,-155801,+495968,-157908,+1.35929e+06,-469400
2009-01-01 12:08:00 PST,16,16,16,+464606,-161114,+397887,-161163,+495878,-163210,+1.35837e+06,-485486
2009-01-01 12:09:00 PST,16,16,16,+464500,+22639.7,+397864,+22667.9,+495795,+20522.5,+1.35816e+06,+65830.2
2009-01-01 12:10:00 PST,16,16,16,+464503,+22640.6,+397870,+22668.9,+495798,+20523.3,+1.35817e+06,+65832.8
2009-01-01 12:11:00 PST,16,16,16,+464506,+22641.5,+397877,+22669.8,+495800,+20524.2,+1.35818e+06,+65835.5
2009-01-01 12:12:00 PST,16,16,16,+464509,+22642.4,+397884,+22670.8,+495803,+20525.1,+1.3582e+06,+65838.3
2009-01-01 12:13:00 PST,16,16,16,+464512,+22643.4,+397891,+22671.8,+495806,+20526.1,+1.35821e+06,+65841.3
2009-01-01 12:14:00 PST,16,16,16,+464515,+22644.4,+397898,+22672.9,+495809,+20527.1,+1.35822e+06,+65844.4
2009-01-01 12:15:00 PST,16,16,16,+464517,+22646.8,+397277,+22665.6,+495814,+20528.5,+1.35761e+06,+65841
2009-01-01 12:16:00 PST,16,16,16,+464520,+22647.9,+397284,+22666.8,+495817,+20529.6,+1.35762e+06,+65844.3
2009-01-01 12:17:00 PST,16,16,16,+464524,+22649,+397292,+22667.9,+495821,+20530.7,+1.35764e+06,+65847.7
2009-01-01 12:18:00 PST,16,16,16,+464527,+22650.2,+397301,+22669.1,+495825,+20531.9,+1.35765e+06,+65851.2
2009-01-01 12:19:00 PST,16,16,16,+464531,+22651.4,+397291,+22670.1,+495828,+20533.1,+1.35765e+06,+65854.6
2009-01-01 12:20:00 PST,16,16,16,+464535,+22652.6,+397300,+22671.4,+495832,+20534.3,+1.35767e+06,+65858.3
2009-01-01 12:21:00 PST,16,16,16,+464539,+22653.9,+397309,+22672.7,+495836,+20535.5,+1.35768e+06,+65862.2
2009-01-01 12:22:00 PST,16,16,16,+464543,+22655.2,+397318,+22674.1,+495840,+20536.8,+1.3577e+06,+65866.1
2009-01-01 12:23:00 PST,16,16,16,+464547,+22656.5,+397327,+22675.4,+495844,+20538.1,+1.35772e+06,+65870.1
2009-01-01 12:24:00 PST,16,16,16,+464551,+22657.8,+397337,+22676.9,+495848,+20539.5,+1.35774e+06,+65874.2
2009-01-01 12:25:00 PST,16,16,16,+464555,+22659.2,+397346,+22678.3,+495852,+20540.8,+1.35775e+06,+65878.3
2009-01-01 12:26:00 PST,16,16,16,+464560,+22660.6,+397356,+22679.8,+495857,+20542.2,+1.35777e+06,+65882.6
2009-01-01 12:27:00 PST,16,16,16,+464564,+22662.1,+397366,+22681.2,+495861,+20543.6,+1.35779e+06,+65886.9
2009-01-01 12:28:00 PST,16,16,16,+464569,+22663.5,+397376,+22682.8,+495866,+20545.1,+1.35781e+06,+65891.4
2009-01-01 12:29:00 PST,16,16,16,+464573,+22665,+397386,+22684.3,+495870,+20546.6,+1.35783e+06,+65895.9
2009-01-01 12:30:00 PST,16,16,16,+464578,+22666.5,+397397,+22685.9,+495875,+20548,+1.35785e+06,+65900.4
2009-01-01 12:31:00 PST,16,16,16,+464583,+22668,+397407,+22687.5,+495880,+20549.6,+1.35787e+06,+65905.1
2009-01-01 12:32:00 PST,16,16,16,+464588,+22669.6,+397418,+22689.1,+495884,+20551.1,+1.35789e+06,+65909.8
2009-01-01 12:33:00 PST,16,16,16,+464592,+22671.1,+397429,+22690.7,+495889,+20552.7,+1.35791e+06,+65914.5
