# file...... Inverter_solEngInverter.csv
# date...... Fri Feb 20 16:42:03 2015
# user...... dpinney
# host...... (null)
# target.... inverter 2024
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A,power_B,power_C
2014-01-01 00:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 01:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 02:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 03:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 04:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 05:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 06:00:00 PST,+6.92843+0j,+0+0i,+0+0i
2014-01-01 07:00:00 PST,+1516.97+0j,+0+0i,+0+0i
2014-01-01 08:00:00 PST,+20208.8+0j,+0+0i,+0+0i
2014-01-01 09:00:00 PST,+54186.4+0j,+0+0i,+0+0i
2014-01-01 10:00:00 PST,+75792+0j,+0+0i,+0+0i
2014-01-01 11:00:00 PST,+96924.4+0j,+0+0i,+0+0i
2014-01-01 12:00:00 PST,+101866+0j,+0+0i,+0+0i
2014-01-01 13:00:00 PST,+106013+0j,+0+0i,+0+0i
2014-01-01 14:00:00 PST,+96856.4+0j,+0+0i,+0+0i
2014-01-01 15:00:00 PST,+82267.3+0j,+0+0i,+0+0i
2014-01-01 16:00:00 PST,+62501.5+0j,+0+0i,+0+0i
2014-01-01 17:00:00 PST,+40910.6+0j,+0+0i,+0+0i
2014-01-01 18:00:00 PST,+12751.1+0j,+0+0i,+0+0i
2014-01-01 19:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 20:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 21:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 22:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-01 23:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-02 00:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-02 01:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-02 02:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-02 03:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-02 04:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-02 05:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-02 06:00:00 PST,+10.5175+0j,+0+0i,+0+0i
