TIMESTAMP,25_c1_a_rms_c,25_c1_b_rms_c,25_c1_c_rms_c,25_c1_a_rms_v,25_c1_b_rms_v,25_c1_c_rms_v,25_c1_a_pf,25_c1_b_pf,25_c1_c_pf
1/1/2013 0:00,37.5375,22.95,28.3875,125.925,125.925,125.6625,-0.9955,-0.9726,-0.9755
1/1/2013 0:15,34.125,23.3625,30.8625,125.8875,125.5875,124.9125,-0.9894,-0.9624,-0.9765
1/1/2013 0:30,33.75,23.55,25.425,125.8875,125.5875,124.9125,-0.99,-0.9712,-0.9653
1/1/2013 0:45,32.175,24.2625,31.4625,125.8875,126,124.9125,-0.9893,-0.9719,-0.9783
1/1/2013 1:00,34.6875,23.2125,28.8375,125.175,126,124.9125,-0.9921,-0.9571,-0.9803
1/1/2013 1:15,31.9875,21.6,31.65,125.175,125.5125,125.0625,-0.9907,-0.9599,-0.9846
1/1/2013 1:30,34.575,21.525,29.625,125.175,125.25,125.0625,-0.9954,-0.9475,-0.9843
1/1/2013 1:45,33.075,22.6125,25.35,125.175,125.25,125.0625,-0.9974,-0.9527,-0.971
1/1/2013 2:00,36.975,22.6125,27.1875,125.175,125.25,125.0625,-0.9954,-0.9519,-0.973
1/1/2013 2:15,33.15,22.9125,24.075,125.2875,125.5125,125.0625,-0.9956,-0.9689,-0.9609
1/1/2013 2:30,30.1875,22.1625,24.7125,125.2875,125.5125,125.0625,-0.9931,-0.952,-0.962
1/1/2013 2:45,32.85,21.4875,26.775,125.2875,125.5125,125.0625,-0.9939,-0.9658,-0.9766
1/1/2013 3:00,33,24,30.9,125.2875,125.5125,125.0625,-0.9939,-0.9633,-0.9821
1/1/2013 3:15,32.625,23.4,28.3125,125.175,125.55,124.9875,-0.9943,-0.9721,-0.9834
1/1/2013 3:30,31.3875,21.9,30.2625,125.175,125.55,124.9875,-0.9939,-0.9538,-0.9868
1/1/2013 3:45,31.4625,25.5,27.225,125.175,125.55,124.9875,-0.9939,-0.9677,-0.9764
1/1/2013 4:00,31.65,23.5875,26.0625,125.175,125.55,124.9875,-0.9939,-0.9628,-0.9799
1/1/2013 4:15,30.225,23.2125,23.925,124.9125,124.9875,124.6875,-0.9917,-0.9726,-0.9666
1/1/2013 4:30,30.975,23.2875,28.8375,124.9125,124.9875,124.6875,-0.9914,-0.9613,-0.9821
1/1/2013 4:45,33.975,24.4875,27.5625,124.425,124.9875,124.6875,-0.9934,-0.9669,-0.9851
1/1/2013 5:00,30.3375,23.4,27.675,124.425,124.9875,124.6875,-0.9939,-0.965,-0.9766
1/1/2013 5:15,32.0625,22.0875,34.05,124.5375,124.7625,123.9375,-0.9905,-0.9614,-0.9822
1/1/2013 5:30,30.2625,26.7375,30.7875,124.5375,124.7625,123.9375,-0.9898,-0.9723,-0.9944
1/1/2013 5:45,33.3,23.475,29.4,124.5375,124.4625,123.9375,-0.9924,-0.9662,-0.9942
1/1/2013 6:00,33.75,24,31.0125,124.5375,124.4625,124.6875,-0.9958,-0.9683,-0.9925
1/1/2013 6:15,34.9125,27.3375,28.65,124.65,124.7625,124.8375,-0.9951,-0.9845,-0.9929
1/1/2013 6:30,32.7375,26.5125,31.2375,124.65,124.7625,124.8375,-0.9885,-0.9846,-0.9957
1/1/2013 6:45,34.8,26.9625,33.75,124.65,124.7625,124.8375,-0.9938,-0.9843,-0.9965
1/1/2013 7:00,36.225,28.2,33.15,124.65,124.7625,124.8375,-0.9916,-0.9857,-0.9962
1/1/2013 7:15,38.475,30,31.65,124.9125,124.5,124.575,-0.996,-0.9799,-0.9956
1/1/2013 7:30,38.1375,28.7625,32.3625,125.175,124.5,124.575,-0.9884,-0.9672,-0.9965
1/1/2013 7:45,36.3375,27.7875,36.5625,125.175,124.5,124.575,-0.9881,-0.9664,-0.9917
1/1/2013 8:00,35.8125,27.15,34.875,125.175,125.25,124.575,-0.9881,-0.9648,-0.9903
1/1/2013 8:15,39.75,28.4625,28.3875,125.3625,124.8,124.95,-0.9925,-0.9682,-0.9808
1/1/2013 8:30,41.8875,28.2375,33.5625,125.3625,124.8,124.95,-0.9935,-0.9589,-0.9864
1/1/2013 8:45,42.1875,34.3875,34.425,125.3625,124.2375,124.95,-0.9929,-0.9843,-0.9889
1/1/2013 9:00,44.5875,27.225,36,125.3625,124.9875,124.95,-0.9977,-0.9727,-0.9931
1/1/2013 9:15,37.5,27.5625,32.3625,125.2125,124.8375,124.8375,-0.9886,-0.9669,-0.9907
1/1/2013 9:30,39.075,28.1625,29.0625,125.2125,124.2375,124.8375,-0.9907,-0.9661,-0.9819
1/1/2013 9:45,40.4625,28.9875,31.8,125.2125,124.9875,124.8375,-0.9943,-0.9693,-0.9843
1/1/2013 10:00,40.275,31.2,34.275,125.2125,124.9875,124.8375,-0.9904,-0.9696,-0.9868
1/1/2013 10:15,39.075,28.725,34.725,125.175,124.8,125.0625,-0.9907,-0.9667,-0.9869
1/1/2013 10:30,36.825,32.5125,36.7875,125.175,124.8,125.0625,-0.9894,-0.9722,-0.9843
1/1/2013 10:45,38.1,29.9625,36.15,125.175,124.8,125.0625,-0.99,-0.9755,-0.9845
1/1/2013 11:00,40.3875,27.075,32.2125,125.175,124.2375,125.0625,-0.9856,-0.9605,-0.975
1/1/2013 11:15,37.0125,29.3625,35.1,125.325,124.6875,125.025,-0.9842,-0.9729,-0.9837
1/1/2013 11:30,35.625,28.8375,37.9875,125.325,124.6875,125.025,-0.9815,-0.9658,-0.9868
1/1/2013 11:45,39.15,27.7125,32.925,125.325,124.6875,125.4375,-0.9855,-0.962,-0.9763
1/1/2013 12:00,33.075,29.9625,35.2875,125.925,124.6875,125.4375,-0.987,-0.9602,-0.9831
1/1/2013 12:15,34.4625,30.225,35.2875,125.5125,125.0625,125.175,-0.9847,-0.9706,-0.9706
1/1/2013 12:30,32.3625,29.175,33.7875,125.5125,125.0625,125.4375,-0.9826,-0.9712,-0.9763
1/1/2013 12:45,39.45,30.3,35.0625,125.5125,125.0625,125.4375,-0.9882,-0.9766,-0.9769
1/1/2013 13:00,36.7125,28.725,27.525,125.5125,125.7375,125.4375,-0.9791,-0.974,-0.9509
1/1/2013 13:15,32.4375,26.625,35.1,125.8125,126.075,125.4375,-0.974,-0.9478,-0.9853
1/1/2013 13:30,35.1,26.1,31.725,125.8125,126.075,125.4375,-0.9814,-0.9537,-0.9687
1/1/2013 13:45,38.85,24.9375,30.5625,125.175,126.075,125.4375,-0.9901,-0.9456,-0.9665
1/1/2013 14:00,36.1875,24.225,28.9125,125.175,126.075,125.4375,-0.9909,-0.9415,-0.9631
1/1/2013 14:15,36.825,26.2125,29.85,125.325,125.7,125.2125,-0.9882,-0.9514,-0.9593
1/1/2013 14:30,34.5,27.5625,29.0625,125.325,125.7,125.2125,-0.9881,-0.9566,-0.9553
1/1/2013 14:45,38.5875,27.5625,29.25,125.325,125.7,125.2125,-0.9859,-0.9574,-0.9573
1/1/2013 15:00,34.6125,27.825,33.15,125.325,125.7,125.2125,-0.9881,-0.9692,-0.9756
1/1/2013 15:15,35.25,28.0875,32.325,125.5125,125.8125,125.475,-0.9844,-0.9647,-0.9696
1/1/2013 15:30,33.4125,25.8,32.625,125.5125,125.8125,125.475,-0.9831,-0.9544,-0.9747
1/1/2013 15:45,33.075,24.675,30.825,125.5125,125.8125,125.475,-0.9786,-0.9534,-0.9715
1/1/2013 16:00,34.0125,28.4625,29.3625,125.5125,125.8125,125.475,-0.9798,-0.9536,-0.9759
1/1/2013 16:15,37.95,26.475,31.2,122.9625,123.525,122.7,-0.9879,-0.9462,-0.9731
1/1/2013 16:30,39.825,27.1875,31.3125,122.9625,122.5125,121.7625,-0.9929,-0.9586,-0.9854
1/1/2013 16:45,37.425,33.225,35.1375,122.9625,122.5125,121.7625,-0.9871,-0.9776,-0.9938
1/1/2013 17:00,39.675,28.95,36.45,122.4,121.7625,121.7625,-0.9926,-0.9751,-0.9972
1/1/2013 17:15,44.025,29.325,42.4875,121.875,121.725,121.5375,-0.9981,-0.9849,-0.9983
1/1/2013 17:30,41.625,31.35,45.1125,121.875,121.725,121.5375,-0.9934,-0.9803,-1
1/1/2013 17:45,42.6,34.95,44.775,121.875,121.725,121.5375,-0.9968,-0.9844,-1
1/1/2013 18:00,47.1375,32.85,43.35,122.4,121.725,121.5375,-0.9976,-0.9828,-0.9996
1/1/2013 18:15,46.425,36.225,48.375,122.325,122.1375,121.9875,-0.9972,-0.9902,-0.9997
1/1/2013 18:30,48,35.6625,43.9875,122.325,122.1375,121.9875,-0.9975,-0.9901,-0.9994
1/1/2013 18:45,44.4,34.0125,40.275,122.325,122.5125,122.5875,-0.9972,-0.9832,-0.9957
1/1/2013 19:00,44.8125,33.4125,43.6875,122.325,122.5125,122.5875,-0.9973,-0.9815,-0.9992
1/1/2013 19:15,42.9375,33.075,41.175,124.8375,124.4625,124.4625,-0.9964,-0.9826,-0.995
1/1/2013 19:30,43.65,32.2875,40.125,124.8375,124.4625,124.4625,-0.9973,-0.9823,-0.9946
1/1/2013 19:45,42.9,31.3875,47.3625,124.8375,124.4625,124.4625,-0.997,-0.9739,-0.9961
1/1/2013 20:00,44.7,31.3125,42.0375,124.8375,125.3625,124.4625,-0.9975,-0.9802,-0.9975
1/1/2013 20:15,43.9875,31.9125,36.7875,125.025,124.9125,124.875,-0.9969,-0.9871,-0.9893
1/1/2013 20:30,46.425,33.075,34.9125,125.475,124.9125,125.325,-0.997,-0.9823,-0.9866
1/1/2013 20:45,40.65,32.5875,35.625,125.475,124.9125,125.325,-0.9971,-0.9864,-0.9879
1/1/2013 21:00,37.9875,31.9125,35.7,125.475,124.9125,125.325,-0.9971,-0.9795,-0.9882
1/1/2013 21:15,37.35,29.325,33.45,125.5875,125.4,125.5125,-0.9942,-0.9841,-0.9836
