# file...... weather_regulator_meter_energy.csv,,,
# date...... Wed Jul 30 12:19:33 2014,,,
# user...... gour967,,,
# host...... (null),,,
# target.... meter 40,,,
# trigger... (none),,,
# interval.. 900,,,
# limit..... 0,,,
# timestamp,measured_real_energy,sum(measured_real_energy),energy_losses
2010-01-01 00:00:00 EST,0,0,0
2010-01-01 00:15:00 EST,138017,136183,1834
2010-01-01 00:30:00 EST,246525,243386,3139
2010-01-01 00:45:00 EST,351680,347329,4351
2010-01-01 01:00:00 EST,455127,449584,5543
2010-01-01 01:15:00 EST,557519,550813,6706
2010-01-01 01:30:00 EST,659993,652123,7870
2010-01-01 01:45:00 EST,761213,752221,8992
2010-01-01 02:00:00 EST,862617,852503,10114
2010-01-01 02:15:00 EST,962136,950927,11209
2010-01-01 02:30:00 EST,1.06E+06,1.05E+06,12310
2010-01-01 02:45:00 EST,1.16E+06,1.15E+06,13400
2010-01-01 03:00:00 EST,1.27E+06,1.25E+06,14520
2010-01-01 03:15:00 EST,1.37E+06,1.35E+06,15630
2010-01-01 03:30:00 EST,1.47E+06,1.46E+06,16780
2010-01-01 03:45:00 EST,1.58E+06,1.56E+06,17930
2010-01-01 04:00:00 EST,1.68E+06,1.66E+06,19090
2010-01-01 04:15:00 EST,1.79E+06,1.77E+06,20270
2010-01-01 04:30:00 EST,1.90E+06,1.88E+06,21500
2010-01-01 04:45:00 EST,2.02E+06,2.00E+06,22850
2010-01-01 05:00:00 EST,2.14E+06,2.11E+06,24240
2010-01-01 05:15:00 EST,2.38E+06,2.35E+06,28320
2010-01-01 05:30:00 EST,2.55E+06,2.52E+06,30990
2010-01-01 05:45:00 EST,2.86E+06,2.82E+06,37800
2010-01-01 06:00:00 EST,3.21E+06,3.17E+06,45860
2010-01-01 06:15:00 EST,3.78E+06,3.71E+06,63520
2010-01-01 06:30:00 EST,4.30E+06,4.22E+06,78760
2010-01-01 06:45:00 EST,4.73E+06,4.64E+06,89990
2010-01-01 07:00:00 EST,5.13E+06,5.03E+06,99390
2010-01-01 07:15:00 EST,5.56E+06,5.45E+06,110730
2010-01-01 07:30:00 EST,5.90E+06,5.78E+06,119070
2010-01-01 07:45:00 EST,6.40E+06,6.26E+06,136300
2010-01-01 08:00:00 EST,6.89E+06,6.74E+06,153260
2010-01-01 08:15:00 EST,7.35E+06,7.18E+06,167320
2010-01-01 08:30:00 EST,7.71E+06,7.53E+06,176820
2010-01-01 08:45:00 EST,7.95E+06,7.76E+06,181480
2010-01-01 09:00:00 EST,8.13E+06,7.95E+06,184490
2010-01-01 09:15:00 EST,8.29E+06,8.10E+06,186900
2010-01-01 09:30:00 EST,8.44E+06,8.25E+06,189180
2010-01-01 09:45:00 EST,8.58E+06,8.39E+06,191310
2010-01-01 10:00:00 EST,8.73E+06,8.53E+06,193420
2010-01-01 10:15:00 EST,8.87E+06,8.68E+06,195500
2010-01-01 10:30:00 EST,9.01E+06,8.82E+06,197570
2010-01-01 10:45:00 EST,9.15E+06,8.95E+06,199620
2010-01-01 11:00:00 EST,9.30E+06,9.10E+06,201710
2010-01-01 11:15:00 EST,9.44E+06,9.24E+06,203770
2010-01-01 11:30:00 EST,9.58E+06,9.38E+06,205800
2010-01-01 11:45:00 EST,9.72E+06,9.51E+06,207800
2010-01-01 12:00:00 EST,9.86E+06,9.65E+06,209800
2010-01-01 12:15:00 EST,1.00E+07,9.79E+06,211750
2010-01-01 12:30:00 EST,1.01E+07,9.93E+06,213770
2010-01-01 12:45:00 EST,1.03E+07,1.01E+07,215700
2010-01-01 13:00:00 EST,1.04E+07,1.02E+07,217800
2010-01-01 13:15:00 EST,1.06E+07,1.03E+07,219700
2010-01-01 13:30:00 EST,1.07E+07,1.05E+07,221700
2010-01-01 13:45:00 EST,1.08E+07,1.06E+07,223700
2010-01-01 14:00:00 EST,1.10E+07,1.08E+07,225700
2010-01-01 14:15:00 EST,1.11E+07,1.09E+07,227700
2010-01-01 14:30:00 EST,1.13E+07,1.10E+07,229600
2010-01-01 14:45:00 EST,1.14E+07,1.12E+07,231600
2010-01-01 15:00:00 EST,1.15E+07,1.13E+07,233600
2010-01-01 15:15:00 EST,1.17E+07,1.15E+07,235600
2010-01-01 15:30:00 EST,1.18E+07,1.16E+07,237500
2010-01-01 15:45:00 EST,1.20E+07,1.17E+07,239600
2010-01-01 16:00:00 EST,1.21E+07,1.19E+07,241700
2010-01-01 16:15:00 EST,1.23E+07,1.20E+07,244100
2010-01-01 16:30:00 EST,1.25E+07,1.22E+07,246600
2010-01-01 16:45:00 EST,1.26E+07,1.24E+07,249300
2010-01-01 17:00:00 EST,1.28E+07,1.26E+07,252000
2010-01-01 17:15:00 EST,1.31E+07,1.29E+07,258300
2010-01-01 17:30:00 EST,1.34E+07,1.31E+07,263400
2010-01-01 17:45:00 EST,1.36E+07,1.34E+07,268000
2010-01-01 18:00:00 EST,1.39E+07,1.36E+07,272100
2010-01-01 18:15:00 EST,1.43E+07,1.40E+07,282400
2010-01-01 18:30:00 EST,1.47E+07,1.44E+07,292900
2010-01-01 18:45:00 EST,1.51E+07,1.48E+07,303600
2010-01-01 19:00:00 EST,1.55E+07,1.51E+07,310700
2010-01-01 19:15:00 EST,1.58E+07,1.55E+07,318800
2010-01-01 19:30:00 EST,1.61E+07,1.58E+07,325500
2010-01-01 19:45:00 EST,1.63E+07,1.60E+07,330700
2010-01-01 20:00:00 EST,1.66E+07,1.62E+07,335200
2010-01-01 20:15:00 EST,1.68E+07,1.65E+07,339400
2010-01-01 20:30:00 EST,1.70E+07,1.67E+07,343400
2010-01-01 20:45:00 EST,1.73E+07,1.69E+07,347300
2010-01-01 21:00:00 EST,1.75E+07,1.71E+07,351300
2010-01-01 21:15:00 EST,1.77E+07,1.73E+07,354800
2010-01-01 21:30:00 EST,1.79E+07,1.76E+07,358500
2010-01-01 21:45:00 EST,1.81E+07,1.78E+07,362000
2010-01-01 22:00:00 EST,1.83E+07,1.80E+07,365200
2010-01-01 22:15:00 EST,1.85E+07,1.81E+07,368300
2010-01-01 22:30:00 EST,1.87E+07,1.83E+07,371400
2010-01-01 22:45:00 EST,1.89E+07,1.85E+07,374200
2010-01-01 23:00:00 EST,1.91E+07,1.87E+07,378100
2010-01-01 23:15:00 EST,1.93E+07,1.89E+07,380500
2010-01-01 23:30:00 EST,1.94E+07,1.91E+07,382500
2010-01-01 23:45:00 EST,1.96E+07,1.92E+07,384400
2010-01-02 00:00:00 EST,1.97E+07,1.93E+07,385700
2010-01-02 00:15:00 EST,1.98E+07,1.94E+07,387100
2010-01-02 00:30:00 EST,1.99E+07,1.95E+07,388500
2010-01-02 00:45:00 EST,2.00E+07,1.96E+07,389700
2010-01-02 01:00:00 EST,2.01E+07,1.97E+07,391000
2010-01-02 01:15:00 EST,2.02E+07,1.99E+07,392400
2010-01-02 01:30:00 EST,2.04E+07,2.00E+07,393800
2010-01-02 01:45:00 EST,2.05E+07,2.01E+07,395200
2010-01-02 02:00:00 EST,2.06E+07,2.02E+07,396600
2010-01-02 02:15:00 EST,2.07E+07,2.03E+07,398200
2010-01-02 02:30:00 EST,2.09E+07,2.05E+07,399900
2010-01-02 02:45:00 EST,2.10E+07,2.06E+07,401800
2010-01-02 03:00:00 EST,2.12E+07,2.08E+07,403600
2010-01-02 03:15:00 EST,2.13E+07,2.09E+07,405700
2010-01-02 03:30:00 EST,2.15E+07,2.11E+07,407800
2010-01-02 03:45:00 EST,2.17E+07,2.13E+07,410000
2010-01-02 04:00:00 EST,2.19E+07,2.15E+07,412300
2010-01-02 04:15:00 EST,2.20E+07,2.16E+07,414600
2010-01-02 04:30:00 EST,2.22E+07,2.18E+07,417000
2010-01-02 04:45:00 EST,2.24E+07,2.20E+07,419700
2010-01-02 05:00:00 EST,2.26E+07,2.22E+07,422100
2010-01-02 05:15:00 EST,2.29E+07,2.25E+07,428500
2010-01-02 05:30:00 EST,2.32E+07,2.27E+07,432900
2010-01-02 05:45:00 EST,2.35E+07,2.31E+07,442400
2010-01-02 06:00:00 EST,2.40E+07,2.35E+07,453700
2010-01-02 06:15:00 EST,2.46E+07,2.41E+07,475400
2010-01-02 06:30:00 EST,2.52E+07,2.47E+07,495800
2010-01-02 06:45:00 EST,2.58E+07,2.53E+07,513200
2010-01-02 07:00:00 EST,2.63E+07,2.58E+07,529500
2010-01-02 07:15:00 EST,2.69E+07,2.64E+07,547000
2010-01-02 07:30:00 EST,2.73E+07,2.67E+07,557400
2010-01-02 07:45:00 EST,2.78E+07,2.72E+07,576300
2010-01-02 08:00:00 EST,2.83E+07,2.78E+07,595500
2010-01-02 08:15:00 EST,2.89E+07,2.83E+07,613900
2010-01-02 08:30:00 EST,2.93E+07,2.87E+07,627700
2010-01-02 08:45:00 EST,2.96E+07,2.90E+07,634800
2010-01-02 09:00:00 EST,2.98E+07,2.92E+07,639200
2010-01-02 09:15:00 EST,3.00E+07,2.94E+07,642200
2010-01-02 09:30:00 EST,3.02E+07,2.95E+07,644900
2010-01-02 09:45:00 EST,3.03E+07,2.97E+07,647000
2010-01-02 10:00:00 EST,3.05E+07,2.98E+07,649300
2010-01-02 10:15:00 EST,3.06E+07,3.00E+07,651300
2010-01-02 10:30:00 EST,3.07E+07,3.01E+07,653500
2010-01-02 10:45:00 EST,3.09E+07,3.02E+07,655500
2010-01-02 11:00:00 EST,3.10E+07,3.04E+07,657600
2010-01-02 11:15:00 EST,3.12E+07,3.05E+07,659800
2010-01-02 11:30:00 EST,3.13E+07,3.07E+07,661900
2010-01-02 11:45:00 EST,3.15E+07,3.08E+07,663900
2010-01-02 12:00:00 EST,3.16E+07,3.10E+07,666000
2010-01-02 12:15:00 EST,3.18E+07,3.11E+07,668200
2010-01-02 12:30:00 EST,3.19E+07,3.12E+07,670300
2010-01-02 12:45:00 EST,3.21E+07,3.14E+07,672300
2010-01-02 13:00:00 EST,3.22E+07,3.15E+07,674400
2010-01-02 13:15:00 EST,3.24E+07,3.17E+07,676500
2010-01-02 13:30:00 EST,3.25E+07,3.18E+07,678600
2010-01-02 13:45:00 EST,3.27E+07,3.20E+07,680700
2010-01-02 14:00:00 EST,3.28E+07,3.21E+07,682900
2010-01-02 14:15:00 EST,3.30E+07,3.23E+07,685100
2010-01-02 14:30:00 EST,3.31E+07,3.24E+07,687100
2010-01-02 14:45:00 EST,3.32E+07,3.26E+07,689200
2010-01-02 15:00:00 EST,3.34E+07,3.27E+07,691400
2010-01-02 15:15:00 EST,3.36E+07,3.29E+07,693500
2010-01-02 15:30:00 EST,3.37E+07,3.30E+07,695700
2010-01-02 15:45:00 EST,3.39E+07,3.32E+07,697800
2010-01-02 16:00:00 EST,3.40E+07,3.33E+07,700200
2010-01-02 16:15:00 EST,3.42E+07,3.35E+07,703000
2010-01-02 16:30:00 EST,3.44E+07,3.37E+07,705900
2010-01-02 16:45:00 EST,3.46E+07,3.39E+07,709000
2010-01-02 17:00:00 EST,3.48E+07,3.41E+07,712300
2010-01-02 17:15:00 EST,3.52E+07,3.44E+07,720600
2010-01-02 17:30:00 EST,3.56E+07,3.49E+07,732800
