# file...... xout_all_trip_meters.csv
# date...... Mon Jan  7 15:02:17 2019
# user...... dpinney
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 900
# limit..... 0
# property.. timestamp,max(measured_voltage_1.mag),max(measured_voltage_2.mag),avg(measured_voltage_1.mag),avg(measured_voltage_2.mag),min(measured_voltage_1.mag),min(measured_voltage_2.mag),sum(measured_real_energy),sum(measured_reactive_energy)
2010-01-01 00:00:00 EST,+121.951,+121.951,+120.168,+120.557,+118.649,+119.065,+0,+0
2010-01-01 00:15:00 EST,+119.751,+119.751,+118.688,+119.076,+118.044,+118.482,+136340,+104652
2010-01-01 00:30:00 EST,+119.791,+119.791,+118.764,+119.137,+118.153,+118.552,+242489,+208884
2010-01-01 00:45:00 EST,+119.813,+119.813,+118.776,+119.149,+118.148,+118.547,+345824,+308886
2010-01-01 01:00:00 EST,+119.862,+119.862,+118.813,+119.18,+118.181,+118.576,+448028,+408940
2010-01-01 01:15:00 EST,+119.862,+119.862,+118.813,+119.18,+118.181,+118.576,+548734,+507585
2010-01-01 01:30:00 EST,+119.9,+119.9,+118.827,+119.185,+118.203,+118.588,+649825,+606233
2010-01-01 01:45:00 EST,+119.87,+119.87,+118.843,+119.201,+118.224,+118.621,+749125,+702470
2010-01-01 02:00:00 EST,+119.91,+119.91,+118.863,+119.218,+118.174,+118.554,+848934,+798958
2010-01-01 02:15:00 EST,+119.943,+119.943,+118.855,+119.21,+118.125,+118.505,+949065,+894864
2010-01-01 02:30:00 EST,+119.873,+119.873,+118.846,+119.197,+118.206,+118.581,+1.048e+06,+990639
2010-01-01 02:45:00 EST,+119.894,+119.894,+118.854,+119.205,+118.165,+118.541,+1.14827e+06,+1.0858e+06
2010-01-01 03:00:00 EST,+119.911,+119.911,+118.879,+119.229,+118.192,+118.566,+1.24929e+06,+1.1811e+06
2010-01-01 03:15:00 EST,+119.891,+119.891,+118.857,+119.207,+118.234,+118.626,+1.35147e+06,+1.27626e+06
2010-01-01 03:30:00 EST,+119.85,+119.854,+118.861,+119.213,+118.269,+118.646,+1.45344e+06,+1.37169e+06
2010-01-01 03:45:00 EST,+119.853,+119.853,+118.813,+119.164,+117.954,+118.375,+1.55673e+06,+1.46781e+06
2010-01-01 04:00:00 EST,+119.687,+119.775,+118.77,+119.123,+118.138,+118.516,+1.66334e+06,+1.56471e+06
