# file...... xout_weather.csv
# date...... Mon Jun 17 14:20:34 2019
# user...... austinchang
# host...... (null)
# target.... climate 903
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,temperature,wind_speed,humidity, solar_direct,solar_diffuse,solar_global
2018-01-01 00:00:00 EST,+33.4,+0.78,+0.63,+0,+0,+0
2018-01-01 01:00:00 EST,+33.3,+0.85,+0.65,+0,+0,+0
2018-01-01 02:00:00 EST,+32.2,+0.82,+0.68,+0,+0,+0
2018-01-01 03:00:00 EST,+30.9,+1.6,+0.69,+0,+0,+0
2018-01-01 04:00:00 EST,+31.1,+1.95,+0.72,+0,+0,+0
2018-01-01 05:00:00 EST,+30,+2.45,+0.73,+0,+0,+0
2018-01-01 06:00:00 EST,+28.8,+2.18,+0.71,+0,+0,+0
2018-01-01 07:00:00 EST,+28.6,+1.91,+0.7,+0,+0,+0
2018-01-01 08:00:00 EST,+28.6,+1.22,+0.68,+0,+0,+0
2018-01-01 09:00:00 EST,+28.8,+0.98,+0.68,+0,+0,+0
2018-01-01 10:00:00 EST,+28.8,+1,+0.71,+0,+0,+0
2018-01-01 11:00:00 EST,+28.2,+0.72,+0.76,+0,+0,+0
2018-01-01 12:00:00 EST,+26.6,+0.7,+0.77,+0,+0,+0
2018-01-01 13:00:00 EST,+25.5,+0.63,+0.81,+0,+0,+0
2018-01-01 14:00:00 EST,+24.6,+0.61,+0.82,+0,+0,+0
2018-01-01 15:00:00 EST,+21.6,+0.37,+0.87,+0,+0,+0
2018-01-01 16:00:00 EST,+21.9,+0.66,+0.89,+0,+0,+0
2018-01-01 17:00:00 EST,+24.3,+0.72,+0.89,+0,+0,+0
2018-01-01 18:00:00 EST,+28,+0.98,+0.85,+0,+0,+0
2018-01-01 19:00:00 EST,+28.9,+2.21,+0.78,+0,+0,+0
2018-01-01 20:00:00 EST,+30.7,+2.71,+0.77,+0,+0,+0
2018-01-01 21:00:00 EST,+32,+2.71,+0.75,+0,+0,+0
2018-01-01 22:00:00 EST,+32,+3.1,+0.73,+0,+0,+0
2018-01-01 23:00:00 EST,+31.1,+3.63,+0.74,+0,+0,+0
2018-01-02 00:00:00 EST,+30.4,+3.63,+0.72,+0,+0,+0
2018-01-02 01:00:00 EST,+30.9,+2.57,+0.75,+0,+0,+0
2018-01-02 02:00:00 EST,+31.8,+2.36,+0.84,+0,+0,+0
2018-01-02 03:00:00 EST,+32.4,+1.88,+0.83,+0,+0,+0
2018-01-02 04:00:00 EST,+32.2,+0.98,+0.8,+0,+0,+0
2018-01-02 05:00:00 EST,+34.5,+1.22,+0.78,+0,+0,+0
2018-01-02 06:00:00 EST,+33.3,+0.97,+0.77,+0,+0,+0
2018-01-02 07:00:00 EST,+34.5,+0.86,+0.81,+0,+0,+0
2018-01-02 08:00:00 EST,+33.1,+1.01,+0.84,+0,+0,+0
2018-01-02 09:00:00 EST,+33.6,+0.89,+0.86,+0,+0,+0
2018-01-02 10:00:00 EST,+40.3,+1.4,+0.79,+0,+0,+0
2018-01-02 11:00:00 EST,+41.7,+1.56,+0.74,+0,+0,+0
2018-01-02 12:00:00 EST,+41.5,+1.33,+0.69,+0,+0,+0
2018-01-02 13:00:00 EST,+43,+1.66,+0.67,+0,+0,+0
2018-01-02 14:00:00 EST,+42.3,+3.13,+0.65,+0,+0,+0
2018-01-02 15:00:00 EST,+42.8,+2.85,+0.65,+0,+0,+0
2018-01-02 16:00:00 EST,+42.1,+2.49,+0.64,+0,+0,+0
2018-01-02 17:00:00 EST,+42.1,+2.71,+0.62,+0,+0,+0
2018-01-02 18:00:00 EST,+41.9,+2.44,+0.62,+0,+0,+0
2018-01-02 19:00:00 EST,+41.2,+2.81,+0.63,+0,+0,+0
2018-01-02 20:00:00 EST,+41.9,+2.57,+0.59,+1,+0,+1
2018-01-02 21:00:00 EST,+41.7,+1.96,+0.59,+2,+1,+2
2018-01-02 22:00:00 EST,+42.4,+2.27,+0.57,+2,+1,+2
2018-01-02 23:00:00 EST,+41.7,+2.19,+0.58,+2,+1,+2
2018-01-03 00:00:00 EST,+40.1,+1.21,+0.64,+0,+0,+0
2018-01-03 01:00:00 EST,+40.8,+0.99,+0.62,+0,+0,+0
2018-01-03 02:00:00 EST,+38.7,+1.39,+0.66,+0,+0,+0
2018-01-03 03:00:00 EST,+40.6,+1.46,+0.6,+0,+0,+0
2018-01-03 04:00:00 EST,+40.1,+0.59,+0.59,+0,+0,+0
2018-01-03 05:00:00 EST,+35.6,+0.57,+0.72,+0,+0,+0
2018-01-03 06:00:00 EST,+36.9,+0.6,+0.82,+0,+0,+0
2018-01-03 07:00:00 EST,+35.6,+0.34,+0.82,+0,+0,+0
2018-01-03 08:00:00 EST,+37,+0.79,+0.8,+0,+0,+0
2018-01-03 09:00:00 EST,+36.5,+0.47,+0.81,+0,+0,+0
2018-01-03 10:00:00 EST,+34.9,+0.59,+0.88,+0,+0,+0
2018-01-03 11:00:00 EST,+33.6,+0.32,+0.91,+0,+0,+0
2018-01-03 12:00:00 EST,+33.6,+0.25,+0.96,+0,+0,+0
2018-01-03 13:00:00 EST,+33.4,+0.44,+0.96,+0,+0,+0
2018-01-03 14:00:00 EST,+33.6,+0.08,+0.96,+0,+0,+0
2018-01-03 15:00:00 EST,+33.1,+0.42,+0.96,+0,+0,+0
2018-01-03 16:00:00 EST,+32.2,+0.3,+0.97,+0,+0,+0
2018-01-03 17:00:00 EST,+32.2,+0.65,+0.97,+0,+0,+0
2018-01-03 18:00:00 EST,+32.2,+0.65,+0.97,+0,+0,+0
2018-01-03 19:00:00 EST,+32,+1.06,+0.98,+0,+0,+0
2018-01-03 20:00:00 EST,+32.2,+1.14,+0.98,+0,+0,+0
2018-01-03 21:00:00 EST,+32.2,+1.16,+0.98,+0,+0,+0
2018-01-03 22:00:00 EST,+32.4,+1.04,+0.97,+0,+0,+0
2018-01-03 23:00:00 EST,+33.1,+1.07,+0.97,+0,+0,+0
2018-01-04 00:00:00 EST,+33.6,+1.28,+0.95,+1,+0,+1
2018-01-04 01:00:00 EST,+32.7,+1.3,+0.93,+0,+0,+0
2018-01-04 02:00:00 EST,+33.1,+1.76,+0.91,+0,+0,+0
2018-01-04 03:00:00 EST,+33.4,+1.96,+0.89,+0,+0,+0
2018-01-04 04:00:00 EST,+32,+2.02,+0.88,+0,+0,+0
2018-01-04 05:00:00 EST,+32,+1.26,+0.9,+0,+0,+0
2018-01-04 06:00:00 EST,+31.5,+1.2,+0.89,+0,+0,+0
2018-01-04 07:00:00 EST,+29.7,+0.85,+0.92,+0,+0,+0
2018-01-04 08:00:00 EST,+30.2,+1.1,+0.89,+0,+0,+0
2018-01-04 09:00:00 EST,+31.3,+1.32,+0.87,+0,+0,+0
2018-01-04 10:00:00 EST,+30.2,+1.95,+0.81,+0,+0,+0
2018-01-04 11:00:00 EST,+30,+1.39,+0.86,+0,+0,+0
2018-01-04 12:00:00 EST,+26.2,+0.72,+0.88,+0,+0,+0
2018-01-04 13:00:00 EST,+23.5,+0.19,+0.95,+0,+0,+0
2018-01-04 14:00:00 EST,+23.9,+0.19,+0.96,+0,+0,+0
2018-01-04 15:00:00 EST,+21.7,+0.23,+0.95,+0,+0,+0
2018-01-04 16:00:00 EST,+23.2,+0.11,+0.94,+0,+0,+0
2018-01-04 17:00:00 EST,+23.5,+0.32,+0.95,+0,+0,+0
2018-01-04 18:00:00 EST,+21.4,+0.38,+0.95,+0,+0,+0
2018-01-04 19:00:00 EST,+22.3,+0.2,+0.94,+0,+0,+0
2018-01-04 20:00:00 EST,+23.7,+0.09,+0.94,+0,+0,+0
2018-01-04 21:00:00 EST,+26.6,+0.24,+0.95,+0,+0,+0
2018-01-04 22:00:00 EST,+27.7,+0.68,+0.96,+0,+0,+0
2018-01-04 23:00:00 EST,+27.9,+0.65,+0.96,+0,+0,+0
2018-01-05 00:00:00 EST,+27.9,+0.46,+0.96,+0,+0,+0
2018-01-05 01:00:00 EST,+27.9,+0.59,+0.96,+0,+0,+0
2018-01-05 02:00:00 EST,+27.7,+0.88,+0.95,+0,+0,+0
2018-01-05 03:00:00 EST,+27.5,+0.89,+0.94,+0,+0,+0
2018-01-05 04:00:00 EST,+27,+0.23,+0.93,+0,+0,+0
2018-01-05 05:00:00 EST,+24.1,+0.04,+0.95,+0,+0,+0
2018-01-05 06:00:00 EST,+19.8,+0.24,+0.95,+0,+0,+0
2018-01-05 07:00:00 EST,+18.1,+0.19,+0.94,+0,+0,+0
2018-01-05 08:00:00 EST,+15.4,+0.16,+0.92,+0,+0,+0
2018-01-05 09:00:00 EST,+13.6,+0.24,+0.91,+0,+0,+0
2018-01-05 10:00:00 EST,+12.2,+0.12,+0.9,+0,+0,+0
2018-01-05 11:00:00 EST,+10,+0.09,+0.9,+0,+0,+0
2018-01-05 12:00:00 EST,+13.3,+0.33,+0.89,+0,+0,+0
2018-01-05 13:00:00 EST,+15.1,+0.18,+0.9,+0,+0,+0
2018-01-05 14:00:00 EST,+13.6,+0.17,+0.91,+0,+0,+0
2018-01-05 15:00:00 EST,+10.8,+0.15,+0.89,+0,+0,+0
2018-01-05 16:00:00 EST,+13.1,+0.07,+0.89,+0,+0,+0
2018-01-05 17:00:00 EST,+14,+0.13,+0.9,+0,+0,+0
2018-01-05 18:00:00 EST,+18.9,+0.39,+0.91,+0,+0,+0
2018-01-05 19:00:00 EST,+18.5,+0.43,+0.92,+0,+0,+0
2018-01-05 20:00:00 EST,+20.1,+0.55,+0.93,+0,+0,+0
2018-01-05 21:00:00 EST,+19.9,+0.52,+0.93,+0,+0,+0
2018-01-05 22:00:00 EST,+20.3,+0.7,+0.93,+1,+0,+1
2018-01-05 23:00:00 EST,+20.8,+0.67,+0.93,+0,+0,+0
2018-01-06 00:00:00 EST,+20.8,+0.52,+0.93,+0,+0,+0
2018-01-06 01:00:00 EST,+19.9,+0.53,+0.93,+0,+0,+0
2018-01-06 02:00:00 EST,+19,+0.61,+0.93,+0,+0,+0
2018-01-06 03:00:00 EST,+17.8,+0.9,+0.92,+0,+0,+0
2018-01-06 04:00:00 EST,+17.8,+0.64,+0.91,+0,+0,+0
2018-01-06 05:00:00 EST,+16.2,+0.43,+0.91,+0,+0,+0
2018-01-06 06:00:00 EST,+12.6,+0.39,+0.89,+0,+0,+0
2018-01-06 07:00:00 EST,+12.7,+0.5,+0.89,+0,+0,+0
2018-01-06 08:00:00 EST,+18.1,+0.62,+0.91,+0,+0,+0
2018-01-06 09:00:00 EST,+18.1,+0.71,+0.91,+0,+0,+0
2018-01-06 10:00:00 EST,+19.2,+0.57,+0.92,+0,+0,+0
2018-01-06 11:00:00 EST,+20.1,+0.46,+0.92,+0,+0,+0
2018-01-06 12:00:00 EST,+21,+0.42,+0.92,+0,+0,+0
2018-01-06 13:00:00 EST,+20.1,+0.35,+0.92,+0,+0,+0
2018-01-06 14:00:00 EST,+20.5,+0.35,+0.92,+0,+0,+0
2018-01-06 15:00:00 EST,+21,+0.28,+0.93,+0,+0,+0
2018-01-06 16:00:00 EST,+21.2,+0.64,+0.93,+0,+0,+0
2018-01-06 17:00:00 EST,+21.6,+0.7,+0.92,+0,+0,+0
2018-01-06 18:00:00 EST,+21.9,+0.61,+0.92,+0,+0,+0
2018-01-06 19:00:00 EST,+22.5,+0.68,+0.91,+0,+0,+0
2018-01-06 20:00:00 EST,+22.5,+0.66,+0.9,+0,+0,+0
2018-01-06 21:00:00 EST,+23,+0.84,+0.89,+0,+0,+0
2018-01-06 22:00:00 EST,+23.7,+0.73,+0.89,+1,+0,+1
