700637,"DEADHORSE",AK,-9.0,70.200,-148.483,23
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-16.7,A,7,-18.9,A,7,81,A,7,1016,A,7,240,A,7,4.6,A,7,16000,B,7,77777,A,7,0.5,E,8,0.030,F,8,0.690,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-16.7,A,7,-19.4,A,7,77,A,7,1016,A,7,220,A,7,3.6,A,7,16000,B,7,77777,A,7,0.5,E,8,0.030,F,8,0.690,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-16.7,A,7,-18.9,A,7,81,A,7,1016,A,7,240,A,7,3.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0.030,F,8,0.690,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-17.8,A,7,-20.6,A,7,77,A,7,1016,A,7,220,A,7,3.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0.030,F,8,0.690,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,A,7,-18.9,A,7,-20.6,A,7,85,A,7,1017,A,7,240,A,7,3.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0.030,F,8,0.690,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-17.8,A,7,-19.4,A,7,86,A,7,1017,A,7,90,A,7,2.6,A,7,16000,B,7,77777,A,7,0.5,E,8,0.030,F,8,0.690,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-17.8,A,7,-18.9,A,7,90,A,7,1017,A,7,100,A,7,5.2,A,7,400,B,7,30,A,7,0.5,E,8,0.030,F,8,0.690,F,8,0,1,D,9,45,C,8
01/01/2005,08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-16.1,A,7,-17.2,A,7,90,A,7,1017,A,7,90,A,7,3.1,A,7,400,B,7,30,A,7,0.6,E,8,0.030,F,8,0.690,F,8,0,1,D,9,45,C,8
01/01/2005,09:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-15.0,A,7,-16.1,A,7,90,A,7,1017,A,7,110,A,7,3.1,A,7,1600,B,7,91,A,7,0.6,E,8,0.030,F,8,0.690,F,8,0,1,D,9,49,C,8
01/01/2005,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-15.6,A,7,-16.7,A,7,90,A,7,1017,A,7,120,A,7,2.1,A,7,1600,B,7,61,A,7,0.7,E,8,0.030,F,8,0.690,F,8,0,1,D,9,10,C,8
