703400,"ILIAMNA ARPT",AK,-9.0,59.750,-154.917,57
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2003,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20.6,A,7,-22.8,A,7,81,A,7,983,A,7,10,A,7,6.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20.6,A,7,-22.2,A,7,86,A,7,983,A,7,10,A,7,6.7,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-20.0,A,7,-21.7,A,7,85,A,7,985,A,7,10,A,7,6.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-19.4,A,7,-21.7,A,7,80,A,7,983,A,7,10,A,7,7.7,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-19.4,A,7,-21.7,A,7,80,A,7,983,A,7,10,A,7,7.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-19.4,A,7,-21.1,A,7,85,A,7,983,A,7,10,A,7,6.2,A,7,16000,B,7,1372,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,-19.4,A,7,-21.1,A,7,85,A,7,983,A,7,10,A,7,5.7,A,7,16000,B,7,1372,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-19.4,A,7,-21.7,A,7,80,A,7,983,A,7,20,A,7,6.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,09:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,A,7,-19.4,A,7,-21.1,A,7,85,A,7,984,A,7,10,A,7,5.7,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,10:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,5,A,7,-19.4,A,7,-21.1,A,7,85,A,7,983,A,7,10,A,7,6.2,A,7,16000,B,7,77777,A,7,0.2,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,11:00,19,884,0,2,14,0,2,35,0,2,14,0,2,14,0,2,35,0,2,14,0,2,40,9,E,9,9,A,7,-18.9,A,7,-21.1,A,7,81,A,7,984,A,7,10,A,7,6.2,A,7,16000,B,7,3962,A,7,0.3,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,12:00,104,1415,45,2,14,203,2,35,30,2,14,46,2,14,87,2,35,40,2,14,55,2,40,9,E,9,9,A,7,-18.9,A,7,-21.1,A,7,81,A,7,983,A,7,10,A,7,7.2,A,7,16000,B,7,3962,A,7,0.3,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,13:00,163,1415,52,2,14,91,2,35,42,2,14,55,2,14,49,2,35,50,2,14,78,2,40,9,E,9,9,A,7,-18.3,A,7,-20.6,A,7,80,A,7,983,A,7,10,A,7,6.2,A,7,16000,B,7,3962,A,7,0.3,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,14:00,180,1415,103,2,14,358,2,35,57,2,14,104,2,14,211,2,35,76,2,14,107,2,40,9,E,9,9,A,7,-18.3,A,7,-20.0,A,7,85,A,7,983,A,7,10,A,7,6.7,A,7,16000,B,7,1219,A,7,0.3,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,15:00,153,1415,94,2,14,490,2,35,40,2,14,93,2,14,278,2,35,63,2,14,66,2,40,9,E,9,8,A,7,-17.2,A,7,-18.9,A,7,85,A,7,984,A,7,360,A,7,6.7,A,7,16000,B,7,1219,A,7,0.4,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,16:00,86,1415,0,2,14,0,2,35,0,2,14,0,2,14,0,2,35,0,2,14,0,2,40,10,E,9,10,A,7,-16.7,A,7,-18.3,A,7,86,A,7,982,A,7,10,A,7,6.7,A,7,16000,B,7,945,A,7,0.4,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,17:00,8,554,0,2,14,0,2,35,0,2,14,0,2,14,0,2,35,0,2,14,0,2,40,10,B,8,10,B,8,-15.6,A,7,-17.2,A,7,86,A,7,982,A,7,10,A,7,5.2,A,7,16000,B,7,945,A,7,0.5,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-15.0,A,7,-16.7,A,7,85,A,7,983,A,7,10,A,7,6.2,A,7,16000,B,7,1676,A,7,0.5,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-13.9,A,7,-16.1,A,7,82,A,7,983,A,7,360,A,7,5.7,A,7,16000,B,7,1981,A,7,0.6,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-12.0,A,7,-14.0,A,7,83,A,7,982,A,7,360,A,7,7.2,A,7,16100,B,7,870,A,7,0.6,E,8,0.041,F,8,0.220,F,8,0,1,D,9,71,C,8
01/01/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-11.1,A,7,-13.3,A,7,82,A,7,983,A,7,360,A,7,7.7,A,7,16000,B,7,884,A,7,0.7,E,8,0.041,F,8,0.220,F,8,0,1,D,9,71,C,8
01/01/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-10.0,A,7,-12.8,A,7,78,A,7,982,A,7,360,A,7,5.7,A,7,16000,B,7,884,A,7,0.7,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-8.9,A,7,-11.7,A,7,78,A,7,982,A,7,20,A,7,3.6,A,7,16000,B,7,884,A,7,0.7,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/2003,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-8.3,A,7,-11.7,A,7,74,A,7,983,A,7,10,A,7,5.2,A,7,16000,B,7,884,A,7,0.7,E,8,0.041,F,8,0.220,F,8,0,1,D,9,00,C,8
01/02/2003,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-7.8,A,7,-11.1,A,7,75,A,7,982,A,7,360,A,7,4.6,A,7,14400,B,7,884,A,7,0.7,E,8,0.042,F,8,0.220,F,8,0,1,D,9,00,C,8
