703870,"WRANGELL",AK,-9.0,56.483,-132.367,13
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2004,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,3,A,7,1.0,A,7,-4.0,A,7,67,A,7,1011,E,9,110,A,7,1.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,A,7,1.0,A,7,-4.0,A,7,67,A,7,1011,E,9,100,A,7,6.2,A,7,14500,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,A,7,1.0,A,7,-6.0,A,7,56,A,7,1011,E,9,90,A,7,6.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,A,7,0.0,A,7,-6.0,A,7,60,A,7,1011,E,9,30,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,A,7,0.0,A,7,-6.0,A,7,60,A,7,1011,E,9,110,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,A,7,0.0,A,7,-6.0,A,7,60,A,7,1011,E,9,70,A,7,4.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,A,7,-1.0,A,7,-7.0,A,7,60,A,7,1011,E,9,280,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,2,A,7,-1.0,A,7,-9.0,A,7,50,A,7,1011,E,9,120,A,7,4.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,09:00,19,790,0,2,14,0,2,35,0,2,14,0,2,14,0,2,35,0,2,14,0,2,40,8,E,9,3,A,7,-1.0,A,7,-9.0,A,7,50,A,7,1011,E,9,70,A,7,5.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/2004,10:00,125,1415,56,2,14,363,2,35,23,2,14,55,2,14,213,2,35,36,2,14,40,2,40,7,E,9,2,A,7,-1.0,A,7,-8.0,A,7,55,A,7,1011,E,9,80,A,7,6.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
