703884,"HYDABURG SEAPLANE",AK,-9.0,55.200,-132.833,0
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-2.0,A,7,-6.0,A,7,71,A,7,1013,E,9,40,A,7,1.5,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-3.0,A,7,-5.0,A,7,84,A,7,1013,E,9,10,A,7,2.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,-3.0,A,7,-6.0,A,7,77,A,7,1013,E,9,40,A,7,1.5,A,7,16100,B,7,960,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-2.0,A,7,-6.0,A,7,71,A,7,1013,E,9,30,A,7,2.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-2.0,A,7,-6.0,A,7,71,A,7,1013,E,9,340,A,7,4.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,-3.0,A,7,-6.0,A,7,77,A,7,1013,E,9,340,A,7,4.1,A,7,16100,B,7,900,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-3.0,A,7,-7.0,A,7,71,A,7,1013,E,9,40,A,7,2.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-4.0,A,7,-7.0,A,7,77,A,7,1013,E,9,360,A,7,2.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,09:00,30,955,4,2,14,115,2,35,2,2,14,0,2,14,0,2,35,0,2,14,0,2,40,8,E,9,5,A,7,-4.0,A,7,-8.0,A,7,71,A,7,1013,E,9,30,A,7,2.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
01/01/1998,10:00,148,1415,67,2,14,388,2,35,26,2,14,69,2,14,225,2,35,45,2,14,47,2,40,10,E,9,9,A,7,-3.0,A,7,-6.0,A,7,77,A,7,1013,E,9,350,A,7,3.6,A,7,16100,B,7,960,A,7,0.5,E,8,0.051,F,8,0.260,F,8,0,1,D,9,00,C,8
