722016,"MARATHON AIRPORT",FL,-5.0,24.733,-81.050,2
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,3,B,8,24.3,B,8,21.1,B,8,82,A,7,1013,E,9,60,B,8,3.3,B,8,16100,C,8,15267,B,8,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,5,B,8,24.0,B,8,21.1,B,8,84,A,7,1013,E,9,60,B,8,3.1,B,8,16100,C,8,11900,B,8,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,7,B,8,23.6,B,8,21.1,B,8,86,A,7,1013,E,9,60,B,8,2.9,B,8,16100,C,8,8533,B,8,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,8,B,8,23.3,B,8,21.1,B,8,87,A,7,1013,E,9,70,B,8,2.8,B,8,16100,C,8,5167,B,8,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,23.0,A,7,21.0,A,7,89,A,7,1013,E,9,70,A,7,2.6,A,7,16100,B,7,1800,A,7,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,23.0,A,7,21.0,A,7,89,A,7,1013,E,9,70,A,7,2.6,A,7,16100,B,7,1200,A,7,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,23.0,A,7,21.0,A,7,89,A,7,1013,E,9,80,A,7,3.1,A,7,16100,B,7,1200,A,7,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,08:00,96,1167,34,1,24,145,1,27,22,1,24,37,1,24,69,1,27,31,1,24,38,1,43,5,E,9,5,A,7,22.0,A,7,21.0,A,7,94,A,7,1013,E,9,90,A,7,2.1,A,7,16100,B,7,77777,A,7,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,09:00,370,1415,142,1,25,384,1,28,41,1,25,151,1,25,331,1,28,64,1,25,81,1,45,5,B,8,5,B,8,22.5,B,8,20.5,B,8,88,A,7,1013,E,9,90,B,8,2.3,B,8,16100,C,8,77777,B,8,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,10:00,612,1415,350,1,25,578,1,28,100,1,25,367,1,25,557,1,28,125,1,25,202,1,45,5,B,8,5,B,8,23.3,B,8,20.2,B,8,83,A,7,1013,E,9,90,B,8,2.4,B,8,16100,C,8,77777,B,8,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,11:00,797,1415,337,1,24,432,1,27,94,1,24,365,1,24,438,1,27,117,1,24,222,1,43,5,E,9,5,A,7,24.0,A,7,20.0,A,7,78,A,7,1013,E,9,90,A,7,2.6,A,7,16100,B,7,77777,A,7,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1997,12:00,912,1415,424,1,25,179,1,28,308,1,25,462,1,25,188,1,28,340,1,25,873,1,45,5,B,8,5,B,8,24.7,E,9,20.3,E,9,77,A,7,1013,E,9,90,B,8,3.4,B,8,16100,C,8,77777,B,8,3.0,E,8,0.126,F,8,0.130,F,8,0,1,D,9,00,C,8
