722025,"FORT LAUDERDALE HOLLYWOOD INT",FL,-5.0,26.067,-80.150,3
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2002,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,17.2,A,7,16.7,A,7,97,A,7,1016,A,7,320,A,7,5.2,A,7,14400,B,7,6096,A,7,3.6,E,8,0.072,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2002,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,16.7,A,7,16.7,A,7,100,A,7,1015,A,7,320,A,7,3.6,A,7,11200,B,7,77777,A,7,3.5,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
01/01/2002,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,1,E,9,16.1,A,7,16.1,A,7,100,A,7,1015,A,7,320,A,7,3.6,A,7,12800,B,7,7620,A,7,3.3,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
01/01/2002,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,16.0,A,7,16.0,A,7,100,A,7,1015,A,7,330,A,7,4.1,A,7,9700,B,7,6000,A,7,3.2,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
01/01/2002,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,15.6,A,7,15.6,A,7,100,A,7,1015,A,7,310,A,7,3.6,A,7,9600,B,7,6096,A,7,3.0,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
01/01/2002,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,15.0,A,7,15.0,A,7,100,A,7,1016,A,7,330,A,7,3.1,A,7,11200,B,7,6096,A,7,2.8,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
01/01/2002,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,14.4,A,7,14.4,A,7,100,A,7,1017,A,7,320,A,7,3.1,A,7,14400,B,7,77777,A,7,2.6,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
01/01/2002,08:00,98,1191,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,6,E,9,5,E,9,15.0,A,7,14.4,A,7,96,A,7,1018,A,7,340,A,7,2.6,A,7,12800,B,7,77777,A,7,2.6,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
01/01/2002,09:00,368,1415,218,2,8,522,2,15,81,2,8,220,2,8,434,2,15,107,2,8,142,2,19,5,E,9,5,E,9,16.7,A,7,15.6,A,7,93,A,7,1019,A,7,340,A,7,2.6,A,7,16000,B,7,77777,A,7,2.6,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
01/01/2002,10:00,604,1415,388,2,8,682,2,15,96,2,8,406,2,8,657,2,15,125,2,8,194,2,19,5,E,9,4,E,9,18.3,A,7,16.1,A,7,87,A,7,1019,A,7,350,A,7,5.2,A,7,16000,B,7,77777,A,7,2.6,E,8,0.072,F,8,0.150,F,8,0,1,D,9,10,C,8
