722175,"WARNER ROBINS AFB",GA,-5.0,32.633,-83.600,92
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2001,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12.7,E,9,12.7,E,9,100,A,7,1010,E,9,130,E,9,1.3,E,9,11300,C,8,77777,E,9,0.7,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,13.3,E,9,12.7,E,9,96,A,7,1010,E,9,120,E,9,0.5,E,9,11300,C,8,77777,E,9,0.6,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,13.8,E,9,13.3,E,9,97,A,7,1010,E,9,110,E,9,0.5,E,9,11300,C,8,77777,E,9,0.6,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,13.3,E,9,12.7,E,9,96,A,7,1010,E,9,280,E,9,0.7,E,9,11300,C,8,77777,E,9,0.6,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12.7,E,9,12.2,E,9,97,A,7,1011,E,9,240,E,9,1.0,E,9,11300,C,8,77777,E,9,0.6,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12.7,E,9,12.2,E,9,97,A,7,1011,E,9,260,E,9,0.5,E,9,11300,C,8,77777,E,9,0.6,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12.2,E,9,12.2,E,9,100,A,7,1011,E,9,30,E,9,1.3,E,9,11300,C,8,77777,E,9,0.6,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,08:00,16,507,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,2,E,9,0,E,9,13.3,E,9,12.7,E,9,96,A,7,1011,E,9,210,E,9,0.7,E,9,11300,C,8,77777,E,9,0.6,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,09:00,218,1415,73,2,8,45,2,15,66,2,8,80,2,8,34,2,15,74,2,8,154,2,19,3,E,9,0,E,9,13.8,E,9,13.3,E,9,97,A,7,1011,E,9,360,E,9,1.0,E,9,11300,C,8,77777,E,9,0.6,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2001,10:00,449,1415,137,2,8,13,2,15,133,2,8,153,2,8,9,2,15,150,2,8,464,2,19,2,E,9,0,E,9,14.4,E,9,14.4,E,9,100,A,7,1011,E,9,30,E,9,1.0,E,9,11300,C,8,77777,E,9,0.5,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
