722230,"MOBILE REGIONAL AP",AL,-6.0,30.683,-88.250,66
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2001,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,0.0,A,7,-4.4,A,7,69,A,7,1020,A,7,340,A,7,1.5,A,7,16000,B,7,2438,A,7,1.4,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2001,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.0,A,7,-4.4,A,7,69,A,7,1021,A,7,320,A,7,1.5,A,7,14400,B,7,2438,A,7,1.3,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2001,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.1,A,7,-5.6,A,7,58,A,7,1021,A,7,360,A,7,3.6,A,7,16000,B,7,2438,A,7,1.3,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2001,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.1,A,7,-5.0,A,7,61,A,7,1021,A,7,350,A,7,3.6,A,7,16000,B,7,1829,A,7,1.2,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2001,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.1,A,7,-4.4,A,7,64,A,7,1021,A,7,10,A,7,2.6,A,7,14400,B,7,2438,A,7,1.1,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2001,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.6,A,7,-2.8,A,7,76,A,7,1021,A,7,10,A,7,4.1,A,7,14400,B,7,2134,A,7,1.0,E,8,0.000,F,8,0.00,F,8,0,1,D,9,71,C,8
01/01/2001,07:00,2,200,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,0.6,A,7,-2.2,A,7,80,A,7,1022,A,7,360,A,7,2.6,A,7,16000,B,7,1829,A,7,0.9,E,8,0.000,F,8,0.00,F,8,0,1,D,9,71,C,8
01/01/2001,08:00,164,1415,57,2,8,0,2,15,57,2,8,62,2,8,0,2,15,62,2,8,161,2,19,10,E,9,10,E,9,0.6,A,7,-2.2,A,7,80,A,7,1022,A,7,360,A,7,3.6,A,7,16000,B,7,1524,A,7,0.9,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2001,09:00,412,1415,112,2,8,0,2,15,112,2,8,125,2,8,0,2,15,125,2,8,397,2,19,10,E,9,10,E,9,1.1,A,7,-1.7,A,7,80,A,7,1022,A,7,10,A,7,4.6,A,7,16000,B,7,2743,A,7,0.8,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2001,10:00,615,1415,120,2,8,0,2,15,120,2,8,140,2,8,0,2,15,140,2,8,508,2,19,10,E,9,10,E,9,2.2,A,7,-1.7,A,7,74,A,7,1023,A,7,10,A,7,4.6,A,7,16000,B,7,2438,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
