722235,"MOBILE DOWNTOWN AP",AL,-6.0,30.633,-88.067,8
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8.0,A,7,8.0,A,7,100,A,7,1021,A,7,0,A,7,0.0,A,7,12900,B,7,77777,A,7,1.9,E,8,0.072,F,8,0.160,F,8,0,1,D,9,10,C,8
01/01/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.0,A,7,7.0,A,7,100,A,7,1021,A,7,330,A,7,2.6,A,7,6400,B,7,77777,A,7,1.9,E,8,0.072,F,8,0.160,F,8,0,1,D,9,10,C,8
01/01/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.0,A,7,7.0,A,7,100,A,7,1021,A,7,330,A,7,2.6,A,7,4800,B,7,77777,A,7,2.0,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,7.0,A,7,7.0,A,7,100,A,7,1021,A,7,350,A,7,1.5,A,7,16100,B,7,77777,A,7,2.0,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.0,A,7,7.0,A,7,100,A,7,1021,A,7,350,A,7,2.1,A,7,16100,B,7,77777,A,7,2.0,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.0,A,7,6.0,A,7,100,A,7,1021,A,7,10,A,7,2.1,A,7,16100,B,7,77777,A,7,2.1,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,07:00,3,200,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,9.0,A,7,8.0,A,7,93,A,7,1021,A,7,80,A,7,2.6,A,7,16100,B,7,77777,A,7,2.1,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,08:00,169,1415,97,2,8,435,2,15,44,2,8,96,2,8,257,2,15,65,2,8,72,2,19,0,E,9,0,E,9,10.0,A,7,8.0,A,7,87,A,7,1021,A,7,50,A,7,3.6,A,7,16100,B,7,77777,A,7,2.1,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,09:00,416,1415,276,2,8,469,2,15,138,2,8,278,2,8,409,2,15,158,2,8,270,2,19,8,E,9,8,E,9,12.0,A,7,9.0,A,7,82,A,7,1021,A,7,60,A,7,2.6,A,7,16100,B,7,1350,A,7,2.2,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,10:00,618,1415,186,2,8,18,2,15,178,2,8,210,2,8,14,2,15,203,2,8,677,2,19,10,E,9,10,E,9,13.0,A,7,9.0,A,7,77,A,7,1021,A,7,60,A,7,2.6,A,7,16100,B,7,1260,A,7,2.2,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,11:00,759,1415,284,2,8,49,2,15,258,2,8,312,2,8,49,2,15,286,2,8,774,2,19,8,E,9,8,E,9,14.0,A,7,10.0,A,7,77,A,7,1021,A,7,80,A,7,3.1,A,7,16100,B,7,1500,A,7,2.2,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,12:00,829,1415,189,2,8,0,2,15,189,2,8,221,2,8,0,2,15,221,2,8,834,2,19,10,E,9,10,E,9,16.0,A,7,11.0,A,7,72,A,7,1019,A,7,100,A,7,2.1,A,7,16100,B,7,1500,A,7,2.3,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,13:00,824,1415,195,2,8,6,2,15,192,2,8,228,2,8,5,2,15,225,2,8,841,2,19,10,E,9,10,E,9,17.0,A,7,12.0,A,7,72,A,7,1018,A,7,150,A,7,2.6,A,7,16100,B,7,930,A,7,2.3,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,14:00,744,1415,126,2,8,0,2,15,126,2,8,150,2,8,0,2,15,150,2,8,575,2,19,10,E,9,10,E,9,17.0,A,7,13.0,A,7,77,A,7,1017,A,7,150,A,7,4.1,A,7,16100,B,7,1320,A,7,2.3,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,15:00,593,1415,317,2,8,311,2,15,186,2,8,335,2,8,311,2,15,204,2,8,406,2,19,8,E,9,8,E,9,17.0,A,7,13.0,A,7,77,A,7,1017,A,7,160,A,7,4.1,A,7,16100,B,7,900,A,7,2.4,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,16:00,384,1415,157,2,8,158,2,15,114,2,8,170,2,8,139,2,15,132,2,8,252,2,19,3,E,9,2,E,9,16.0,A,7,13.0,A,7,82,A,7,1017,A,7,130,A,7,6.2,A,7,16100,B,7,77777,A,7,2.4,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,17:00,133,1415,43,2,8,217,2,15,23,2,8,45,2,8,119,2,15,33,2,8,42,2,19,2,E,9,1,E,9,15.0,A,7,12.0,A,7,82,A,7,1016,A,7,120,A,7,6.2,A,7,16100,B,7,77777,A,7,2.4,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,18:00,0,12,0,2,0,0,2,0,0,2,0,0,2,1,0,2,2,0,2,2,0,2,1,4,E,9,3,E,9,14.0,A,7,12.0,A,7,88,A,7,1016,A,7,130,A,7,4.6,A,7,16100,B,7,77777,A,7,2.5,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,14.0,A,7,12.0,A,7,88,A,7,1016,A,7,110,A,7,5.7,A,7,16100,B,7,77777,A,7,2.5,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,14.0,A,7,12.0,A,7,88,A,7,1016,A,7,120,A,7,4.6,A,7,16100,B,7,77777,A,7,2.5,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,13.0,A,7,11.0,A,7,88,A,7,1016,A,7,120,A,7,2.6,A,7,16100,B,7,1380,A,7,2.6,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,14.0,A,7,11.0,A,7,82,A,7,1015,A,7,110,A,7,4.1,A,7,16100,B,7,780,A,7,2.6,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,13.0,A,7,11.0,A,7,88,A,7,1014,A,7,110,A,7,3.1,A,7,16100,B,7,840,A,7,2.6,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1999,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,13.0,A,7,12.0,A,7,94,A,7,1013,A,7,110,A,7,3.1,A,7,16100,B,7,960,A,7,2.7,E,8,0.072,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,15.0,A,7,14.0,A,7,94,A,7,1012,A,7,130,A,7,4.1,A,7,16100,B,7,810,A,7,2.7,E,8,0.071,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,16.0,A,7,14.0,A,7,88,A,7,1011,A,7,130,A,7,4.1,A,7,16100,B,7,750,A,7,2.7,E,8,0.071,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,17.0,A,7,16.0,A,7,94,A,7,1010,A,7,150,A,7,4.6,A,7,16100,B,7,1080,A,7,2.7,E,8,0.071,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,17.0,A,7,16.0,A,7,94,A,7,1009,A,7,150,A,7,5.7,A,7,16100,B,7,1170,A,7,2.8,E,8,0.071,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,17.0,A,7,16.0,A,7,94,A,7,1009,A,7,140,A,7,5.7,A,7,16100,B,7,1230,A,7,2.8,E,8,0.071,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,17.2,B,8,16.2,B,8,94,A,7,1008,B,8,150,B,8,6.2,B,8,16100,C,8,1200,B,8,2.8,E,8,0.071,F,8,0.160,F,8,8,1,D,9,00,C,8
01/02/1999,07:00,3,200,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,17.0,A,7,16.0,A,7,94,A,7,1008,A,7,150,A,7,6.7,A,7,16100,B,7,1170,A,7,2.8,E,8,0.071,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1999,08:00,168,1415,97,2,8,243,2,15,68,2,8,98,2,8,131,2,15,83,2,8,142,2,19,10,E,9,10,E,9,18.0,A,7,17.0,A,7,94,A,7,1007,A,7,160,A,7,5.7,A,7,12900,B,7,510,A,7,2.7,E,8,0.071,F,8,0.160,F,8,3,1,D,9,61,C,8
