722359,"GREENWOOD LEFLORE ARPT",MS,-6.0,33.500,-90.083,47
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1995,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,11.1,B,8,10.5,B,8,96,A,7,1015,B,8,0,B,8,0.0,B,8,1600,C,8,580,B,8,1.9,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1995,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,11.1,A,7,10.5,A,7,96,A,7,1015,A,7,0,A,7,0.0,A,7,1600,B,7,420,A,7,2.0,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,11.1,A,7,10.5,A,7,96,A,7,1015,A,7,0,A,7,0.0,A,7,1600,B,7,690,A,7,2.0,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,11.1,A,7,10.5,A,7,96,A,7,1016,A,7,0,A,7,0.0,A,7,1600,B,7,60,A,7,2.0,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,10.5,A,7,10.0,A,7,97,A,7,1015,A,7,0,A,7,0.0,A,7,1600,B,7,60,A,7,2.0,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,9.9,B,8,9.6,B,8,98,A,7,1016,B,8,0,B,8,0.0,B,8,800,C,8,38,B,8,2.0,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,9.4,A,7,9.4,A,7,100,A,7,1016,A,7,0,A,7,0.0,A,7,0,B,7,15,A,7,2.0,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,08:00,100,1262,10,1,11,0,1,17,10,1,11,12,1,11,0,1,17,12,1,11,39,1,23,10,B,8,10,B,8,8.9,B,8,8.9,B,8,100,A,7,1017,B,8,300,B,8,1.0,B,8,50,C,8,98,B,8,1.9,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,09:00,341,1415,46,1,11,0,1,16,46,1,11,54,1,11,0,1,16,54,1,11,187,1,22,10,A,7,10,E,9,9.4,A,7,9.4,A,7,100,A,7,1017,A,7,230,A,7,2.0,A,7,100,B,7,180,A,7,1.9,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,10:00,544,1415,96,1,11,0,1,17,96,1,11,112,1,11,0,1,17,112,1,11,404,1,23,10,B,8,10,B,8,9.9,B,8,9.5,B,8,97,A,7,1018,B,8,270,B,8,3.6,B,8,1650,C,8,210,B,8,1.8,E,8,0.066,F,8,0.170,F,8,0,1,D,9,45,C,8
