722570,"FORT HOOD",TX,-6.0,31.133,-97.717,280
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,1,E,9,15.6,E,9,12.1,E,9,80,A,7,987,E,9,120,E,9,0.3,E,9,11300,C,8,20179,E,9,2.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,2,E,9,13.6,E,9,10.8,E,9,83,A,7,987,E,9,110,E,9,0.2,E,9,11300,C,8,18358,E,9,2.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,E,9,3,E,9,12.2,E,9,9.5,E,9,84,A,7,988,E,9,120,E,9,1.6,E,9,11300,C,8,16538,E,9,2.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,E,9,3,E,9,10.1,E,9,7.7,E,9,85,A,7,988,E,9,130,E,9,1.0,E,9,11300,C,8,14717,E,9,2.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,4,E,9,8.7,E,9,6.4,E,9,85,A,7,989,E,9,130,E,9,0.4,E,9,11300,C,8,12896,E,9,2.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,5,E,9,7.3,E,9,5.1,E,9,86,A,7,990,E,9,110,E,9,1.3,E,9,11300,C,8,11075,E,9,2.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,6,E,9,6.5,E,9,4.2,E,9,85,A,7,991,E,9,140,E,9,0.1,E,9,11300,C,8,9254,E,9,2.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,08:00,30,696,5,1,18,18,1,22,4,1,18,6,1,18,6,1,22,6,1,18,7,1,34,8,E,9,7,E,9,5.1,E,9,2.9,E,9,86,A,7,992,E,9,150,E,9,1.5,E,9,11300,C,8,7433,E,9,2.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,09:00,253,1415,61,1,18,95,1,22,44,1,18,66,1,18,68,1,22,54,1,18,78,1,34,8,E,9,8,E,9,3.7,E,9,1.6,E,9,86,A,7,993,E,9,150,E,9,0.9,E,9,11300,C,8,5612,E,9,2.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,10:00,486,1415,199,1,18,102,1,22,164,1,18,218,1,18,96,1,22,185,1,18,424,1,34,9,E,9,8,E,9,2.2,E,9,0.9,E,9,91,A,7,994,E,9,160,E,9,3.3,E,9,11300,C,8,3792,E,9,2.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
