722680,"ROSWELL INDUSTRIAL AIR PARK",NM,-7.0,33.300,-104.533,1112
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1994,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,4.4,A,7,0.0,A,7,73,A,7,893,A,7,20,A,7,4.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,3.3,A,7,-2.8,A,7,63,A,7,895,A,7,360,A,7,3.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,0.6,A,7,-3.9,A,7,69,A,7,893,A,7,280,A,7,2.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-1.1,A,7,-5.6,A,7,68,A,7,894,A,7,270,A,7,3.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-2.8,A,7,-7.2,A,7,69,A,7,895,A,7,270,A,7,2.6,A,7,16000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-3.3,A,7,-6.7,A,7,75,A,7,895,A,7,260,A,7,3.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-5.0,A,7,-6.7,A,7,86,A,7,896,A,7,240,A,7,3.1,A,7,32000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,08:00,111,1332,51,1,10,425,1,16,16,1,10,56,1,10,272,1,16,33,1,10,37,1,21,0,A,7,0,A,7,-4.4,A,7,-7.2,A,7,79,A,7,896,A,7,0,A,7,0.0,A,7,64000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,09:00,353,1415,218,1,10,720,1,16,39,1,10,231,1,10,621,1,16,76,1,10,86,1,21,3,A,7,0,A,7,2.8,A,7,-3.3,A,7,62,A,7,897,A,7,200,A,7,2.1,A,7,64000,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,10:00,554,1415,358,1,10,794,1,16,47,1,10,379,1,10,751,1,16,84,1,10,117,1,21,2,A,7,1,A,7,7.8,A,7,-3.3,A,7,44,A,7,896,A,7,140,A,7,3.1,A,7,64000,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,11:00,697,1415,408,1,10,542,1,16,141,1,10,440,1,10,543,1,16,171,1,10,291,1,21,5,A,7,3,A,7,10.0,A,7,-5.6,A,7,31,A,7,896,A,7,130,A,7,4.1,A,7,64000,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,12:00,773,1415,534,1,10,720,1,16,140,1,10,558,1,10,715,1,16,167,1,10,308,1,21,7,A,7,2,A,7,12.2,A,7,-7.2,A,7,23,A,7,894,A,7,160,A,7,5.7,A,7,64000,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,13:00,775,1415,547,1,10,701,1,16,163,1,10,567,1,10,690,1,16,187,1,10,350,1,21,10,A,7,3,A,7,13.3,A,7,-6.7,A,7,23,A,7,893,A,7,180,A,7,5.7,A,7,64000,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,14:00,704,1415,316,1,10,259,1,16,186,1,10,340,1,10,269,1,16,206,1,10,413,1,21,9,A,7,5,A,7,13.9,A,7,-6.1,A,7,23,A,7,892,A,7,170,A,7,5.2,A,7,64000,B,7,7620,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,15:00,564,1415,314,1,10,364,1,16,169,1,10,333,1,10,359,1,16,189,1,10,361,1,21,10,A,7,6,A,7,15.0,A,7,-5.0,A,7,24,A,7,891,A,7,170,A,7,5.2,A,7,64000,B,7,7620,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,16:00,366,1415,180,1,10,198,1,16,128,1,10,192,1,10,171,1,16,148,1,10,282,1,21,10,A,7,6,A,7,15.0,A,7,-4.4,A,7,25,A,7,891,A,7,150,A,7,4.1,A,7,64000,B,7,7620,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,17:00,126,1415,50,1,10,209,1,16,31,1,10,51,1,10,100,1,16,42,1,10,56,1,21,8,A,7,3,A,7,13.3,A,7,-4.4,A,7,28,A,7,891,A,7,140,A,7,4.1,A,7,48000,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1994,18:00,0,12,0,1,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,2,0,1,1,5,A,7,2,A,7,9.4,A,7,-6.1,A,7,31,A,7,891,A,7,160,A,7,4.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.190,F,8,0,1,D,9,00,C,8
